Item Type,Sequence,Human Code,Full Statement,Abbreviated Statement,Notes,Supp. Info,Ed. Level,Language
Developmental Milestones,3.4.6.3,II.D.7.b,"""Engages positively in group play activities""",,,,PK,
Developmental Milestones,3.4.6.4,II.D.7.c,"""Demonstrates respect for peers' ideas and contributions in cooperative play""",,,,PK,
Standard,3.4.6.5,II.D.3,Engages in pretend play with peers,,,,PK,
Developmental Milestones,3.4.6.6,II.D.3.a,Demonstrates ability to initiate and actively participate in imaginative role-play scenarios.,,,,PK,
Developmental Milestones,3.4.6.7,II.D.3.b,Exhibits social interaction skills in the context of group pretend play.,,,,PK,
Developmental Milestones,3.4.6.8,II.D.3.c,Shows creative problem-solving and critical thinking during play with peers.,,,,PK,
Standard,3.5,SE.5,Child uses basic problem-solving to resolve conflicts with other children,,,,,
Label,3.5.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,3.5.1.1,,Responds to help from adults during frustration,,,,,
Label,3.5.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,3.5.2.1,,Uses simple gestures to indicate wants or dislikes,,,,,
Label,3.5.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,3.5.3.1,,Seeks help from adults to resolve disagreements,,,,,
Label,3.5.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,3.5.4.1,,Initiates problem-solving strategies with peers,,,,,
Label,3.5.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,3.5.5.1,P-SE.5.b,Child Generates Possible Solutions',,,,,
Developmental Milestones,3.5.5.2,P-SE.5.a,Child Identifies and Articulates the Conflict',,,,,
Developmental Milestones,3.5.5.3,P-SE.5.c,Child Actively Participates in Conflict Resolution',,,,,
Developmental Milestones,3.5.5.4,P-SE.5.a,'Child Identifies and Articulates the Conflict',,,,,
Developmental Milestones,3.5.5.5,P-SE.5.b,'Child Generates Possible Solutions',,,,,
Developmental Milestones,3.5.5.6,P-SE.5.c,'Child Actively Participates in Conflict Resolution',,,,,
Label,3.5.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,3.5.6.1,II.D.4,Problem solves to resolve conflict,,,,PK,
Developmental Milestones,3.5.6.2,II.D.4.b,Understanding Perspectives,,,,PK,
Developmental Milestones,3.5.6.3,II.D.4.a,Identifying Conflict,,,,PK,
Developmental Milestones,3.5.6.4,II.D.4.c,Implementing Solution Strategies,,,,PK,
Standard,3.6,SE.6,Child expresses a broad range of emotions and recognizes these emotions in self and others,,,,,
Label,3.6.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,3.6.1.1,,Shows distinct emotions like happiness and sadness,,,,,
Label,3.6.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,3.6.2.1,,Uses gestures to communicate needs or frustrations,,,,,
Label,3.6.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,3.6.3.1,,Names simple emotions with support,,,,,
Label,3.6.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,3.6.4.1,,Identifies emotions in self and peers,,,,,
Label,3.6.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,3.6.5.1,P-SE.6.a,Skill to Identify and Express Emotions,,,,,
Developmental Milestones,3.6.5.2,P-SE.6.b,Emotional Recognition in Others,,,,,
Developmental Milestones,3.6.5.3,P-SE.6.c,Emotional Regulation Skill,,,,,
Label,3.6.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,3.6.6.1,II.B.1,Expresses emotions,,,,PK,
Developmental Milestones,3.6.6.2,II.B.1.a,Identifies and Names Different Emotions,,,,PK,
Developmental Milestones,3.6.6.3,II.B.1.b,Demonstrates Appropriate Emotional Response,,,,PK,
Developmental Milestones,3.6.6.4,II.B.1.c,Understands and Shows Empathy,,,,PK,
Standard,3.6.6.5,II.B.4,Recognizes emotions in others,,,,PK,
Developmental Milestones,3.6.6.6,II.B.4.c,Observes Behavioral Changes,,,,PK,
Developmental Milestones,3.6.6.7,II.B.4.b,Comprehends Tone of Voice,,,,PK,
Developmental Milestones,3.6.6.8,II.B.4.a,Identifies Facial Expressions,,,,PK,
Developmental Milestones,3.6.6.9,II.B.1.d,Can use verbal and nonverbal communication to express emotions,,,,PK,
Standard,3.6.6.10,II.B.2,Communicates feelings,,,,PK,
Developmental Milestones,3.6.6.11,II.B.2.a,Expresses emotions appropriately,,,,PK,
Developmental Milestones,3.6.6.12,II.B.2.b,Recognizes and identifies emotions,,,,PK,
Developmental Milestones,3.6.6.13,II.B.2.c,Practices emotional self-regulation,,,,PK,
Standard,3.7,SE.7,Child expresses care and concern toward others,,,,,
Label,3.7.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,3.7.1.1,,Watches a crying peer with interest,,,,,
Label,3.7.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,3.7.2.1,,Pats another child who is crying,,,,,
Label,3.7.3,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,3.7.3.1,,Attempts to comfort peers using words or actions,,,,,
Label,3.7.4,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,3.7.4.1,,Shares or helps peers in distress,,,,,
Label,3.7.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,3.7.5.1,P-SE.7.b,Social Interaction,,,,,
Developmental Milestones,3.7.5.2,P-SE.7.c,Conflict Resolution,,,,,
Developmental Milestones,3.7.5.3,P-SE.7.a,Demonstrates Empathy,,,,,
Label,3.7.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,3.7.6.1,II.B.5,Cares for others,,,,PK,
Developmental Milestones,3.7.6.2,II.B.5.a,Empathy Development,,,,PK,
Developmental Milestones,3.7.6.3,II.B.5.b,Cooperation Skills,,,,PK,
Developmental Milestones,3.7.6.4,II.B.5.c,Emotional Regulation,,,,PK,
Standard,3.7.6.5,II.B.6,Understands others think differently than self,,,,PK,
Developmental Milestones,3.7.6.6,II.B.6.a,Recognizes and respects differences in perspectives and opinions of others.,,,,PK,
Developmental Milestones,3.7.6.7,II.B.6.b,Demonstrates empathy to emotions and feelings of others.,,,,PK,
Developmental Milestones,3.7.6.8,II.B.6.c,Capable of presenting their point of view while acknowledging that others may not share the same viewpoint.,,,,PK,
Standard,3.7.6.9,II.D.5,Demonstrates empathy,,,,PK,
Developmental Milestones,3.7.6.10,II.D.5.c,Expresses Personal Emotions,,,,PK,
Developmental Milestones,3.7.6.11,II.D.5.b,Shows Caring Behaviors,,,,PK,
Developmental Milestones,3.7.6.12,II.D.5.a,Identifies and Understands Emotions,,,,PK,
Standard,3.8,SE.8,Child manages emotions with increasing independence,,,,,
Label,3.8.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,3.8.1.1,,Self-soothes by finger-sucking or holding an object,,,,,
Label,3.8.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,3.8.2.1,,Uses a comfort object when stressed,,,,,
Label,3.8.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,3.8.3.1,,Manages small frustrations without adult intervention,,,,,
Label,3.8.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,3.8.4.1,,"Begins using calming strategies, such as deep breathing",,,,,
Label,3.8.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,3.8.5.1,P-SE.8.b,Identifies Emotions,,,,,
Developmental Milestones,3.8.5.2,P-SE.8.c,Uses Coping Strategies,,,,,
Developmental Milestones,3.8.5.3,P-SE.8.a,Demonstrates Self-Regulation,,,,,
Label,3.8.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,3.8.6.1,II.B.3,Connects feelings with behaviors,,,,PK,
Developmental Milestones,3.8.6.2,II.B.3.a,Recognizing and Identifying Feelings,,,,PK,
Developmental Milestones,3.8.6.3,II.B.3.b,Understanding Cause and Effect of Emotions,,,,PK,
Developmental Milestones,3.8.6.4,II.B.3.c,Exhibiting Emotional Regulation,,,,PK,
Standard,3.9,SE.9,"Child recognizes self as a unique individual having own abilities, characteristics, emotions, and interests",,,,,
Label,3.9.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,3.9.1.1,,Looks at own reflection in a mirror,,,,,
Label,3.9.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,3.9.2.1,,Points to self in pictures or videos,,,,,
Label,3.9.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,3.9.3.1,,Recognizes self by name and characteristics,,,,,
Label,3.9.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,3.9.4.1,,Talks about self and family in relation to others,,,,,
Label,3.9.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,3.9.5.1,P-SE.9.b,Emotional Understanding,,,,,
Developmental Milestones,3.9.5.2,P-SE.9.c,Interest Exploration,,,,,
Developmental Milestones,3.9.5.3,P-SE.9.a,Self-Recognition,,,,,
Label,3.9.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,3.9.6.1,II.A.3,Describes self positively,,,,PK,
Developmental Milestones,3.9.6.2,II.A.3.c,Shows Self-Acceptance,,,,PK,
Developmental Milestones,3.9.6.3,II.A.3.b,Expresses Personal Positive Traits,,,,PK,
Developmental Milestones,3.9.6.4,II.A.3.a,Demonstrates Self-Awareness,,,,PK,
Standard,3.9.6.5,II.A.2,Exhibits confidence in own skills,,,,PK,
Developmental Milestones,3.9.6.6,II.A.2.a,Displays Self-Assurance,,,,PK,
Developmental Milestones,3.9.6.7,II.A.2.b,Demonstrates Independent Task Completion,,,,PK,
Developmental Milestones,3.9.6.8,II.A.2.c,Self-challenges and Takes Risks,,,,PK,
Standard,3.9.6.9,II.A.4,Sees self as unique,,,,PK,
Developmental Milestones,3.9.6.10,II.A.4.a,Exhibits Self-Recognition,,,,PK,
Developmental Milestones,3.9.6.11,II.A.4.b,Shows Self-Expression such as pointing to oneself.,,,,PK,
Developmental Milestones,3.9.6.12,II.A.4.c,Child shows self-appreciation with I-can statements.,,,,PK,
Standard,3.1,SE.10,Child expresses confidence in own skills and positive feelings about self,,,,,
Label,3.10.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,3.10.1.1,,Smiles when praised for actions,,,,,
Label,3.10.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,3.10.2.1,,Claps for accomplishments with adult modeling,,,,,
Label,3.10.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,3.10.3.1,,"Tries new activities, like climbing stairs",,,,,
Label,3.10.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,3.10.4.1,,Shows pride in completed tasks,,,,,
Label,3.10.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,3.10.5.1,P-SE.10.a,"""Child demonstrates ability to perform simple tasks independently""",,,,,
Developmental Milestones,3.10.5.2,P-SE.10.c,"""Child shows self-affection and expresses pride in personal progress""",,,,,
Developmental Milestones,3.10.5.3,P-SE.10.b,"""Child can identify and articulate personal strengths and achievements""",,,,,
Label,3.10.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,3.10.6.1,II.A.5,Understands own abilities,,,,PK,
Developmental Milestones,3.10.6.2,II.A.5.a,"Can self-assess physical capabilities and limitations (e.g., jumping, running, picking up small objects)",,,,PK,
Developmental Milestones,3.10.6.3,II.A.5.b,"Demonstrates awareness of cognitive skills and limits (e.g., solving simple problems, recognizing patterns)",,,,PK,
Developmental Milestones,3.10.6.4,II.A.5.c,"Exhibits understanding of emotional and social abilities in relation to others (e.g., interacting with peers, expressing feelings appropriately)",,,,PK,
Standard,3.11,SE.11,"Child has a sense of belonging to family, community, and other groups",,,,,
Label,3.11.1,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,3.11.1.1,,Responds to family members’ voices with excitement,,,,,
Label,3.11.2,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,3.11.2.1,,Points to family members in photos,,,,,
Label,3.11.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,3.11.3.1,,Refers to family members by name,,,,,
Label,3.11.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,3.11.4.1,,Participates in family or community rituals,,,,,
Label,3.11.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,3.11.5.1,P-SE.11.b,Developing Interpersonal Skills,,,,,
Developmental Milestones,3.11.5.2,P-SE.11.c,Appreciating Diversity and Inclusion,,,,,
Developmental Milestones,3.11.5.3,P-SE.11.a,Recognizing Family and Community Roles,,,,,
Label,3.11.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,3.11.6.1,II.D.1,Assumes role as classroom member,,,,PK,
Developmental Milestones,3.11.6.2,II.D.1.a,Ability to Participate in Group Activities,,,,PK,
Developmental Milestones,3.11.6.3,II.D.1.b,Self-regulation in Classroom Environment,,,,PK,
Developmental Milestones,3.11.6.4,II.D.1.c,Active Contribution in Classroom Discussions,,,,PK,
Standard,3.11.6.5,II.A.6,Feels a sense of belonging,,,,PK,
Developmental Milestones,3.11.6.6,II.A.6.a,Demonstrates Self-Identity,,,,PK,
Developmental Milestones,3.11.6.7,II.A.6.b,Establishes Positive Relationships,,,,PK,
Developmental Milestones,3.11.6.8,II.A.6.c,Engagement and Participation,,,,PK,
Domain,4,LC,Domain #3: Language and Communication,,,,,
Standard,4.1,LC.1,Child attends to communication and language from others,,,,,
Label,4.1.1,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,4.1.1.1,,Turns head toward familiar voices,,,,,
Label,4.1.2,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,4.1.2.1,,Follows simple verbal instructions,,,,,
Label,4.1.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,4.1.3.1,,Responds to multi-step instructions,,,,,
Label,4.1.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,4.1.4.1,,Understands and follows longer instructions,,,,,
Label,4.1.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,4.1.5.1,P-LC.1.c,Observer Learning,,,,,
Developmental Milestones,4.1.5.2,P-LC.1.e,"Understand pronouns such as me, mine, yours, him and her.",,,,,
Developmental Milestones,4.1.5.3,P-LC.1.f,Attempt to sing songs with words and later sing phrases of songs.,,,,,
Developmental Milestones,4.1.5.4,P-LC.1.a,Listening Comprehension,,,,,
Developmental Milestones,4.1.5.5,P-LC.1.d,Develop an appreciation for music and participate in music and movement activities that represent a variety of the cultures and the home language of the children in the classroom.,,,,,
Developmental Milestones,4.1.5.6,P-LC.1.b,Active Engagement,,,,,
Label,4.1.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,4.1.6.1,III.A.1,Responds appropriately to language,,,,PK,
Developmental Milestones,4.1.6.2,III.A.1.a,Demonstrates understanding of spoken instructions,,,,PK,
Developmental Milestones,4.1.6.3,III.A.1.c,Shows increase in vocabulary usage,,,,PK,
Developmental Milestones,4.1.6.4,III.A.1.b,Participates in verbal interactions,,,,PK,
Standard,4.1.6.5,III.A.2,Follows directions,,,,PK,
Developmental Milestones,4.1.6.6,III.A.2.b,'Executes tasks in sequence',,,,PK,
Developmental Milestones,4.1.6.7,III.A.2.a,'Understands spoken instructions',,,,PK,
Developmental Milestones,4.1.6.8,III.A.2.c,'Shows initiative to complete tasks',,,,PK,
Standard,4.1.6.9,III.A.4,Shows understanding of English-speaking teacher and peers (ELL/DLL),,,,PK,
Developmental Milestones,4.1.6.10,III.A.4.a,Ability to Comprehend Spoken English,,,,PK,
Developmental Milestones,4.1.6.11,III.A.4.b,Cultural and Contextual Comprehension,,,,PK,
Developmental Milestones,4.1.6.12,III.A.4.c,Responding Appropriately,,,,PK,
Standard,4.2,LC.2,Child understands and responds to increasingly complex communication and language from others,,,,,
Label,4.2.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,4.2.1.1,,Responds with coos when spoken to,,,,,
Label,4.2.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,4.2.2.1,,Babbles using varied tones and patterns,,,,,
Label,4.2.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,4.2.3.1,,Uses simple sentences during play,,,,,
Label,4.2.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,4.2.4.1,,Speaks in short but complete sentences,,,,,
Label,4.2.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,4.2.5.1,P-LC.2.b,Child demonstrates proactive responses to verbal cues and commands from adults and peers.,,,,,
Developmental Milestones,4.2.5.2,P-LC.2.a,Child comprehends and accurately interprets simple and compound instructions.,,,,,
Developmental Milestones,4.2.5.3,P-LC.2.c,Child exhibits an understanding of complex language by engaging in reciprocal conversations.,,,,,
Developmental Milestones,4.2.5.4,P-LC.2.d,Child answers simple questions,,,,,
Label,4.2.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,4.2.6.1,III.E.3,Uses complex sentences,,,,PK,
Standard,4.2.6.2,III.B.2,Engages in conversations,,,,PK,
Developmental Milestones,4.2.6.3,III.B.2.a,Exhibits Effective Verbal Communication,,,,PK,
Developmental Milestones,4.2.6.4,III.B.2.b,Displays Active Listening Skills,,,,PK,
Developmental Milestones,4.2.6.5,III.B.2.c,Shows Appropriate Turn-Taking Behavior,,,,PK,
Developmental Milestones,4.2.6.6,III.B.2.d,"Child engages in conversations in appropriate ways, demonstrating knowledge of verbal and nonverbal conversational rules.",,,,PK,
Standard,4.2.6.7,III.A.3,Listens to others,,,,PK,
Developmental Milestones,4.2.6.8,III.A.3.a,'Recognizes and Comprehends Oral Instructions',,,,PK,
Developmental Milestones,4.2.6.9,III.A.3.b,'Responds Appropriately to Verbal Communication',,,,PK,
Developmental Milestones,4.2.6.10,III.A.3.c,'Shows Active Listening Behaviors',,,,PK,
Standard,4.2.6.11,III.E.4,Adds details to sentences,,,,PK,
Developmental Milestones,4.2.6.12,III.E.4.a,Identifies and Uses Descriptive Words,,,,PK,
Developmental Milestones,4.2.6.13,III.E.4.b,Understanding Sentence Structure,,,,PK,
Developmental Milestones,4.2.6.14,III.E.4.c,Practice Story Expansion,,,,PK,
Standard,4.3,LC.3,Child varies the amount of information provided to meet the demands of the situations,,,,,
Label,4.3.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,4.3.1.1,,Cries to indicate needs like hunger or comfort,,,,,
Label,4.3.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,4.3.2.1,,Uses basic sounds to indicate needs,,,,,
Label,4.3.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,4.3.3.1,,Names objects to communicate needs,,,,,
Label,4.3.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,4.3.4.1,,Combines words to explain needs,,,,,
Label,4.3.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,4.3.5.1,LC.3.a,Adjusting Complexity of Information,,,,,
Developmental Milestones,4.3.5.2,LC.3.b,Contextual Understanding and Information Sharing,,,,,
Developmental Milestones,4.3.5.3,LC.3.c,Information Regulation in Social Interaction,,,,,
Label,4.3.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,4.3.6.1,III.B.3,Shares relevant information,,,,PK,
Developmental Milestones,4.3.6.2,III.B.3.a,Verbalizes Personal Thoughts and Experiences,,,,PK,
Developmental Milestones,4.3.6.3,III.B.3.b,Uses Appropriate Language to Describe Objects or Situations,,,,PK,
Developmental Milestones,4.3.6.4,III.B.3.c,Demonstrates Active Listening and Responsive Communication,,,,PK,
Standard,4.3.6.5,III.E.1,Uses complete sentences,,,,PK,
Developmental Milestones,4.3.6.6,III.E.1.a,Understands sentence structure,,,,PK,
Developmental Milestones,4.3.6.7,III.E.1.b,Applies appropriate grammar,,,,PK,
Developmental Milestones,4.3.6.8,III.E.1.c,Able to put together sentences of at least four words in proper order and context.,,,,PK,
Standard,4.4,LC.4,"Child understands, follows, and uses appropriate social and conversational rules",,,,,
Label,4.4.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,4.4.1.1,,Coos and babbles during playtime,,,,,
Label,4.4.2,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,4.4.2.1,,Takes turns babbling with caregivers,,,,,
Label,4.4.3,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,4.4.3.1,,Practices turn-taking during conversations,,,,,
Label,4.4.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,4.4.4.1,,Engages in group discussions with peers,,,,,
Label,4.4.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,4.4.5.1,LC.4.a,"""Child recognizes and respects personal space and boundaries of others""",,,,,
Developmental Milestones,4.4.5.2,LC.4.b,"""Child accurately interprets verbal and non-verbal social cues in a conversation""",,,,,
Developmental Milestones,4.4.5.3,LC.4.c,"""Child applies polite and constructive language during social interactions""",,,,,
Label,4.4.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,4.4.6.1,III.B.4,Follows conversational rules,,,,PK,
Developmental Milestones,4.4.6.2,III.B.4.b,'Takes Turns When Speaking',,,,PK,
Developmental Milestones,4.4.6.3,III.B.4.c,'Listens and Responds Appropriately',,,,PK,
Developmental Milestones,4.4.6.4,III.B.4.a,'Maintains Eye Contact',,,,PK,
Standard,4.4.6.5,III.B.5,Matches language to content,,,,PK,
Standard,4.5,LC.5,"Child expresses himself in increasingly long, detailed, and sophisticated ways",,,,,
Label,4.5.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,4.5.1.1,,Gestures toward objects when asked,,,,,
Label,4.5.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,4.5.2.1,,Points to answer basic questions,,,,,
Label,4.5.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,4.5.3.1,,Answers simple questions like 'Where's the ball?',,,,,
Label,4.5.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,4.5.4.1,,Expands on answers to questions,,,,,
Label,4.5.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,4.5.5.1,LC.5.c,Verbal Fluency and Clarity,,,,,
Developmental Milestones,4.5.5.2,LC.5.d,"Explore drawing, painting and writing as a way of communicating.",,,,,
Developmental Milestones,4.5.5.3,LC.5.a,Vocabulary Expansion,,,,,
Developmental Milestones,4.5.5.4,LC.5.e,Tell teacher about drawing,,,,,
Developmental Milestones,4.5.5.5,LC.5.b,Narrative Skills,,,,,
Label,4.5.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,4.5.6.1,III.C.1,Speaks clearly,,,,PK,
Developmental Milestones,4.5.6.1.1,III.C.1.a,Pronunciation Mastery,,,,PK,
Developmental Milestones,4.5.6.1.2,III.C.1.b,Vocabulary Enhancement,,,,PK,
Developmental Milestones,4.5.6.1.3,III.C.1.c,Sentence Structuring,,,,PK,
Standard,4.5.6.2,III.C.3,Uses appropriate volume and tone,,,,PK,
Developmental Milestones,4.5.6.2.1,III.C.3.a,Recognizes and Modulates Volume,,,,PK,
Developmental Milestones,4.5.6.2.2,III.C.3.b,Matches Tone to Situation,,,,PK,
Developmental Milestones,4.5.6.2.3,III.C.3.c,Expresses Respect and Kindness Through Voice,,,,PK,
Standard,4.5.6.3,III.B.1,Uses language to express self,,,,PK,
Developmental Milestones,4.5.6.4,III.B.1.c,Engagement in Conversational Exchange,,,,PK,
Developmental Milestones,4.5.6.5,III.B.1.a,Articulates Personal Feelings and Thoughts,,,,PK,
Developmental Milestones,4.5.6.6,III.B.1.b,Utilizes Vocabulary for Self-Expression,,,,PK,
Standard,4.6,LC.6,Child understands and uses a wide variety of words for a variety of purposes,,,,,
Label,4.6.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,4.6.1.1,,Focuses on tones and pitches of voices,,,,,
Label,4.6.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,4.6.2.1,,Observes others speaking in a different language,,,,,
Label,4.6.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,4.6.3.1,,Says words in different languages when guided,,,,,
Label,4.6.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,4.6.4.1,,Learns phrases from other languages,,,,,
Label,4.6.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,4.6.5.1,LC.6.b,Purposeful Word Usage,,,,,
Developmental Milestones,4.6.5.2,LC.6.c,Word Comprehension,,,,,
Developmental Milestones,4.6.5.3,LC.6.d,Begin using 's' at the end of some words such as wants trucks and mouses.,,,,,
Developmental Milestones,4.6.5.4,LC.6.a,Vocabulary Expansion,,,,,
Label,4.6.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,4.6.6.1,III.D.1,Uses words to label and describe,,,,PK,
Developmental Milestones,4.6.6.1.1,III.D.1.a,Vocabulary Development,,,,PK,
Developmental Milestones,4.6.6.1.2,III.D.1.b,Description Skills,,,,PK,
Developmental Milestones,4.6.6.1.3,III.D.1.c,Can use variety of words to name and identify everyday things.,,,,PK,
Developmental Milestones,4.6.6.1.4,III.D.1.d,Child understands and uses the instructional language of the classroom.,,,,PK,
Standard,4.6.6.2,III.D.2,Understands words and meanings including words with multiple meanings,,,,PK,
Developmental Milestones,4.6.6.2.1,III.D.2.a,Identifies and Uses Vocabulary,,,,PK,
Developmental Milestones,4.6.6.2.2,III.D.2.b,Comprehends Multiple Meaning Words,,,,PK,
Developmental Milestones,4.6.6.2.3,III.D.2.c,Interprets Context Clues,,,,PK,
Standard,4.6.6.3,III.D.3,Increases speaking vocabulary,,,,PK,
Developmental Milestones,4.6.6.3.1,III.D.3.a,Identifies and Correctly Pronounces New Words,,,,PK,
Developmental Milestones,4.6.6.3.2,III.D.3.b,"Describes Objects, Events, and Ideas",,,,PK,
Developmental Milestones,4.6.6.3.3,III.D.3.c,Engages in Conversational Exchanges,,,,PK,
Standard,4.6.6.4,III.D.4,Increases listening vocabulary,,,,PK,
Developmental Milestones,4.6.6.4.1,III.D.4.a,Identifies New Words,,,,PK,
Developmental Milestones,4.6.6.4.2,III.D.4.b,Understands Contextual Meaning,,,,PK,
Developmental Milestones,4.6.6.4.3,III.D.4.c,Follows Verbal Instructions,,,,PK,
Standard,4.6.6.5,III.D.5,Classifies words into groups,,,,PK,
Developmental Milestones,4.6.6.5.1,III.D.5.a,Identifies and Recognizes Similar Words,,,,PK,
Developmental Milestones,4.6.6.5.2,III.D.5.b,Categorizes Words by Themes or Attributes,,,,PK,
Developmental Milestones,4.6.6.5.3,III.D.5.c,Understands and Explains Grouping Criteria,,,,PK,
Standard,4.6.6.6,III.D.6,"Uses a variety of word-meaning relationships (ie, part-whole, object-function, object-location).",,,,PK,
Developmental Milestones,4.6.6.6.1,III.D.6.a,Recognizes and Utilizes Part-Whole Relationships,,,,PK,
