Item Type,Sequence,Human Code,Full Statement,Abbreviated Statement,Notes,Supp. Info,Ed. Level,Language,Rewritten Statement
Developmental Milestones,3.9.5.2,P-SE.9.c,Interest Exploration,,,,,,- Explores new objects and environments with curiosity.
Developmental Milestones,3.9.5.3,P-SE.9.a,Self-Recognition,,,,,,- Looks in the mirror and smiles at their own reflection.
Label,3.9.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,3.9.6.1,II.A.3,Describes self positively,,,,PK,,Says nice things about themselves.
Developmental Milestones,3.9.6.2,II.A.3.c,Shows Self-Acceptance,,,,PK,,Smiles at themselves in the mirror.
Developmental Milestones,3.9.6.3,II.A.3.b,Expresses Personal Positive Traits,,,,PK,,Shows what they like about themselves with a smile or gesture.
Developmental Milestones,3.9.6.4,II.A.3.a,Demonstrates Self-Awareness,,,,PK,,- Points to self in the mirror or in photos.
Standard,3.9.6.5,II.A.2,Exhibits confidence in own skills,,,,PK,,- Shows pride in trying new things.
Developmental Milestones,3.9.6.6,II.A.2.a,Displays Self-Assurance,,,,PK,,- Smiles and explores new environments confidently.
Developmental Milestones,3.9.6.7,II.A.2.b,Demonstrates Independent Task Completion,,,,PK,,- Completes simple tasks without help.
Developmental Milestones,3.9.6.8,II.A.2.c,Self-challenges and Takes Risks,,,,PK,,- Tries new things and explores with curiosity.
Standard,3.9.6.9,II.A.4,Sees self as unique,,,,PK,,- Points to self in the mirror.
Developmental Milestones,3.9.6.10,II.A.4.a,Exhibits Self-Recognition,,,,PK,,- Recognizes themselves in a mirror.
Developmental Milestones,3.9.6.11,II.A.4.b,Shows Self-Expression such as pointing to oneself.,,,,PK,,- Points to themselves to show who they are.
Developmental Milestones,3.9.6.12,II.A.4.c,Child shows self-appreciation with I-can statements.,,,,PK,,"Says ""I can do it!"" with a proud smile."
Standard,3.1,SE.10,Child expresses confidence in own skills and positive feelings about self,,,,,,- Smiles and claps when successfully stacking blocks.
Label,3.10.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,3.10.1.1,,Smiles when praised for actions,,,,,,- Smiles after being praised.
Label,3.10.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,3.10.2.1,,Claps for accomplishments with adult modeling,,,,,,- Claps hands when excited after seeing an adult do it.
Label,3.10.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,3.10.3.1,,"Tries new activities, like climbing stairs",,,,,,Climbs stairs with curiosity.
Label,3.10.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,3.10.4.1,,Shows pride in completed tasks,,,,,,Claps or smiles after finishing an activity.
Label,3.10.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,3.10.5.1,P-SE.10.a,"""Child demonstrates ability to perform simple tasks independently""",,,,,,- Completes simple tasks on their own.
Developmental Milestones,3.10.5.2,P-SE.10.c,"""Child shows self-affection and expresses pride in personal progress""",,,,,,- Hugs themselves and smiles when they learn something new.
Developmental Milestones,3.10.5.3,P-SE.10.b,"""Child can identify and articulate personal strengths and achievements""",,,,,,- Points to or talks about things they are proud of doing.
Label,3.10.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,3.10.6.1,II.A.5,Understands own abilities,,,,PK,,- Shows awareness of what they can do by attempting new tasks.
Developmental Milestones,3.10.6.2,II.A.5.a,"Can self-assess physical capabilities and limitations (e.g., jumping, running, picking up small objects)",,,,PK,,"Jumps, runs, and picks up small objects while knowing their own limits."
Developmental Milestones,3.10.6.3,II.A.5.b,"Demonstrates awareness of cognitive skills and limits (e.g., solving simple problems, recognizing patterns)",,,,PK,,- Solves simple problems and notices patterns.
Developmental Milestones,3.10.6.4,II.A.5.c,"Exhibits understanding of emotional and social abilities in relation to others (e.g., interacting with peers, expressing feelings appropriately)",,,,PK,,- Plays with friends and shows feelings.
Standard,3.11,SE.11,"Child has a sense of belonging to family, community, and other groups",,,,,,Feels connected by smiling and reaching for familiar people.
Label,3.11.1,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,3.11.1.1,,Responds to family members’ voices with excitement,,,,,,- Smiles or moves excitedly when hearing familiar voices.
Label,3.11.2,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,3.11.2.1,,Points to family members in photos,,,,,,- Points to familiar faces in pictures
Label,3.11.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,3.11.3.1,,Refers to family members by name,,,,,,Says family members' names.
Label,3.11.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,3.11.4.1,,Participates in family or community rituals,,,,,,"- Joins in family routines, like waving goodbye or clapping during songs."
Label,3.11.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,3.11.5.1,P-SE.11.b,Developing Interpersonal Skills,,,,,,Plays and shares toys with other children.
Developmental Milestones,3.11.5.2,P-SE.11.c,Appreciating Diversity and Inclusion,,,,,,- Notices and interacts with children who look or act differently.
Developmental Milestones,3.11.5.3,P-SE.11.a,Recognizing Family and Community Roles,,,,,,- Points to or names family members and familiar people in the community.
Label,3.11.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,3.11.6.1,II.D.1,Assumes role as classroom member,,,,PK,,Joins in group play with other children.
Developmental Milestones,3.11.6.2,II.D.1.a,Ability to Participate in Group Activities,,,,PK,,Joins in during group play with other children.
Developmental Milestones,3.11.6.3,II.D.1.b,Self-regulation in Classroom Environment,,,,PK,,Stays calm and focused during playtime.
Developmental Milestones,3.11.6.4,II.D.1.c,Active Contribution in Classroom Discussions,,,,PK,,- Joins in group chats by sharing simple words or sounds.
Standard,3.11.6.5,II.A.6,Feels a sense of belonging,,,,PK,,- Smiles or reaches out when familiar people are nearby.
Developmental Milestones,3.11.6.6,II.A.6.a,Demonstrates Self-Identity,,,,PK,,- Recognizes self in the mirror.
Developmental Milestones,3.11.6.7,II.A.6.b,Establishes Positive Relationships,,,,PK,,Smiles and reaches out to familiar people.
Developmental Milestones,3.11.6.8,II.A.6.c,Engagement and Participation,,,,PK,,Joins in play and explores with curiosity.
Domain,4,LC,Domain #3: Language and Communication,,,,,,
Standard,4.1,LC.1,Child attends to communication and language from others,,,,,,- Listens and responds to familiar voices and sounds.
Label,4.1.1,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,4.1.1.1,,Turns head toward familiar voices,,,,,,• Looks toward the sound of a familiar voice.
Label,4.1.2,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,4.1.2.1,,Follows simple verbal instructions,,,,,,"- Listens and does what you ask, like clapping hands or waving bye-bye."
Label,4.1.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,4.1.3.1,,Responds to multi-step instructions,,,,,,Follows simple two-step directions.
Label,4.1.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,4.1.4.1,,Understands and follows longer instructions,,,,,,- Follows simple two-step directions.
Label,4.1.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,4.1.5.1,P-LC.1.c,Observer Learning,,,,,,Watches and learns from others.
Developmental Milestones,4.1.5.2,P-LC.1.e,"Understand pronouns such as me, mine, yours, him and her.",,,,,,"Uses pronouns like ""me,"" ""mine,"" ""yours,"" ""him,"" and ""her"" correctly in conversation."
Developmental Milestones,4.1.5.3,P-LC.1.f,Attempt to sing songs with words and later sing phrases of songs.,,,,,,- Sings parts of familiar songs.
Developmental Milestones,4.1.5.4,P-LC.1.a,Listening Comprehension,,,,,,- Points to familiar objects when named.
Developmental Milestones,4.1.5.5,P-LC.1.d,Develop an appreciation for music and participate in music and movement activities that represent a variety of the cultures and the home language of the children in the classroom.,,,,,,"Clap, sway, and bounce to different music and songs from around the world."
Developmental Milestones,4.1.5.6,P-LC.1.b,Active Engagement,,,,,,Explores toys with curiosity.
Label,4.1.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,4.1.6.1,III.A.1,Responds appropriately to language,,,,PK,,"Follows simple instructions like ""wave bye-bye."""
Developmental Milestones,4.1.6.2,III.A.1.a,Demonstrates understanding of spoken instructions,,,,PK,,Follows simple directions.
Developmental Milestones,4.1.6.3,III.A.1.c,Shows increase in vocabulary usage,,,,PK,,- Uses new words during play and conversations.
Developmental Milestones,4.1.6.4,III.A.1.b,Participates in verbal interactions,,,,PK,,- Talks and listens during playtime conversations.
Standard,4.1.6.5,III.A.2,Follows directions,,,,PK,,- Listens and does what is asked.
Developmental Milestones,4.1.6.6,III.A.2.b,'Executes tasks in sequence',,,,PK,,- Follows simple steps in order.
Developmental Milestones,4.1.6.7,III.A.2.a,'Understands spoken instructions',,,,PK,,- Follows simple directions.
Developmental Milestones,4.1.6.8,III.A.2.c,'Shows initiative to complete tasks',,,,PK,,"- ""Tries to finish simple tasks on their own."""
Standard,4.1.6.9,III.A.4,Shows understanding of English-speaking teacher and peers (ELL/DLL),,,,PK,,- Responds to simple English words or phrases from teachers and friends.
Developmental Milestones,4.1.6.10,III.A.4.a,Ability to Comprehend Spoken English,,,,PK,,- Listens and understands simple words and phrases.
Developmental Milestones,4.1.6.11,III.A.4.b,Cultural and Contextual Comprehension,,,,PK,,Understands familiar routines and responds to their environment.
Developmental Milestones,4.1.6.12,III.A.4.c,Responding Appropriately,,,,PK,,- Smiles or coos when someone talks to them.
Standard,4.2,LC.2,Child understands and responds to increasingly complex communication and language from others,,,,,,- Recognizes and reacts to familiar words and simple sentences.
Label,4.2.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,4.2.1.1,,Responds with coos when spoken to,,,,,,- Coos back when you talk.
Label,4.2.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,4.2.2.1,,Babbles using varied tones and patterns,,,,,,- Uses different sounds and tones while babbling.
Label,4.2.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,4.2.3.1,,Uses simple sentences during play,,,,,,Speaks in short sentences while playing.
Label,4.2.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,4.2.4.1,,Speaks in short but complete sentences,,,,,,"Uses simple, complete sentences to talk."
Label,4.2.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,4.2.5.1,P-LC.2.b,Child demonstrates proactive responses to verbal cues and commands from adults and peers.,,,,,,- Follows simple directions from adults and friends.
Developmental Milestones,4.2.5.2,P-LC.2.a,Child comprehends and accurately interprets simple and compound instructions.,,,,,,Follows simple and combined instructions.
Developmental Milestones,4.2.5.3,P-LC.2.c,Child exhibits an understanding of complex language by engaging in reciprocal conversations.,,,,,,- Takes turns talking and listening during simple conversations.
Developmental Milestones,4.2.5.4,P-LC.2.d,Child answers simple questions,,,,,,Responds to simple questions.
Label,4.2.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,4.2.6.1,III.E.3,Uses complex sentences,,,,PK,,Talks using sentences with many words.
Standard,4.2.6.2,III.B.2,Engages in conversations,,,,PK,,- Chats with others using simple words or sounds.
Developmental Milestones,4.2.6.3,III.B.2.a,Exhibits Effective Verbal Communication,,,,PK,,Uses words or sounds to express needs and wants.
Developmental Milestones,4.2.6.4,III.B.2.b,Displays Active Listening Skills,,,,PK,,- Listens and responds when spoken to.
Developmental Milestones,4.2.6.5,III.B.2.c,Shows Appropriate Turn-Taking Behavior,,,,PK,,Takes turns during play with others.
Developmental Milestones,4.2.6.6,III.B.2.d,"Child engages in conversations in appropriate ways, demonstrating knowledge of verbal and nonverbal conversational rules.",,,,PK,,"- Talks and listens during play, using words and gestures to take turns."
Standard,4.2.6.7,III.A.3,Listens to others,,,,PK,,- Pays attention when someone is speaking.
Developmental Milestones,4.2.6.8,III.A.3.a,'Recognizes and Comprehends Oral Instructions',,,,PK,,- Follows simple spoken directions.
Developmental Milestones,4.2.6.9,III.A.3.b,'Responds Appropriately to Verbal Communication',,,,PK,,"- Listens and reacts to words with smiles, sounds, or gestures."
Developmental Milestones,4.2.6.10,III.A.3.c,'Shows Active Listening Behaviors',,,,PK,,- Turns head towards sounds and voices.
Standard,4.2.6.11,III.E.4,Adds details to sentences,,,,PK,,Uses more words to describe things.
Developmental Milestones,4.2.6.12,III.E.4.a,Identifies and Uses Descriptive Words,,,,PK,,"- Says words like ""big"" or ""soft"" to describe things."
Developmental Milestones,4.2.6.13,III.E.4.b,Understanding Sentence Structure,,,,PK,,- Combines words to form simple sentences.
Developmental Milestones,4.2.6.14,III.E.4.c,Practice Story Expansion,,,,PK,,- Add more details to a story when talking about it.
Standard,4.3,LC.3,Child varies the amount of information provided to meet the demands of the situations,,,,,,- Adjusts how much they say based on who they're talking to.
Label,4.3.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,4.3.1.1,,Cries to indicate needs like hunger or comfort,,,,,,- Cries when hungry or needing comfort.
Label,4.3.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,4.3.2.1,,Uses basic sounds to indicate needs,,,,,,- Babble or coo to show what they want.
Label,4.3.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,4.3.3.1,,Names objects to communicate needs,,,,,,- Points and says the name of things they want.
Label,4.3.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,4.3.4.1,,Combines words to explain needs,,,,,,Uses two or more words to ask for things.
Label,4.3.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,4.3.5.1,LC.3.a,Adjusting Complexity of Information,,,,,,- Changes how they play based on what they understand.
Developmental Milestones,4.3.5.2,LC.3.b,Contextual Understanding and Information Sharing,,,,,,Shares simple information based on what they see or hear.
Developmental Milestones,4.3.5.3,LC.3.c,Information Regulation in Social Interaction,,,,,,Shares simple information during play.
Label,4.3.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,4.3.6.1,III.B.3,Shares relevant information,,,,PK,,Tells simple stories or facts about their day.
Developmental Milestones,4.3.6.2,III.B.3.a,Verbalizes Personal Thoughts and Experiences,,,,PK,,- Shares simple stories about their day.
Developmental Milestones,4.3.6.3,III.B.3.b,Uses Appropriate Language to Describe Objects or Situations,,,,PK,,Names or describes objects and situations with simple words.
Developmental Milestones,4.3.6.4,III.B.3.c,Demonstrates Active Listening and Responsive Communication,,,,PK,,Listens and responds with gestures or sounds.
Standard,4.3.6.5,III.E.1,Uses complete sentences,,,,PK,,Speaks in full sentences.
Developmental Milestones,4.3.6.6,III.E.1.a,Understands sentence structure,,,,PK,,- Puts simple words together to make short sentences.
Developmental Milestones,4.3.6.7,III.E.1.b,Applies appropriate grammar,,,,PK,,Uses simple sentences with correct words.
Developmental Milestones,4.3.6.8,III.E.1.c,Able to put together sentences of at least four words in proper order and context.,,,,PK,,- Speaks in sentences with at least four words in the right order.
Standard,4.4,LC.4,"Child understands, follows, and uses appropriate social and conversational rules",,,,,,Follows simple social rules during play.
Label,4.4.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,4.4.1.1,,Coos and babbles during playtime,,,,,,- Makes cooing and babbling sounds while playing.
Label,4.4.2,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,4.4.2.1,,Takes turns babbling with caregivers,,,,,,- Babble back and forth with caregivers.
Label,4.4.3,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,4.4.3.1,,Practices turn-taking during conversations,,,,,,Takes turns talking with others.
Label,4.4.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,4.4.4.1,,Engages in group discussions with peers,,,,,,- Talks with friends during playtime.
Label,4.4.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,4.4.5.1,LC.4.a,"""Child recognizes and respects personal space and boundaries of others""",,,,,,- Notices and moves away when too close to others.
Developmental Milestones,4.4.5.2,LC.4.b,"""Child accurately interprets verbal and non-verbal social cues in a conversation""",,,,,,- Understands and responds to facial expressions and gestures during play.
Developmental Milestones,4.4.5.3,LC.4.c,"""Child applies polite and constructive language during social interactions""",,,,,,"- Uses kind words like ""please"" and ""thank you"" when talking with others."
Label,4.4.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,4.4.6.1,III.B.4,Follows conversational rules,,,,PK,,- Takes turns during simple back-and-forth interactions.
Developmental Milestones,4.4.6.2,III.B.4.b,'Takes Turns When Speaking',,,,PK,,- Waits for their turn to talk.
Developmental Milestones,4.4.6.3,III.B.4.c,'Listens and Responds Appropriately',,,,PK,,- Turns to look when they hear their name and smiles or babbles back.
Developmental Milestones,4.4.6.4,III.B.4.a,'Maintains Eye Contact',,,,PK,,- Looks into the eyes of others during interactions.
Standard,4.4.6.5,III.B.5,Matches language to content,,,,PK,,Uses words to describe what they see or do.
Standard,4.5,LC.5,"Child expresses himself in increasingly long, detailed, and sophisticated ways",,,,,,- Talks using longer sentences with more details.
Label,4.5.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,4.5.1.1,,Gestures toward objects when asked,,,,,,- Points to objects when asked
Label,4.5.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,4.5.2.1,,Points to answer basic questions,,,,,,- Points to show an answer when asked a simple question.
Label,4.5.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,4.5.3.1,,Answers simple questions like 'Where's the ball?',,,,,,"- Points or looks at the ball when asked, ""Where's the ball?"""
Label,4.5.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,4.5.4.1,,Expands on answers to questions,,,,,,- Adds more words when answering a question.
Label,4.5.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,4.5.5.1,LC.5.c,Verbal Fluency and Clarity,,,,,,- Speak clearly and use simple words to express needs and ideas.
Developmental Milestones,4.5.5.2,LC.5.d,"Explore drawing, painting and writing as a way of communicating.",,,,,,- Create marks and scribbles with crayons or paint to share ideas.
Developmental Milestones,4.5.5.3,LC.5.a,Vocabulary Expansion,,,,,,- Use new words during play and daily activities.
Developmental Milestones,4.5.5.4,LC.5.e,Tell teacher about drawing,,,,,,- Show and talk about their drawing with a teacher.
Developmental Milestones,4.5.5.5,LC.5.b,Narrative Skills,,,,,,- Tells simple stories with gestures and expressions.
Label,4.5.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,4.5.6.1,III.C.1,Speaks clearly,,,,PK,,- Says words clearly so others can understand.
Developmental Milestones,4.5.6.1.1,III.C.1.a,Pronunciation Mastery,,,,PK,,- Says words clearly so others can understand.
Developmental Milestones,4.5.6.1.2,III.C.1.b,Vocabulary Enhancement,,,,PK,,- Say new words during playtime.
Developmental Milestones,4.5.6.1.3,III.C.1.c,Sentence Structuring,,,,PK,,- Combine words to form simple sentences.
Standard,4.5.6.2,III.C.3,Uses appropriate volume and tone,,,,PK,,Speaks softly or loudly based on the situation.
Developmental Milestones,4.5.6.2.1,III.C.3.a,Recognizes and Modulates Volume,,,,PK,,- Turns the volume up or down when listening to music.
Developmental Milestones,4.5.6.2.2,III.C.3.b,Matches Tone to Situation,,,,PK,,Uses different voices to show feelings in different situations.
Developmental Milestones,4.5.6.2.3,III.C.3.c,Expresses Respect and Kindness Through Voice,,,,PK,,Uses a gentle voice to show kindness.
Standard,4.5.6.3,III.B.1,Uses language to express self,,,,PK,,Speaks to share feelings and needs.
Developmental Milestones,4.5.6.4,III.B.1.c,Engagement in Conversational Exchange,,,,PK,,- Responds with sounds or gestures during simple back-and-forth interactions.
Developmental Milestones,4.5.6.5,III.B.1.a,Articulates Personal Feelings and Thoughts,,,,PK,,"""Uses simple words or gestures to express feelings."""
Developmental Milestones,4.5.6.6,III.B.1.b,Utilizes Vocabulary for Self-Expression,,,,PK,,Uses words to share feelings and needs.
Standard,4.6,LC.6,Child understands and uses a wide variety of words for a variety of purposes,,,,,,- Uses different words to ask for things and express feelings.
Label,4.6.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,4.6.1.1,,Focuses on tones and pitches of voices,,,,,,- Listens and reacts to different tones and pitches in voices.
Label,4.6.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,4.6.2.1,,Observes others speaking in a different language,,,,,,- Watches people talking in a different language.
Label,4.6.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,4.6.3.1,,Says words in different languages when guided,,,,,,- Uses words from different languages when prompted.
Label,4.6.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,4.6.4.1,,Learns phrases from other languages,,,,,,Repeats simple phrases from different languages.
Label,4.6.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,4.6.5.1,LC.6.b,Purposeful Word Usage,,,,,,- Says words to express needs or wants.
Developmental Milestones,4.6.5.2,LC.6.c,Word Comprehension,,,,,,"- Understands and responds to simple words like ""bye-bye"" or ""milk."""
Developmental Milestones,4.6.5.3,LC.6.d,Begin using 's' at the end of some words such as wants trucks and mouses.,,,,,,"- Says words like ""wants"" and ""mouses"" to show plurals."
Developmental Milestones,4.6.5.4,LC.6.a,Vocabulary Expansion,,,,,,- Say new words and name familiar objects.
Label,4.6.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,4.6.6.1,III.D.1,Uses words to label and describe,,,,PK,,Says words to name things.
Developmental Milestones,4.6.6.1.1,III.D.1.a,Vocabulary Development,,,,PK,,- Says new words and names familiar objects.
Developmental Milestones,4.6.6.1.2,III.D.1.b,Description Skills,,,,PK,,Uses words to describe familiar objects and people.
Developmental Milestones,4.6.6.1.3,III.D.1.c,Can use variety of words to name and identify everyday things.,,,,PK,,Points to objects and names them with words.
Developmental Milestones,4.6.6.1.4,III.D.1.d,Child understands and uses the instructional language of the classroom.,,,,PK,,- Follows simple directions given by a teacher or caregiver.
Standard,4.6.6.2,III.D.2,Understands words and meanings including words with multiple meanings,,,,PK,,Points to familiar objects when named and shows awareness of different uses for the same word.
Developmental Milestones,4.6.6.2.1,III.D.2.a,Identifies and Uses Vocabulary,,,,PK,,- Says and understands new words.
Developmental Milestones,4.6.6.2.2,III.D.2.b,Comprehends Multiple Meaning Words,,,,PK,,Understands words that have more than one meaning.
Developmental Milestones,4.6.6.2.3,III.D.2.c,Interprets Context Clues,,,,PK,,Uses gestures or expressions to understand what's happening around them.
Standard,4.6.6.3,III.D.3,Increases speaking vocabulary,,,,PK,,- Says more new words.
Developmental Milestones,4.6.6.3.1,III.D.3.a,Identifies and Correctly Pronounces New Words,,,,PK,,- Says new words clearly.
Developmental Milestones,4.6.6.3.2,III.D.3.b,"Describes Objects, Events, and Ideas",,,,PK,,Names things they see and talks about what happens.
Developmental Milestones,4.6.6.3.3,III.D.3.c,Engages in Conversational Exchanges,,,,PK,,- Takes turns making sounds or gestures during interactions.
Standard,4.6.6.4,III.D.4,Increases listening vocabulary,,,,PK,,- Understands and responds to more words.
Developmental Milestones,4.6.6.4.1,III.D.4.a,Identifies New Words,,,,PK,,- Points to or repeats new words they hear.
Developmental Milestones,4.6.6.4.2,III.D.4.b,Understands Contextual Meaning,,,,PK,,Recognizes familiar words in everyday situations.
Developmental Milestones,4.6.6.4.3,III.D.4.c,Follows Verbal Instructions,,,,PK,,- Listens and does simple tasks when asked.
Standard,4.6.6.5,III.D.5,Classifies words into groups,,,,PK,,- Sorts objects or pictures into matching groups.
Developmental Milestones,4.6.6.5.1,III.D.5.a,Identifies and Recognizes Similar Words,,,,PK,,- Points to or repeats words that sound alike.
Developmental Milestones,4.6.6.5.2,III.D.5.b,Categorizes Words by Themes or Attributes,,,,PK,,"Sorts words into groups, like animals or colors."
Developmental Milestones,4.6.6.5.3,III.D.5.c,Understands and Explains Grouping Criteria,,,,PK,,Sorts toys into groups by color or shape.
Standard,4.6.6.6,III.D.6,"Uses a variety of word-meaning relationships (ie, part-whole, object-function, object-location).",,,,PK,,Points to objects and tells what they are or where they go.
Developmental Milestones,4.6.6.6.1,III.D.6.a,Recognizes and Utilizes Part-Whole Relationships,,,,PK,,Stacks blocks to make a tall tower.
Developmental Milestones,4.6.6.6.2,III.D.6.b,Identifies and Associates Object-Function Relationships,,,,PK,,"Uses objects correctly, like brushing hair with a brush or drinking from a cup."
Developmental Milestones,4.6.6.6.3,III.D.6.c,Understands and Applies Object-Location Relationships,,,,PK,,Finds and places toys in specific spots.
Standard,4.6.6.7,III.D.7,Comprehends more words than uses (ELL/DLL),,,,PK,,Understands more words than they can say.
Developmental Milestones,4.6.6.7.1,III.D.7.a,Vocabulary Recognition,,,,PK,,- Points to or looks at familiar objects when named.
Developmental Milestones,4.6.6.7.2,III.D.7.b,Passive Language Comprehension,,,,PK,,- Understands simple words and phrases.
Developmental Milestones,4.6.6.7.3,III.D.7.c,Contextual Understanding,,,,PK,,Understands and responds to familiar words and actions in different situations.
Developmental Milestones,4.6.6.8,III.B.5.a,Identifies Appropriate Vocabulary,,,,PK,,Uses simple words to name familiar objects.
Developmental Milestones,4.6.6.9,III.B.5.b,Adjusts Communication Style,,,,PK,,- Changes how they talk to match who they're with.
Developmental Milestones,4.6.6.10,III.B.5.c,Comprehends Variety in Tone,,,,PK,,- Recognizes and responds differently to happy or upset voices.
Standard,4.7,LC.7,Child shows understanding of word categories and relationships among words,,,,,,Sorts objects into groups by what they are called.
Label,4.7.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,4.7.1.1,,Calms to the sound of a familiar song,,,,,,- Relaxes when hearing a familiar song.
Label,4.7.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,4.7.2.1,,Joins in rhymes or songs with simple sounds,,,,,,- Sings along with simple sounds in rhymes or songs.
Label,4.7.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,4.7.3.1,,Repeats phrases from rhymes or songs,,,,,,- Sings parts of favorite songs.
Label,4.7.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,4.7.4.1,,Participates fully in group songs or rhymes,,,,,,- Claps hands and joins in singing familiar songs.
Label,4.7.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,4.7.5.1,LC.7.b,Child can arrange words with similar meanings into categories.,,,,,,Sorts similar objects into groups.
Developmental Milestones,4.7.5.2,LC.7.a,"Child can differentiate between various word categories, like nouns, adjectives, and verbs.",,,,,,"- Sorts words into groups like names, actions, and describing words."
Developmental Milestones,4.7.5.3,LC.7.c,"Child can identify and describe relationships between words, such as synonyms, antonyms, homophones.",,,,,,- Points to pictures and says words that mean the same or opposite.
Label,4.7.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,4.7.6.1,III.E.2,Uses grammatical rules,,,,PK,,Speaks in simple sentences.
Developmental Milestones,4.7.6.1.1,III.E.2.a,Identifies and Applies Basic Punctuation,,,,PK,,- Points to a period or comma in a storybook.
Developmental Milestones,4.7.6.1.2,III.E.2.b,Understands and Uses Verb Tenses,,,,PK,,"- Says action words like ""running"" and ""jumped"" to talk about what they do."
Developmental Milestones,4.7.6.1.3,III.E.2.c,Forms and Uses Plural Nouns,,,,PK,,"Uses words like ""dogs"" and ""cars"" to talk about more than one."
Cluster,4.8,LIT,Literacy,,,,,,
