Item Type,Sequence,Human Code,Full Statement,Abbreviated Statement,Notes,Supp. Info,Ed. Level,Language,Rewritten Statement
Standard,3.11,SE.11,"Child has a sense of belonging to family, community, and other groups",,,,,,
Label,3.11.1,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,3.11.1.1,,Responds to family members’ voices with excitement,,,,,,
Label,3.11.2,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,3.11.2.1,,Points to family members in photos,,,,,,
Label,3.11.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,3.11.3.1,,Refers to family members by name,,,,,,
Label,3.11.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,3.11.4.1,,Participates in family or community rituals,,,,,,
Label,3.11.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,3.11.5.1,P-SE.11.b,Developing Interpersonal Skills,,,,,,
Developmental Milestones,3.11.5.2,P-SE.11.c,Appreciating Diversity and Inclusion,,,,,,
Developmental Milestones,3.11.5.3,P-SE.11.a,Recognizing Family and Community Roles,,,,,,
Label,3.11.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,3.11.6.1,II.D.1,Assumes role as classroom member,,,,PK,, Joins in play with other children.
Developmental Milestones,3.11.6.2,II.D.1.a,Ability to Participate in Group Activities,,,,PK,, Joins in simple play with other children.
Developmental Milestones,3.11.6.3,II.D.1.b,Self-regulation in Classroom Environment,,,,PK,, Calms down with a quiet activity when feeling upset.
Developmental Milestones,3.11.6.4,II.D.1.c,Active Contribution in Classroom Discussions,,,,PK,, shares ideas during group play.
Standard,3.11.6.5,II.A.6,Feels a sense of belonging,,,,PK,,Looks for familiar faces and smiles when seeing them.
Developmental Milestones,3.11.6.6,II.A.6.a,Demonstrates Self-Identity,,,,PK,, recognizes self in the mirror and smiles.
Developmental Milestones,3.11.6.7,II.A.6.b,Establishes Positive Relationships,,,,PK,,Shows kindness to friends and caregivers.
Developmental Milestones,3.11.6.8,II.A.6.c,Engagement and Participation,,,,PK,,Joins in play and explores activities with curiosity.
Domain,4,LC,Domain #3: Language and Communication,,,,,,
Standard,4.1,LC.1,Child attends to communication and language from others,,,,,,
Label,4.1.1,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,4.1.1.1,,Turns head toward familiar voices,,,,,,
Label,4.1.2,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,4.1.2.1,,Follows simple verbal instructions,,,,,,
Label,4.1.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,4.1.3.1,,Responds to multi-step instructions,,,,,,
Label,4.1.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,4.1.4.1,,Understands and follows longer instructions,,,,,,
Label,4.1.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,4.1.5.1,P-LC.1.c,Observer Learning,,,,,,
Developmental Milestones,4.1.5.2,P-LC.1.e,"Understand pronouns such as me, mine, yours, him and her.",,,,,,
Developmental Milestones,4.1.5.3,P-LC.1.f,Attempt to sing songs with words and later sing phrases of songs.,,,,,,
Developmental Milestones,4.1.5.4,P-LC.1.a,Listening Comprehension,,,,,,
Developmental Milestones,4.1.5.5,P-LC.1.d,Develop an appreciation for music and participate in music and movement activities that represent a variety of the cultures and the home language of the children in the classroom.,,,,,,
Developmental Milestones,4.1.5.6,P-LC.1.b,Active Engagement,,,,,,
Label,4.1.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,4.1.6.1,III.A.1,Responds appropriately to language,,,,PK,,Understands and reacts to words or simple phrases.
Developmental Milestones,4.1.6.2,III.A.1.a,Demonstrates understanding of spoken instructions,,,,PK,,Follows simple directions.
Developmental Milestones,4.1.6.3,III.A.1.c,Shows increase in vocabulary usage,,,,PK,, Uses new words to name things and express needs.
Developmental Milestones,4.1.6.4,III.A.1.b,Participates in verbal interactions,,,,PK,, Engages in simple back-and-forth conversations.
Standard,4.1.6.5,III.A.2,Follows directions,,,,PK,, Listens and does simple tasks when asked.
Developmental Milestones,4.1.6.6,III.A.2.b,'Executes tasks in sequence',,,,PK,, Stacks blocks one after another.
Developmental Milestones,4.1.6.7,III.A.2.a,'Understands spoken instructions',,,,PK,,"- Follows simple directions like ""sit down"" or ""come here."""
Developmental Milestones,4.1.6.8,III.A.2.c,'Shows initiative to complete tasks',,,,PK,,- *Tries to finish simple activities on their own.*
Standard,4.1.6.9,III.A.4,Shows understanding of English-speaking teacher and peers (ELL/DLL),,,,PK,,Follows simple instructions from an English-speaking teacher.
Developmental Milestones,4.1.6.10,III.A.4.a,Ability to Comprehend Spoken English,,,,PK,, Understands simple English words and phrases.
Developmental Milestones,4.1.6.11,III.A.4.b,Cultural and Contextual Comprehension,,,,PK,, Notices and responds to familiar cultural songs or stories.
Developmental Milestones,4.1.6.12,III.A.4.c,Responding Appropriately,,,,PK,, Smiles or coos back when someone talks to them.
Standard,4.2,LC.2,Child understands and responds to increasingly complex communication and language from others,,,,,,
Label,4.2.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,4.2.1.1,,Responds with coos when spoken to,,,,,,
Label,4.2.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,4.2.2.1,,Babbles using varied tones and patterns,,,,,,
Label,4.2.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,4.2.3.1,,Uses simple sentences during play,,,,,,
Label,4.2.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,4.2.4.1,,Speaks in short but complete sentences,,,,,,
Label,4.2.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,4.2.5.1,P-LC.2.b,Child demonstrates proactive responses to verbal cues and commands from adults and peers.,,,,,,
Developmental Milestones,4.2.5.2,P-LC.2.a,Child comprehends and accurately interprets simple and compound instructions.,,,,,,
Developmental Milestones,4.2.5.3,P-LC.2.c,Child exhibits an understanding of complex language by engaging in reciprocal conversations.,,,,,,
Developmental Milestones,4.2.5.4,P-LC.2.d,Child answers simple questions,,,,,,
Label,4.2.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,4.2.6.1,III.E.3,Uses complex sentences,,,,PK,, Strings words together to make longer sentences.
Standard,4.2.6.2,III.B.2,Engages in conversations,,,,PK,, Chatters with others using simple words or sounds.
Developmental Milestones,4.2.6.3,III.B.2.a,Exhibits Effective Verbal Communication,,,,PK,,Uses words or sounds to express needs and wants.
Developmental Milestones,4.2.6.4,III.B.2.b,Displays Active Listening Skills,,,,PK,,Listens closely and responds to sounds or voices.
Developmental Milestones,4.2.6.5,III.B.2.c,Shows Appropriate Turn-Taking Behavior,,,,PK,, Takes turns during play by waiting and sharing with others.
Developmental Milestones,4.2.6.6,III.B.2.d,"Child engages in conversations in appropriate ways, demonstrating knowledge of verbal and nonverbal conversational rules.",,,,PK,," talks and Listens while following simple conversation rules, like taking turns and using gestures."
Standard,4.2.6.7,III.A.3,Listens to others,,,,PK,, turns head towards sounds or voices.
Developmental Milestones,4.2.6.8,III.A.3.a,'Recognizes and Comprehends Oral Instructions',,,,PK,, Follows simple spoken directions.
Developmental Milestones,4.2.6.9,III.A.3.b,'Responds Appropriately to Verbal Communication',,,,PK,, reacts to familiar words or sounds with gestures or vocalizations.
Developmental Milestones,4.2.6.10,III.A.3.c,'Shows Active Listening Behaviors',,,,PK,, turns head to look when someone is speaking.
Standard,4.2.6.11,III.E.4,Adds details to sentences,,,,PK,,Uses more words to tell about things.
Developmental Milestones,4.2.6.12,III.E.4.a,Identifies and Uses Descriptive Words,,,,PK,,"- Points to or names objects using simple descriptive words like ""big"" or ""soft."""
Developmental Milestones,4.2.6.13,III.E.4.b,Understanding Sentence Structure,,,,PK,, Puts words together to make simple sentences.
Developmental Milestones,4.2.6.14,III.E.4.c,Practice Story Expansion,,,,PK,, Tell longer stories with more details.
Standard,4.3,LC.3,Child varies the amount of information provided to meet the demands of the situations,,,,,,
Label,4.3.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,4.3.1.1,,Cries to indicate needs like hunger or comfort,,,,,,
Label,4.3.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,4.3.2.1,,Uses basic sounds to indicate needs,,,,,,
Label,4.3.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,4.3.3.1,,Names objects to communicate needs,,,,,,
Label,4.3.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,4.3.4.1,,Combines words to explain needs,,,,,,
Label,4.3.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,4.3.5.1,LC.3.a,Adjusting Complexity of Information,,,,,,
Developmental Milestones,4.3.5.2,LC.3.b,Contextual Understanding and Information Sharing,,,,,,
Developmental Milestones,4.3.5.3,LC.3.c,Information Regulation in Social Interaction,,,,,,
Label,4.3.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,4.3.6.1,III.B.3,Shares relevant information,,,,PK,,Talks about favorite toys or activities.
Developmental Milestones,4.3.6.2,III.B.3.a,Verbalizes Personal Thoughts and Experiences,,,,PK,, shares simple stories or ideas using their own words.
Developmental Milestones,4.3.6.3,III.B.3.b,Uses Appropriate Language to Describe Objects or Situations,,,,PK,,Names objects or talks about things they see.
Developmental Milestones,4.3.6.4,III.B.3.c,Demonstrates Active Listening and Responsive Communication,,,,PK,,Listens and responds with gestures or sounds.
Standard,4.3.6.5,III.E.1,Uses complete sentences,,,,PK,,Speaks in full sentences.
Developmental Milestones,4.3.6.6,III.E.1.a,Understands sentence structure,,,,PK,, Puts words together to make simple sentences.
Developmental Milestones,4.3.6.7,III.E.1.b,Applies appropriate grammar,,,,PK,, Uses simple words and short sentences to talk.
Developmental Milestones,4.3.6.8,III.E.1.c,Able to put together sentences of at least four words in proper order and context.,,,,PK,,Speaks in sentences with at least four words in the right order.
Standard,4.4,LC.4,"Child understands, follows, and uses appropriate social and conversational rules",,,,,,
Label,4.4.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,4.4.1.1,,Coos and babbles during playtime,,,,,,
Label,4.4.2,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,4.4.2.1,,Takes turns babbling with caregivers,,,,,,
Label,4.4.3,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,4.4.3.1,,Practices turn-taking during conversations,,,,,,
Label,4.4.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,4.4.4.1,,Engages in group discussions with peers,,,,,,
Label,4.4.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,4.4.5.1,LC.4.a,"""Child recognizes and respects personal space and boundaries of others""",,,,,,
Developmental Milestones,4.4.5.2,LC.4.b,"""Child accurately interprets verbal and non-verbal social cues in a conversation""",,,,,,
Developmental Milestones,4.4.5.3,LC.4.c,"""Child applies polite and constructive language during social interactions""",,,,,,
Label,4.4.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,4.4.6.1,III.B.4,Follows conversational rules,,,,PK,,Takes turns babbling or talking with others.
Developmental Milestones,4.4.6.2,III.B.4.b,'Takes Turns When Speaking',,,,PK,, Waits for a turn to talk.
Developmental Milestones,4.4.6.3,III.B.4.c,'Listens and Responds Appropriately',,,,PK,,- **Turns head and smiles when hears familiar voices.**
Developmental Milestones,4.4.6.4,III.B.4.a,'Maintains Eye Contact',,,,PK,, Looks at you when you talk or play together.
Standard,4.4.6.5,III.B.5,Matches language to content,,,,PK,, Uses words to describe what they see or do.
Standard,4.5,LC.5,"Child expresses himself in increasingly long, detailed, and sophisticated ways",,,,,,
Label,4.5.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,4.5.1.1,,Gestures toward objects when asked,,,,,,
Label,4.5.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,4.5.2.1,,Points to answer basic questions,,,,,,
Label,4.5.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,4.5.3.1,,Answers simple questions like 'Where's the ball?',,,,,,
Label,4.5.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,4.5.4.1,,Expands on answers to questions,,,,,,
Label,4.5.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,4.5.5.1,LC.5.c,Verbal Fluency and Clarity,,,,,,
Developmental Milestones,4.5.5.2,LC.5.d,"Explore drawing, painting and writing as a way of communicating.",,,,,,
Developmental Milestones,4.5.5.3,LC.5.a,Vocabulary Expansion,,,,,,
Developmental Milestones,4.5.5.4,LC.5.e,Tell teacher about drawing,,,,,,
Developmental Milestones,4.5.5.5,LC.5.b,Narrative Skills,,,,,,
Label,4.5.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,4.5.6.1,III.C.1,Speaks clearly,,,,PK,, says words that others can understand.
Developmental Milestones,4.5.6.1.1,III.C.1.a,Pronunciation Mastery,,,,PK,, says words clearly enough to be understood by familiar adults.
Developmental Milestones,4.5.6.1.2,III.C.1.b,Vocabulary Enhancement,,,,PK,, says new words to name familiar objects.
Developmental Milestones,4.5.6.1.3,III.C.1.c,Sentence Structuring,,,,PK,, build simple sentences using a few words.
Standard,4.5.6.2,III.C.3,Uses appropriate volume and tone,,,,PK,, Speaks in a soft or loud voice depending on the situation.
Developmental Milestones,4.5.6.2.1,III.C.3.a,Recognizes and Modulates Volume,,,,PK,, Adjusts voice to be louder or softer during play.
Developmental Milestones,4.5.6.2.2,III.C.3.b,Matches Tone to Situation,,,,PK,, Uses voice to match feelings in different situations.
Developmental Milestones,4.5.6.2.3,III.C.3.c,Expresses Respect and Kindness Through Voice,,,,PK,,Uses a gentle voice when talking to others.
Standard,4.5.6.3,III.B.1,Uses language to express self,,,,PK,, says simple words to show what they want or need.
Developmental Milestones,4.5.6.4,III.B.1.c,Engagement in Conversational Exchange,,,,PK,, Babble back and forth with caregivers.
Developmental Milestones,4.5.6.5,III.B.1.a,Articulates Personal Feelings and Thoughts,,,,PK,, Expresses feelings with simple words or gestures.
Developmental Milestones,4.5.6.6,III.B.1.b,Utilizes Vocabulary for Self-Expression,,,,PK,,Uses words to share feelings.
Standard,4.6,LC.6,Child understands and uses a wide variety of words for a variety of purposes,,,,,,
Label,4.6.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,4.6.1.1,,Focuses on tones and pitches of voices,,,,,,
Label,4.6.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,4.6.2.1,,Observes others speaking in a different language,,,,,,
Label,4.6.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,4.6.3.1,,Says words in different languages when guided,,,,,,
Label,4.6.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,4.6.4.1,,Learns phrases from other languages,,,,,,
Label,4.6.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,4.6.5.1,LC.6.b,Purposeful Word Usage,,,,,,
Developmental Milestones,4.6.5.2,LC.6.c,Word Comprehension,,,,,,
Developmental Milestones,4.6.5.3,LC.6.d,Begin using 's' at the end of some words such as wants trucks and mouses.,,,,,,
Developmental Milestones,4.6.5.4,LC.6.a,Vocabulary Expansion,,,,,,
Label,4.6.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,4.6.6.1,III.D.1,Uses words to label and describe,,,,PK,, says words to name and talk about things.
Developmental Milestones,4.6.6.1.1,III.D.1.a,Vocabulary Development,,,,PK,, says new words and names familiar objects.
Developmental Milestones,4.6.6.1.2,III.D.1.b,Description Skills,,,,PK,,Uses words to describe objects or actions they see.
Developmental Milestones,4.6.6.1.3,III.D.1.c,Can use variety of words to name and identify everyday things.,,,,PK,,Names familiar objects.
Developmental Milestones,4.6.6.1.4,III.D.1.d,Child understands and uses the instructional language of the classroom.,,,,PK,, Follows simple directions during playtime.
Standard,4.6.6.2,III.D.2,Understands words and meanings including words with multiple meanings,,,,PK,,Recognizes and responds to familiar words and simple phrases.
Developmental Milestones,4.6.6.2.1,III.D.2.a,Identifies and Uses Vocabulary,,,,PK,, says and Understands simple words.
Developmental Milestones,4.6.6.2.2,III.D.2.b,Comprehends Multiple Meaning Words,,,,PK,,Understands words that have more than one meaning.
Developmental Milestones,4.6.6.2.3,III.D.2.c,Interprets Context Clues,,,,PK,, Looks around and Uses clues to understand what is happening.
Standard,4.6.6.3,III.D.3,Increases speaking vocabulary,,,,PK,, Uses new words when talking.
Developmental Milestones,4.6.6.3.1,III.D.3.a,Identifies and Correctly Pronounces New Words,,,,PK,, says new words clearly.
Developmental Milestones,4.6.6.3.2,III.D.3.b,"Describes Objects, Events, and Ideas",,,,PK,,Uses words or sounds to talk about things they see or do.
Developmental Milestones,4.6.6.3.3,III.D.3.c,Engages in Conversational Exchanges,,,,PK,, Takes turns making sounds or babbling during play.
Standard,4.6.6.4,III.D.4,Increases listening vocabulary,,,,PK,, Listens to and Understands more words.
Developmental Milestones,4.6.6.4.1,III.D.4.a,Identifies New Words,,,,PK,, Points to or repeats new words they hear.
Developmental Milestones,4.6.6.4.2,III.D.4.b,Understands Contextual Meaning,,,,PK,, recognizes and responds to familiar words or gestures in everyday situations.
Developmental Milestones,4.6.6.4.3,III.D.4.c,Follows Verbal Instructions,,,,PK,, Listens and acts when you say simple directions.
Standard,4.6.6.5,III.D.5,Classifies words into groups,,,,PK,, Sorts toys or objects into groups like colors or shapes.
Developmental Milestones,4.6.6.5.1,III.D.5.a,Identifies and Recognizes Similar Words,,,,PK,, Points to or repeats words that sound the same.
Developmental Milestones,4.6.6.5.2,III.D.5.b,Categorizes Words by Themes or Attributes,,,,PK,,Sorts words into groups based on themes or features.
Developmental Milestones,4.6.6.5.3,III.D.5.c,Understands and Explains Grouping Criteria,,,,PK,,Sorts objects into groups based on a simple characteristic.
Standard,4.6.6.6,III.D.6,"Uses a variety of word-meaning relationships (ie, part-whole, object-function, object-location).",,,,PK,, names parts of objects and Tells what they do or where they are.
Developmental Milestones,4.6.6.6.1,III.D.6.a,Recognizes and Utilizes Part-Whole Relationships,,,,PK,,Stacks blocks to create a tower and then takes them apart.
Developmental Milestones,4.6.6.6.2,III.D.6.b,Identifies and Associates Object-Function Relationships,,,,PK,,"Uses objects for their intended purpose, like drinking from a cup or brushing hair with a brush."
Developmental Milestones,4.6.6.6.3,III.D.6.c,Understands and Applies Object-Location Relationships,,,,PK,,Finds and moves objects to different places.
Standard,4.6.6.7,III.D.7,Comprehends more words than uses (ELL/DLL),,,,PK,,Understands more words than they can say.
Developmental Milestones,4.6.6.7.1,III.D.7.a,Vocabulary Recognition,,,,PK,, recognizes and responds to familiar words.
Developmental Milestones,4.6.6.7.2,III.D.7.b,Passive Language Comprehension,,,,PK,, Understands simple words and gestures.
Developmental Milestones,4.6.6.7.3,III.D.7.c,Contextual Understanding,,,,PK,,Grasps familiar objects when named.
Developmental Milestones,4.6.6.8,III.B.5.a,Identifies Appropriate Vocabulary,,,,PK,,Uses simple words to name familiar objects.
Developmental Milestones,4.6.6.9,III.B.5.b,Adjusts Communication Style,,,,PK,,- Changes how they talk depending on who they're with.
Developmental Milestones,4.6.6.10,III.B.5.c,Comprehends Variety in Tone,,,,PK,, recognizes different tones in voices.
Standard,4.7,LC.7,Child shows understanding of word categories and relationships among words,,,,,,
Label,4.7.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,4.7.1.1,,Calms to the sound of a familiar song,,,,,,
Label,4.7.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,4.7.2.1,,Joins in rhymes or songs with simple sounds,,,,,,
Label,4.7.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,4.7.3.1,,Repeats phrases from rhymes or songs,,,,,,
Label,4.7.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,4.7.4.1,,Participates fully in group songs or rhymes,,,,,,
Label,4.7.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,4.7.5.1,LC.7.b,Child can arrange words with similar meanings into categories.,,,,,,
Developmental Milestones,4.7.5.2,LC.7.a,"Child can differentiate between various word categories, like nouns, adjectives, and verbs.",,,,,,
Developmental Milestones,4.7.5.3,LC.7.c,"Child can identify and describe relationships between words, such as synonyms, antonyms, homophones.",,,,,,
Label,4.7.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,4.7.6.1,III.E.2,Uses grammatical rules,,,,PK,, Strings words together into simple sentences.
Developmental Milestones,4.7.6.1.1,III.E.2.a,Identifies and Applies Basic Punctuation,,,,PK,, Points to or Shows excitement about marks like periods or question marks in books.
Developmental Milestones,4.7.6.1.2,III.E.2.b,Understands and Uses Verb Tenses,,,,PK,,"Uses words like ""ran"" and ""playing"" to talk about actions."
Developmental Milestones,4.7.6.1.3,III.E.2.c,Forms and Uses Plural Nouns,,,,PK,,"Says words like ""cats"" for more than one cat."
Cluster,4.8,LIT,Literacy,,,,,,
Standard,4.8.1,LIT.1,Child demonstrates awareness that spoken language is composed of smaller segments of sound,,,,,,
Label,4.8.1.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,4.8.1.1.1,,Smiles when hearing matching sounds,,,,,,
Label,4.8.1.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,4.8.1.2.1,,Recognizes and matches simple rhyming patterns,,,,,,
Label,4.8.1.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,4.8.1.3.1,,Identifies rhymes in short verses,,,,,,
Label,4.8.1.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,4.8.1.4.1,,Creates and identifies rhyming words,,,,,,
Label,4.8.1.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,4.8.1.5.1,LIT.1.a,Child understands and identifies different sounds in words,,,,,,
Developmental Milestones,4.8.1.5.2,LIT.1.b,Child exhibits phonological awareness,,,,,,
Developmental Milestones,4.8.1.5.3,LIT.1.c,Child applies sound recognition in language interaction,,,,,,
Label,4.8.1.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,4.8.1.6.1,IV.B.2,Combines words to make compound word,,,,PK,,"- Joins two words to create a new word, like ""cup"" and ""cake"" to make ""cupcake."""
Developmental Milestones,4.8.1.6.1.1,IV.B.2.a,Identification of Simple Words,,,,PK,,"- Points to or says familiar words like ""mom"" or ""dog."""
Developmental Milestones,4.8.1.6.1.2,IV.B.2.b,Understanding Word Formation,,,,PK,,"- Says simple words like ""mama"" or ""baba."""
Developmental Milestones,4.8.1.6.1.3,IV.B.2.c,Application of Compound Words,,,,PK,,"- Combines two simple words to make a new word, like ""sun"" and ""flower"" to say ""sunflower."""
Standard,4.8.1.6.2,IV.B.3,Deletes words from compound word,,,,PK,,- Takes away a word from a big word to see what's left.
Developmental Milestones,4.8.1.6.2.1,IV.B.3.a,Recognizes Compound Words,,,,PK,, Points to or says parts of a word when they hear them together.
Developmental Milestones,4.8.1.6.2.2,IV.B.3.b,Separates Compound Words,,,,PK,,"- Splits words like ""sunflower"" into ""sun"" and ""flower."""
Developmental Milestones,4.8.1.6.2.3,IV.B.3.c,Verbal Expression of Simple Words,,,,PK,,"- Says simple words like ""mama"" or ""ball."""
Standard,4.8.1.6.3,IV.B.4,"Segments, blends, and deletes syllables",,,,PK,, claps hands to break words into parts.
Developmental Milestones,4.8.1.6.3.1,IV.B.4.a,Identifying Individual Syllables,,,,PK,, claps hands for each syllable in a word.
Developmental Milestones,4.8.1.6.3.2,IV.B.4.b,Blending Syllables Together,,,,PK,, Clap hands while saying the parts of a word together.
Developmental Milestones,4.8.1.6.3.3,IV.B.4.c,Deleting Syllables,,,,PK,, Clap hands when hearing a familiar syllable in a word.
Developmental Milestones,4.8.1.6.3.4,IV.B.4.d,Can compound sounds into simple words,,,,PK,, Combines sounds to say simple words.
Standard,4.8.1.6.4,IV.B.5,Recognizes and produces rhyming words,,,,PK,,"- Says or repeats words that sound alike, like ""cat"" and ""hat."""
Developmental Milestones,4.8.1.6.4.1,IV.B.5.a,Identifies and Matches Rhyming Words,,,,PK,, recognizes and pairs words that sound alike.
Developmental Milestones,4.8.1.6.4.2,IV.B.5.b,Produces Rhyming Pairs,,,,PK,,"- Says words that sound alike, like ""cat"" and ""hat."""
Developmental Milestones,4.8.1.6.4.3,IV.B.5.c,Rhyme Recognition in Storytelling,,,,PK,,- **Recognizes and enjoys rhyming words in stories.**
Developmental Milestones,4.8.1.6.4.4,IV.B.5.d,Recognizes rhyming words,,,,PK,,"- Notices when words sound alike, like ""cat"" and ""hat."""
Standard,4.8.1.6.5,IV.B.8,Blends spoken phonemes (one syllable words with picture support),,,,PK,, says simple words by combining sounds while looking at pictures.
Developmental Milestones,4.8.1.6.5.1,IV.B.8.a,Identifies single phonemes in spoken words,,,,PK,, Points to or repeats single sounds in words they hear.
Developmental Milestones,4.8.1.6.5.2,IV.B.8.b,Matches phonemes with corresponding pictures,,,,PK,, Points to pictures when hearing matching sounds
Developmental Milestones,4.8.1.6.5.3,IV.B.8.c,Combines separated phonemes into whole words,,,,PK,, says whole words by putting sounds together.
Standard,4.8.1.6.6,IV.B.6,Recognizes and produces alliterative words,,,,PK,, Notices and says words that start with the same sound.
Developmental Milestones,4.8.1.6.6.1,IV.B.6.a,Identifies Alliterative Words,,,,PK,, Matches words that start with the same sound.
Developmental Milestones,4.8.1.6.6.2,IV.B.6.b,Creates Alliterative Words,,,,PK,, says words that start with the same sound.
Developmental Milestones,4.8.1.6.6.3,IV.B.6.c,Distinguishes Non-Alliterative Words,,,,PK,, recognizes words that do not start with the same sound.
Standard,4.8.1.6.7,IV.B.7,Blends onset and rime,,,,PK,,"- Says simple rhyming words together, like ""cat"" and ""hat."""
Developmental Milestones,4.8.1.6.7.1,IV.B.7.a,Identifies and Isolates Onset Sounds,,,,PK,, Points to or repeats the first sound of a word when asked.
Developmental Milestones,4.8.1.6.7.2,IV.B.7.b,Recognizes and Produces Rhyming Words,,,,PK,,"- Says words that sound alike, like ""cat"" and ""hat."""
Developmental Milestones,4.8.1.6.7.3,IV.B.7.c,Successfully Joins Onset and Rime,,,,PK,, Combines beginning sounds with word endings to say simple words.
Standard,4.8.1.6.8,IV.B.1,Separates sentences into words,,,,PK,, Points to or claps for each word in a short sentence.
Developmental Milestones,4.8.1.6.8.1,IV.B.1.a,Identify Individual Words,,,,PK,, Point to or say a word when looking at a picture book.
Developmental Milestones,4.8.1.6.8.2,IV.B.1.b,Understanding Sentence Structure,,,,PK,, Puts words together to make simple sentences.
Developmental Milestones,4.8.1.6.8.3,IV.B.1.c,Phonemic Awareness,,,,PK,," ""Recognizes and plays with different sounds in words."""
Standard,4.8.1.6.9,IV.D.4,Asks and answers questions about words,,,,PK,, Points to objects and says their names when asked.
Developmental Milestones,4.8.1.6.9.1,IV.D.4.a,'Identifies unfamiliar words and phrases',,,,PK,, Points to or asks about new words and phrases.
Developmental Milestones,4.8.1.6.9.2,IV.D.4.b,'Demonstrates comprehension by responding accurately to questions about words',,,,PK,, Answers simple questions about words.
