Domain,Subdomain,ATL Code,Standard,Indicator,Infants (INF 0-3),Infants (INF 3-6),Infants (INF 6-9),Infants (INF 9-12),Infants (INF 12-18),Toddler (TOD 18-36),Preschool (PRE 36-48),
,,,,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Head Start ELOF</sub>,<sub>Maine MELDS</sub>,
Scientific Reasoning,Engaging in Scientific Talk,P-SCI.2.a,Child Engages in Scientific Talk,P-SCI.2.a - Vocalizes or babbles when exploring,P-SCI.2.b - Responds to names or descriptions of objects,P-SCI.2.c - Imitates sounds or gestures,P-SCI.2.d - Begins using simple descriptive words,P-SCI.2.e - Uses words to describe observations,P-SCI.2.f - Repeats new scientific words,P-SCI.2.g - Uses basic scientific vocabulary,P-SCI.2.h - Engages in discussions using scientific terms,
,,,,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Head Start ELOF</sub>,<sub>Georgia GELDS</sub>,
Scientific Reasoning,Comparing Phenomena,P-SCI.3.a,Child Compares and Categorizes Phenomena,P-SCI.3.a - Notices differences in materials,P-SCI.3.b - Recognizes similar textures or shapes,P-SCI.3.c - Sorts objects by touch or color,P-SCI.3.d - Points to differences when prompted,P-SCI.3.e - Begins to sort simple objects by feature,P-SCI.3.f - Sorts objects with adult assistance,P-SCI.3.g - Categorizes objects independently,P-SCI.3.h - Uses tools to measure and compare features,
,,,,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Maine MELDS</sub>,<sub>Head Start ELOF</sub>,
Scientific Reasoning,Asking Questions,P-SCI.4.a,Child Asks Questions and Makes Predictions,P-SCI.4.a - Shows curiosity through movement,P-SCI.4.b - Looks around for familiar sounds,P-SCI.4.c - Observes and points when curious,P-SCI.4.d - Watches closely for outcomes,P-SCI.4.e - Vocalizes questions to adults,P-SCI.4.f - Uses words to ask about objects,P-SCI.4.g - Asks questions and predicts outcomes,P-SCI.4.h - Makes predictions based on prior observations,
,,,,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Head Start ELOF</sub>,<sub>Maine MELDS</sub>,
Scientific Reasoning,Conducting Investigations,P-SCI.5.a,Child Plans and Conducts Investigations,P-SCI.5.a - Reaches out to touch new items,P-SCI.5.b - Explores and investigates simple objects,P-SCI.5.c - Examines objects by manipulating them,P-SCI.5.d - Observes reactions to simple actions,P-SCI.5.e - Explores using various objects in play,P-SCI.5.f - Tests simple theories with objects,P-SCI.5.g - Plans steps for exploring objects,P-SCI.5.h - Designs simple investigations with multiple steps,
,,,,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Maine MELDS</sub>,<sub>Georgia GELDS</sub>,
Scientific Reasoning,Analyzing and Communicating,P-SCI.6.a,Child Analyzes Results and Communicates,P-SCI.6.a - Reacts to different stimuli differently,P-SCI.6.b - Makes sounds when reactions differ,P-SCI.6.c - Engages with objects differently by type,P-SCI.6.d - Shows preference based on past reactions,P-SCI.6.e - Expresses likes or dislikes when asked,P-SCI.6.f - Draws conclusions about play actions,P-SCI.6.g - Communicates results of observations,P-SCI.6.h - Discusses and draws conclusions from experiments,
Forerunner Skills,Classification,FS-1.a,Child Demonstrates Classification,FS-1.a - Shows curiosity toward objects,FS-1.b - Explores differences in textures,FS-1.c - Distinguishes among basic shapes,FS-1.d - Points to familiar items by category,FS-1.e - Begins to categorize objects by function,FS-1.f - Groups similar items with adult help,"FS-1.g - Sorts objects by color, shape, or size",FS-1.h - Categorizes complex sets independently,
,,,,<sub>West Virginia Standards</sub>,<sub>West Virginia Standards</sub>,<sub>Colorado ELDG</sub>,<sub>Head Start ELOF</sub>,<sub>Georgia GELDS</sub>,<sub>Head Start ELOF</sub>,<sub>Maine MELDS</sub>,<sub>Virginia Standards</sub>,
Forerunner Skills,Equal and Unequal Sets,FS-2.a,Child Creates Equal and Unequal Sets,FS-2.a - Reaches for one item repeatedly,FS-2.b - Notices and prefers larger or smaller sets,FS-2.c - Begins matching items to create sets,FS-2.d - Identifies when two sets are unequal,FS-2.e - Matches objects one-to-one to create sets,FS-2.f - Creates simple equal/unequal sets,FS-2.g - Identifies equal/unequal with guidance,FS-2.h - Creates balanced and unbalanced sets independently,
,,,,<sub>West Virginia Standards</sub>,<sub>Colorado ELDG</sub>,<sub>Head Start ELOF</sub>,<sub>Alabama DECE</sub>,<sub>Illinois Early Learning</sub>,<sub>Georgia GELDS</sub>,<sub>Virginia Standards</sub>,,
Forerunner Skills,One-to-One Correspondence,FS-3.a,Child Demonstrates One-to-One Correspondence,FS-3.a - Holds one object with each hand,FS-3.b - Places one item in each slot,FS-3.c - Matches items in simple tasks,FS-3.d - Attempts to pair objects one-to-one,FS-3.e - Uses one-to-one to solve small puzzles,FS-3.f - Completes simple one-to-one tasks,FS-3.g - Uses one-to-one with multiple items,FS-3.h - Applies one-to-one in daily tasks,
,,,,<sub>West Virginia Standards</sub>,<sub>Georgia GELDS</sub>,<sub>Head Start ELOF</sub>,<sub>Colorado ELDG</sub>,<sub>Virginia Standards</sub>,<sub>Georgia GELDS</sub>,<sub>Head Start ELOF</sub>,,
Forerunner Skills,Patterning,FS-4.a,Child Recognizes and Extends Patterns,FS-4.a - Notices repetitive actions or sounds,FS-4.b - Mimics simple repetitive sounds/actions,FS-4.c - Watches object patterns in play,FS-4.d - Begins arranging items in basic patterns,FS-4.e - Creates simple AB patterns with guidance,FS-4.f - Extends AB patterns independently,FS-4.g - Creates and extends ABC patterns,FS-4.h - Recognizes complex patterns and extends,
,,,,<sub>West Virginia Standards</sub>,<sub>Colorado ELDG</sub>,<sub>Georgia GELDS</sub>,<sub>Virginia Standards</sub>,<sub>Head Start ELOF</sub>,<sub>Maine MELDS</sub>,<sub>Virginia Standards</sub>,,
Forerunner Skills,Pattern Core Identification,FS-5.a,Child Identifies Pattern Core,FS-5.a - Reacts to changes in patterns,FS-5.b - Observes and responds to small sequence changes,FS-5.c - Recognizes repeated patterns by sight,FS-5.d - Identifies basic core of patterns,FS-5.e - Repeats identified core pattern,FS-5.f - Explains basic pattern structure,FS-5.g - Extends core pattern independently,FS-5.h - Identifies core patterns in larger sequences,
,,,,<sub>West Virginia Standards</sub>,<sub>Head Start ELOF</sub>,<sub>Georgia GELDS</sub>,<sub>Illinois Early Learning</sub>,<sub>Maine MELDS</sub>,<sub>Georgia GELDS</sub>,<sub>Head Start ELOF</sub>,,
Forerunner Skills,Order and Sequence,FS-6.a,Child Demonstrates Order and Sequence,FS-6.a - Observes familiar routines,FS-6.b - Anticipates order in familiar activities,FS-6.c - Begins putting objects in sequence,FS-6.d - Recognizes start and end of sequences,FS-6.e - Places items in order with assistance,FS-6.f - Orders sequences of objects independently,FS-6.g - Arranges events or objects in a clear sequence,FS-6.h - Understands and narrates event sequences,
,,,,<sub>West Virginia Standards</sub>,<sub>Head Start ELOF</sub>,<sub>Colorado ELDG</sub>,<sub>Alabama DECE</sub>,<sub>Illinois Early Learning</sub>,<sub>Georgia GELDS</sub>,<sub>Virginia Standards</sub>,,
Physical Development,Gross Motor,P-PMP.1.a,"Child demonstrates control, strength, and coordination of large muscles",P-PMP.1.a - Moves legs and arms actively,P-PMP.1.b - Kicks legs and reaches for objects,P-PMP.1.c - Begins rolling over and reaching,P-PMP.1.d - Sits and explores using arm support,"P-PMP.1.e - Crawls, pulls to stand",P-PMP.1.f - Walks with assistance or independently,"P-PMP.1.g - Climbs, runs, and kicks a ball with direction",P-PMP.1.h - Balances and moves with agility for complex tasks,
,,,,<sub>Head Start ELOF</sub>,<sub>Head Start ELOF</sub>,<sub>Colorado ELDG</sub>,<sub>West Virginia Standards</sub>,<sub>Frog Street Progressions</sub>,<sub>Georgia GELDS</sub>,<sub>Virginia Standards</sub>,<sub>Maine MELDS</sub>,
Physical Development,Perceptual-Motor,P-PMP.2.a,Child uses perceptual information to guide motions and interactions with objects and other people,"P-PMP.2.a - Orients to sounds, sights",P-PMP.2.b - Follows moving objects with eyes,P-PMP.2.c - Begins reaching toward sounds or sights,P-PMP.2.d - Tracks moving objects across space,P-PMP.2.e - Recognizes space in relation to obstacles,"P-PMP.2.f - Adjusts body movement based on surface (carpet, grass)",P-PMP.2.g - Uses depth perception to plan movements,P-PMP.2.h - Exhibits coordinated body movement in spatial activities,
,,,,<sub>Head Start ELOF</sub>,<sub>Colorado ELDG</sub>,<sub>Georgia GELDS</sub>,<sub>Maine MELDS</sub>,<sub>West Virginia Standards</sub>,<sub>Head Start ELOF</sub>,<sub>Virginia Standards</sub>,<sub>Colorado ELDG</sub>,
Physical Development,Fine Motor,P-PMP.3.a,"Child demonstrates control, strength, and coordination of small muscles",P-PMP.3.a - Grasps caregiver’s finger tightly,P-PMP.3.b - Begins to hold toys or small objects,P-PMP.3.c - Transfers objects from hand to hand,P-PMP.3.d - Uses pincer grasp to pick up small items,P-PMP.3.e - Builds simple towers with blocks,P-PMP.3.f - Scribbles with crayons or markers,P-PMP.3.g - Strings beads and uses scissors with support,P-PMP.3.h - Uses hand tools like tweezers or scissors with control,
,,,,<sub>Head Start ELOF</sub>,<sub>Georgia GELDS</sub>,<sub>Frog Street Progressions</sub>,<sub>Virginia Standards</sub>,<sub>Maine MELDS</sub>,<sub>Head Start ELOF</sub>,<sub>West Virginia Standards</sub>,<sub>Colorado ELDG</sub>,
Physical Development,Self-Care,P-PMP.4.a,Child demonstrates personal hygiene and self-care skills,P-PMP.4.a - Relies on caregiver for all self-care,"P-PMP.4.b - Begins participating in routines (e.g., holding a bottle)",P-PMP.4.c - Uses hand to reach for objects during mealtime,P-PMP.4.d - Helps with dressing by holding out limbs,P-PMP.4.e - Washes hands with assistance,P-PMP.4.f - Brings spoon to mouth during meals,P-PMP.4.g - Washes hands and begins dressing independently,"P-PMP.4.h - Brushes teeth, combs hair with little help",
,,,,<sub>West Virginia Standards</sub>,<sub>Colorado ELDG</sub>,<sub>Georgia GELDS</sub>,<sub>Frog Street Progressions</sub>,<sub>Maine MELDS</sub>,<sub>Head Start ELOF</sub>,<sub>Virginia Standards</sub>,<sub>Head Start ELOF</sub>,
Physical Development,Nutrition & Health,P-PMP.5.a,Child develops knowledge and skills that help promote nutritious food choices and eating habits,P-PMP.5.a - Receives nutrition from bottle or breast,P-PMP.5.b - Responds to new flavors/textures,P-PMP.5.c - Tries solid foods with assistance,P-PMP.5.d - Expresses preferences in food,P-PMP.5.e - Uses utensils with guidance,"P-PMP.5.f - Tries new foods, shows preferences",P-PMP.5.g - Chooses nutritious options with adult support,"P-PMP.5.h - Understands basic nutrition, makes choices independently",
,,,,<sub>Frog Street Progressions</sub>,<sub>West Virginia Standards</sub>,<sub>Head Start ELOF</sub>,<sub>Georgia GELDS</sub>,<sub>Maine MELDS</sub>,<sub>Head Start ELOF</sub>,<sub>Virginia Standards</sub>,<sub>Colorado ELDG</sub>,
Physical Development,Safety Awareness,P-PMP.6.a,Child demonstrates knowledge of personal safety practices and routines,P-PMP.6.a - Shows distress in new situations,P-PMP.6.b - Responds to caregiver’s reassurance,P-PMP.6.c - Begins avoiding unsafe areas with prompts,"P-PMP.6.d - Recognizes limits (e.g., won’t cross line when told “no”)",P-PMP.6.e - Uses caution with guidance in safe practices,P-PMP.6.f - Verbalizes basic safety rules with reminders,P-PMP.6.g - Shows understanding of safety rules,P-PMP.6.h - Demonstrates independence in safety practices,
,,,,<sub>Head Start ELOF</sub>,<sub>Georgia GELDS</sub>,<sub>Frog Street Progressions</sub>,<sub>Virginia Standards</sub>,<sub>West Virginia Standards</sub>,<sub>Head Start ELOF</sub>,<sub>Maine MELDS</sub>,<sub>Colorado ELDG</sub>,
