Human Coding Scheme,Full Statement,Type,Smart Level
"respectful language to express thoughts and emotions (e.g., “I’m frustrated because Jay won’t let me play” or “I’m excited to play with my cousin Santiago tomorrow.”) (SED2.2l)30 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",monthsLater Preschool,Developmental Indicator,34-48
"respectful language to express thoughts and emotions (e.g., “I’m frustrated because Jay won’t let me play” or “I’m excited to play with my cousin Santiago tomorrow.”) (SED2.2l)30 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",months,Developmental Indicator,44-60
"respectful language to express thoughts and emotions (e.g., “I’m frustrated because Jay won’t let me play” or “I’m excited to play with my cousin Santiago tomorrow.”) (SED2.2l)30 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Signals for needs,Indicator,
"respectful language to express thoughts and emotions (e.g., “I’m frustrated because Jay won’t let me play” or “I’m excited to play with my cousin Santiago tomorrow.”) (SED2.2l)30 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Seeks and accepts help,Indicator,
when needed (SED2.3g)31 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsLater Infancy,Developmental Indicator,0-8
when needed (SED2.3g)31 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsEarly Toddler,Developmental Indicator,6-14
when needed (SED2.3g)31 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsLater Toddler,Developmental Indicator,12-24
when needed (SED2.3g)31 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsEarly Preschool,Developmental Indicator,22-36
when needed (SED2.3g)31 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsLater Preschool,Developmental Indicator,34-48
when needed (SED2.3g)31 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),months,Developmental Indicator,44-60
when needed (SED2.3g)31 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Uses preferred adult to,Indicator,
when needed (SED2.3g)31 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Disengages when over-,Indicator,
when needed (SED2.3g)31 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Expresses strong,Indicator,
when needed (SED2.3g)31 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Uses some self-comfort,Indicator,
when needed (SED2.3g)31 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Accepts adult,Indicator,
when needed (SED2.3g)31 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Seeks caregiver,Indicator,
when needed (SED2.3g)31 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Begins to demonstrate,Indicator,
when needed (SED2.3g)31 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Begins to understand,Indicator,
when needed (SED2.3g)31 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Exhibits emotional,Indicator,
"control with or without adult support (e.g., follows group activities although upset) (SED2.4n)32 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",monthsLater Infancy,Developmental Indicator,0-8
"control with or without adult support (e.g., follows group activities although upset) (SED2.4n)32 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",monthsEarly Toddler,Developmental Indicator,6-14
"control with or without adult support (e.g., follows group activities although upset) (SED2.4n)32 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",monthsLater Toddler,Developmental Indicator,12-24
"control with or without adult support (e.g., follows group activities although upset) (SED2.4n)32 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",monthsEarly Preschool,Developmental Indicator,22-36
"control with or without adult support (e.g., follows group activities although upset) (SED2.4n)32 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",monthsLater Preschool,Developmental Indicator,34-48
"control with or without adult support (e.g., follows group activities although upset) (SED2.4n)32 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",months,Developmental Indicator,44-60
"control with or without adult support (e.g., follows group activities although upset) (SED2.4n)32 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Looks attentively when,Indicator,
"control with or without adult support (e.g., follows group activities although upset) (SED2.4n)32 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Expresses empathy,Indicator,
"control with or without adult support (e.g., follows group activities although upset) (SED2.4n)32 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Relates complex,Indicator,
"control with or without adult support (e.g., follows group activities although upset) (SED2.4n)32 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Begins to recognize,Indicator,
"control with or without adult support (e.g., follows group activities although upset) (SED2.4n)32 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Begins to understand,Indicator,
"the reasons for others’ emotions and responds appropriately (e.g., a child comforts a peer who is upset that they have to clean up their toys) (SED2.5j)33 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",monthsLater Infancy,Developmental Indicator,0-8
"the reasons for others’ emotions and responds appropriately (e.g., a child comforts a peer who is upset that they have to clean up their toys) (SED2.5j)33 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",monthsEarly Toddler,Developmental Indicator,6-14
"the reasons for others’ emotions and responds appropriately (e.g., a child comforts a peer who is upset that they have to clean up their toys) (SED2.5j)33 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",monthsLater Toddler,Developmental Indicator,12-24
"the reasons for others’ emotions and responds appropriately (e.g., a child comforts a peer who is upset that they have to clean up their toys) (SED2.5j)33 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",monthsEarly Preschool,Developmental Indicator,22-36
"the reasons for others’ emotions and responds appropriately (e.g., a child comforts a peer who is upset that they have to clean up their toys) (SED2.5j)33 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",monthsLater Preschool,Developmental Indicator,34-48
"the reasons for others’ emotions and responds appropriately (e.g., a child comforts a peer who is upset that they have to clean up their toys) (SED2.5j)33 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",months,Developmental Indicator,44-60
"the reasons for others’ emotions and responds appropriately (e.g., a child comforts a peer who is upset that they have to clean up their toys) (SED2.5j)33 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Responds differently to,Indicator,
"the reasons for others’ emotions and responds appropriately (e.g., a child comforts a peer who is upset that they have to clean up their toys) (SED2.5j)33 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Develops trust and,Indicator,
"the reasons for others’ emotions and responds appropriately (e.g., a child comforts a peer who is upset that they have to clean up their toys) (SED2.5j)33 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Needs additional,Indicator,
"the reasons for others’ emotions and responds appropriately (e.g., a child comforts a peer who is upset that they have to clean up their toys) (SED2.5j)33 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Reacts or may become,Indicator,
"the reasons for others’ emotions and responds appropriately (e.g., a child comforts a peer who is upset that they have to clean up their toys) (SED2.5j)33 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Expresses joy and,Indicator,
"the reasons for others’ emotions and responds appropriately (e.g., a child comforts a peer who is upset that they have to clean up their toys) (SED2.5j)33 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Uses different words,Indicator,
"the reasons for others’ emotions and responds appropriately (e.g., a child comforts a peer who is upset that they have to clean up their toys) (SED2.5j)33 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Engages in positive,Indicator,
"the reasons for others’ emotions and responds appropriately (e.g., a child comforts a peer who is upset that they have to clean up their toys) (SED2.5j)33 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Looks to or seeks,Indicator,
"the reasons for others’ emotions and responds appropriately (e.g., a child comforts a peer who is upset that they have to clean up their toys) (SED2.5j)33 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Begins to interact with,Indicator,
"the reasons for others’ emotions and responds appropriately (e.g., a child comforts a peer who is upset that they have to clean up their toys) (SED2.5j)33 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Comfortable with,Indicator,
"being with less familiar adults in a safe setting (e.g., engages with visitor to home or classroom) (SED3.1o)34 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",monthsLater Infancy,Developmental Indicator,0-8
"being with less familiar adults in a safe setting (e.g., engages with visitor to home or classroom) (SED3.1o)34 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",monthsEarly Toddler,Developmental Indicator,6-14
"being with less familiar adults in a safe setting (e.g., engages with visitor to home or classroom) (SED3.1o)34 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",monthsLater Toddler,Developmental Indicator,12-24
"being with less familiar adults in a safe setting (e.g., engages with visitor to home or classroom) (SED3.1o)34 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",monthsEarly Preschool,Developmental Indicator,22-36
"being with less familiar adults in a safe setting (e.g., engages with visitor to home or classroom) (SED3.1o)34 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",monthsLater Preschool,Developmental Indicator,34-48
"being with less familiar adults in a safe setting (e.g., engages with visitor to home or classroom) (SED3.1o)34 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",months,Developmental Indicator,44-60
"being with less familiar adults in a safe setting (e.g., engages with visitor to home or classroom) (SED3.1o)34 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Notices peers by,Indicator,
"being with less familiar adults in a safe setting (e.g., engages with visitor to home or classroom) (SED3.1o)34 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Recognizes familiar,Indicator,
"being with less familiar adults in a safe setting (e.g., engages with visitor to home or classroom) (SED3.1o)34 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Interacts with a familiar,Indicator,
"being with less familiar adults in a safe setting (e.g., engages with visitor to home or classroom) (SED3.1o)34 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Interacts with a few,Indicator,
"being with less familiar adults in a safe setting (e.g., engages with visitor to home or classroom) (SED3.1o)34 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Interacts with a few,Indicator,
"being with less familiar adults in a safe setting (e.g., engages with visitor to home or classroom) (SED3.1o)34 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Enjoys playful,Indicator,
"being with less familiar adults in a safe setting (e.g., engages with visitor to home or classroom) (SED3.1o)34 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Interacts with a few,Indicator,
"being with less familiar adults in a safe setting (e.g., engages with visitor to home or classroom) (SED3.1o)34 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Responds to others’,Indicator,
"being with less familiar adults in a safe setting (e.g., engages with visitor to home or classroom) (SED3.1o)34 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Begins to initiate,Indicator,
"being with less familiar adults in a safe setting (e.g., engages with visitor to home or classroom) (SED3.1o)34 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Shows preference for,Indicator,
"being with less familiar adults in a safe setting (e.g., engages with visitor to home or classroom) (SED3.1o)34 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Makes friends and,Indicator,
"being with less familiar adults in a safe setting (e.g., engages with visitor to home or classroom) (SED3.1o)34 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Expresses interest in,Indicator,
"being with less familiar adults in a safe setting (e.g., engages with visitor to home or classroom) (SED3.1o)34 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Engages in shared,Indicator,
"being with less familiar adults in a safe setting (e.g., engages with visitor to home or classroom) (SED3.1o)34 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Plays with peers in,Indicator,
"being with less familiar adults in a safe setting (e.g., engages with visitor to home or classroom) (SED3.1o)34 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Maintains friendships,Indicator,
"being with less familiar adults in a safe setting (e.g., engages with visitor to home or classroom) (SED3.1o)34 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Responds to the needs,Indicator,
35 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsLater Infancy,Developmental Indicator,0-8
35 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsEarly Toddler,Developmental Indicator,6-14
35 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsLater Toddler,Developmental Indicator,12-24
35 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsEarly Preschool,Developmental Indicator,22-36
35 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsLater Preschool,Developmental Indicator,34-48
35 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),months,Developmental Indicator,44-60
35 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Engages in unoccupied,Indicator,
35 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Engages in solitary play,Indicator,
35 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Plays social games,Indicator,
35 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Imitates simple,Indicator,
35 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Observes playful,Indicator,
35 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Pretends to talk on toy,Indicator,
35 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Plays simple games,Indicator,
35 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Begins to engage in,Indicator,
35 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Includes familiar,Indicator,
"play, communication, and working memory skills by engaging in dramatic play with several other children, each taking on a particular role in a shared theme (SED3.3n)36 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",monthsLater Infancy,Developmental Indicator,0-8
"play, communication, and working memory skills by engaging in dramatic play with several other children, each taking on a particular role in a shared theme (SED3.3n)36 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",monthsEarly Toddler,Developmental Indicator,6-14
"play, communication, and working memory skills by engaging in dramatic play with several other children, each taking on a particular role in a shared theme (SED3.3n)36 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",monthsLater Toddler,Developmental Indicator,12-24
"play, communication, and working memory skills by engaging in dramatic play with several other children, each taking on a particular role in a shared theme (SED3.3n)36 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",monthsEarly Preschool,Developmental Indicator,22-36
"play, communication, and working memory skills by engaging in dramatic play with several other children, each taking on a particular role in a shared theme (SED3.3n)36 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",monthsLater Preschool,Developmental Indicator,34-48
"play, communication, and working memory skills by engaging in dramatic play with several other children, each taking on a particular role in a shared theme (SED3.3n)36 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",months,Developmental Indicator,44-60
"play, communication, and working memory skills by engaging in dramatic play with several other children, each taking on a particular role in a shared theme (SED3.3n)36 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Uses problem-solving,Indicator,
"play, communication, and working memory skills by engaging in dramatic play with several other children, each taking on a particular role in a shared theme (SED3.3n)36 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Expresses feelings,Indicator,
"play, communication, and working memory skills by engaging in dramatic play with several other children, each taking on a particular role in a shared theme (SED3.3n)36 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Uses problem-solving,Indicator,
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",monthsLater Infancy,Developmental Indicator,0-8
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",monthsEarly Toddler,Developmental Indicator,6-14
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",monthsLater Toddler,Developmental Indicator,12-24
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",monthsEarly Preschool,Developmental Indicator,22-36
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",monthsLater Preschool,Developmental Indicator,34-48
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",months,Developmental Indicator,44-60
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Responds to speaker by,Indicator,
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Responds to tone,Indicator,
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Directs attention to,Indicator,
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Responds by looking,Indicator,
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Begins to respond,Indicator,
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Makes different,Indicator,
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Understands and,Indicator,
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Recognizes common,Indicator,
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Begins to show,Indicator,
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Responds to simple,Indicator,
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Identifies familiar,Indicator,
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Begins to understand,Indicator,
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Begins to understand,Indicator,
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Completes a task in,Indicator,
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Identifies familiar,Indicator,
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Begins to recognize,Indicator,
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Understands and,Indicator,
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Follows simple,Indicator,
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Understands and,Indicator,
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Understands and,Indicator,
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Follows two-step,Indicator,
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Understands and,Indicator,
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Begins to demonstrate,Indicator,
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Understands and,Indicator,
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Follows 2-3 step related,Indicator,
"writing tools38 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Demonstrates,Indicator,
"understanding of communication that includes a variety of complex sentences related to familiar stories, learning activities, and events (e.g., After Clifford the dog came home, he played with Emily Elizabeth.) (CLLD1.1ae)39 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",monthsLater Infancy,Developmental Indicator,0-8
