Age Group,Type,Developmental Indicator,Focus Area,SmartLevel,filename,Area,Sub Area
Later Toddler 22-36 months,indicator,"Uses number words for counting, though not necessarily in order","CD3.1, Comparing numbers, counting, and recognizing quantities",CD3.1h,page_50.png,COGNITIVE DEVELOPMENT (CD),"CD3, MATHEMATICS"
Later Toddler 22-36 months,indicator,Imitates an adult who is counting along with actions such as clapping,"CD3.1, Comparing numbers, counting, and recognizing quantities",CD3.1i,page_50.png,COGNITIVE DEVELOPMENT (CD),"CD3, MATHEMATICS"
Later Toddler 22-36 months,indicator,Names some numbers when they appear in print,"CD3.1, Comparing numbers, counting, and recognizing quantities",CD3.1j,page_50.png,COGNITIVE DEVELOPMENT (CD),"CD3, MATHEMATICS"
Early Preschool 34-48 months,indicator,"Continues counting from a running start, as in ""What comes after 1, 2, 3, 4...?""","CD3.1, Comparing numbers, counting, and recognizing quantities",CD3.1k,page_50.png,COGNITIVE DEVELOPMENT (CD),"CD3, MATHEMATICS"
Early Preschool 34-48 months,indicator,Uses own fingers to show a number,"CD3.1, Comparing numbers, counting, and recognizing quantities",CD3.1l,page_50.png,COGNITIVE DEVELOPMENT (CD),"CD3, MATHEMATICS"
Early Preschool 34-48 months,indicator,"Instantly recognizes a collection of up to 4 objects (i.e., subitizes)","CD3.1, Comparing numbers, counting, and recognizing quantities",CD3.1m,page_50.png,COGNITIVE DEVELOPMENT (CD),"CD3, MATHEMATICS"
Later Preschool 44-60 months,indicator,"Begins to explore one-to-one correspondence (e.g., setting places at a table), counting up to 10","CD3.1, Comparing numbers, counting, and recognizing quantities",CD3.1n,page_50.png,COGNITIVE DEVELOPMENT (CD),"CD3, MATHEMATICS"
Later Preschool 44-60 months,indicator,Counts up to 5 objects in a line,"CD3.1, Comparing numbers, counting, and recognizing quantities",CD3.1o,page_50.png,COGNITIVE DEVELOPMENT (CD),"CD3, MATHEMATICS"
Later Preschool 44-60 months,indicator,"Compares sets of objects that range in size from 1-5 as having ""more"" or ""fewer""","CD3.1, Comparing numbers, counting, and recognizing quantities",CD3.1p,page_50.png,COGNITIVE DEVELOPMENT (CD),"CD3, MATHEMATICS"
Early Elementary School,indicator,Counts forward to 20 by memory,"CD3.1, Comparing numbers, counting, and recognizing quantities",CD3.1q,page_50.png,COGNITIVE DEVELOPMENT (CD),"CD3, MATHEMATICS"
Early Elementary School,indicator,Counts backwards from 5,"CD3.1, Comparing numbers, counting, and recognizing quantities",CD3.1r,page_50.png,COGNITIVE DEVELOPMENT (CD),"CD3, MATHEMATICS"
Early Elementary School,indicator,Shows accuracy in demonstrating one-to-one correspondence for up to 10 objects,"CD3.1, Comparing numbers, counting, and recognizing quantities",CD3.1s,page_50.png,COGNITIVE DEVELOPMENT (CD),"CD3, MATHEMATICS"
Early Elementary School,indicator,Counts up to 10 objects in line,"CD3.1, Comparing numbers, counting, and recognizing quantities",CD3.1t,page_50.png,COGNITIVE DEVELOPMENT (CD),"CD3, MATHEMATICS"
Early Elementary School,indicator,"Answers the question ""How many?"" for up to 10 objects","CD3.1, Comparing numbers, counting, and recognizing quantities",CD3.1u,page_50.png,COGNITIVE DEVELOPMENT (CD),"CD3, MATHEMATICS"
Early Elementary School,indicator,Counts out 10-20 objects in line from a larger group,"CD3.1, Comparing numbers, counting, and recognizing quantities",CD3.1v,page_50.png,COGNITIVE DEVELOPMENT (CD),"CD3, MATHEMATICS"
Early Elementary School,indicator,"Instantly recognizes a collection of up to 10 objects (i.e., subitizes)","CD3.1, Comparing numbers, counting, and recognizing quantities",CD3.1w,page_50.png,COGNITIVE DEVELOPMENT (CD),"CD3, MATHEMATICS"
Early Elementary School,indicator,"Uses words that mean zero such as ""nothing"" or ""none""","CD3.1, Comparing numbers, counting, and recognizing quantities",CD3.1x,page_50.png,COGNITIVE DEVELOPMENT (CD),"CD3, MATHEMATICS"
Early Elementary School,indicator,"Shows a quantity to match a numeral by making marks, drawing items or placing actual objects","CD3.1, Comparing numbers, counting, and recognizing quantities",CD3.1y,page_50.png,COGNITIVE DEVELOPMENT (CD),"CD3, MATHEMATICS"
Early Elementary School,indicator,"Compares sets of objects that range in size from 1-10, as having ""more"", ""fewer"" or ""same""","CD3.1, Comparing numbers, counting, and recognizing quantities",CD3.1z,page_50.png,COGNITIVE DEVELOPMENT (CD),"CD3, MATHEMATICS"
Early Elementary School,indicator,Arranges images with 3 or more different quantities of objects in correct order,"CD3.1, Comparing numbers, counting, and recognizing quantities",CD3.1aa,page_50.png,COGNITIVE DEVELOPMENT (CD),"CD3, MATHEMATICS"
Early Infancy (0-8 months),indicator,Explores familiar and unfamiliar people or objects through touching (handling) or mouthing (oral exploration),"CD3.5. Describing, comparing, and measuring",CD3.5b,page_54.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Later Infancy (6-14 months),indicator,"Examines differences between familiar and unfamiliar people or objects with greater focus (e.g., shaking or squeezing items that make sound [keys, rattles, and noise makers])","CD3.5. Describing, comparing, and measuring",CD3.5c,page_54.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Early Toddler (12-24 months),indicator,"With adult support, begins to match objects by single related attribute/characteristic (e.g., explores matching shapes using a shape sorting box)","CD3.5. Describing, comparing, and measuring",CD3.5d,page_54.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Early Preschool (24-36 months),indicator,"With adult support, sorts objects into two groups based on a single attribute/characteristic (e.g., grouping blocks partly by color and partly from toy animals or putting red blocks and blue blocks in different piles)","CD3.5. Describing, comparing, and measuring",CD3.5e,page_54.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Early Preschool (24-36 months),indicator,"With adult support, makes direct comparisons of objects' volume or length (e.g., standing two children back to back to see which one is taller)","CD3.5. Describing, comparing, and measuring",CD3.5f,page_54.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Later Preschool (36-48 months),indicator,"With adult support, indirectly compares the length of two objects using a third object (e.g., using a piece of string to measure two objects on the playground and determining which is taller)","CD3.5. Describing, comparing, and measuring",CD3.5g,page_54.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Later Preschool (36-48 months),indicator,Directly compares the length or volume of two objects,"CD3.5. Describing, comparing, and measuring",CD3.5h,page_54.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Later Preschool (36-48 months),indicator,"Uses comparative language to describe and compare objects using attributes (e.g., longer/shorter, lighter/heavier, etc.)","CD3.5. Describing, comparing, and measuring",CD3.5i,page_54.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Later Preschool (36-48 months),indicator,"With adult support, measures using the same non-standard unit, such as putting together snap cubes to see how tall a book is","CD3.5. Describing, comparing, and measuring",CD3.5j,page_54.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Later Preschool (36-48 months),indicator,"With adult support, compares or orders up to 5 objects based on their measurable attributes, such as height or weight","CD3.5. Describing, comparing, and measuring",CD3.5k,page_54.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Later Preschool (36-48 months),indicator,"With adult support, recognizes that different attributes such as weight, height, and volume require different tools to measure","CD3.5. Describing, comparing, and measuring",CD3.5l,page_54.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Later Preschool (36-48 months),indicator,"With adult support, demonstrates ""size seriation"" by comparing and ordering objects according to measured attributes/characteristics (e.g., places books on shelf according to measured size)","CD3.5. Describing, comparing, and measuring",CD3.5m,page_54.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Later Preschool (36-48 months),indicator,"With adult support, explores tools of measurement such as rulers, scales, and measuring cups, using the appropriate tool for the attribute/characteristic being measured","CD3.5. Describing, comparing, and measuring",CD3.5n,page_54.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Later Preschool (36-48 months),indicator,"With instruction, shows an awareness of time by talking about events with words such as before, after, and later","CD3.5. Describing, comparing, and measuring",CD3.5o,page_54.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Early Infancy (0-8 months),indicator,"Cooperates in care routines (e.g., diapering, handwashing, dressing)",HPD4.1. Taking care of daily health needs,HPD4.1a,page_40.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Early Infancy (0-8 months),indicator,Communicates needs for comfort and care,HPD4.1. Taking care of daily health needs,HPD4.1b,page_40.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Later Infancy (6-14 months),indicator,Cooperates in daily routines such as opens mouth for spoon or toothbrush or raises arms for dressing,HPD4.1. Taking care of daily health needs,HPD4.1e,page_40.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Later Infancy (6-14 months),indicator,"Uses gestures, sounds, or sign language to communicate need for food, drink, or diaper change",HPD4.1. Taking care of daily health needs,HPD4.1d,page_40.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Later Infancy (6-14 months),indicator,"Shows affection for caregiver (e.g., calms down with adult help)",HPD4.1. Taking care of daily health needs,HPD4.1f,page_40.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Early Toddler (12-24 months),indicator,"Cooperates and helps with care routines (e.g., dental care, hand washing)",HPD4.1. Taking care of daily health needs,HPD4.1i,page_40.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Early Toddler (12-24 months),indicator,Uses words or sign language to communicate what they need,HPD4.1. Taking care of daily health needs,HPD4.1g,page_40.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Early Toddler (12-24 months),indicator,"Soothes themselves when needed (e.g., looks at book before nap)",HPD4.1. Taking care of daily health needs,HPD4.1h,page_40.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Later Toddler (24-36 months),indicator,"Takes care of personal health needs (e.g., handwashing) with some adult guidance",HPD4.1. Taking care of daily health needs,HPD4.1j,page_40.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Later Toddler (24-36 months),indicator,"Uses words to ask for help or comfort when needed (e.g., ""food"" when hungry, ""drink"" when thirsty)",HPD4.1. Taking care of daily health needs,HPD4.1k,page_40.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Later Toddler (24-36 months),indicator,"Finds a quiet place to rest or soothe themselves when needed (e.g., seeks out a quiet space)",HPD4.1. Taking care of daily health needs,HPD4.1l,page_40.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
36-48 months,indicator,Identifies places at home and in the neighborhood and in the community where children can play safely and be physically active,HPD4.1. Taking care of daily health needs,HPD5.1r,page_40.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
36-48 months,indicator,"Takes more responsibility for personal hygiene and begins self-care skills (e.g., handwashing independently)",HPD4.1. Taking care of daily health needs,HPD5.1n,page_40.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
36-48 months,indicator,Uses language to describe ways to participate in physical activity,HPD4.1. Taking care of daily health needs,HPD5.1q,page_40.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
48-60 months,indicator,"Uses language to ask adults or peers for help needed (e.g., to start a zipper or turn on water to wash hands)",HPD4.1. Taking care of daily health needs,HPD5.1o,page_40.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
48-60 months,indicator,"Uses a variety of strategies to calm themselves (e.g., changing activities, getting a comfort object)",HPD4.1. Taking care of daily health needs,HPD5.1p,page_40.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
48-60 months,indicator,Understands need for good dental hygiene including brushing teeth,HPD4.1. Taking care of daily health needs,HPD5.1s,page_40.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
DEVELOPMENTAL INDICATORS,indicator,"Notices when others engage them (e.g., smiles, makes eye contact, plays with objects, etc.) and shifts attention",APL3.1. Focusing and paying attention,APL3.1i,page_4.png,APPROACHES TO PLAY AND LEARNING (APL),"APL3, EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION"
DEVELOPMENTAL INDICATORS,indicator,"Sustains engagement for increasing amounts of time (e.g., continues working on activities that interest them, plays alongside peers for longer periods of time, engages in turn-taking interactions, etc.) and can return to activities after interruptions",APL3.1. Focusing and paying attention,APL3.1j,page_4.png,APPROACHES TO PLAY AND LEARNING (APL),"APL3, EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION"
DEVELOPMENTAL INDICATORS,indicator,"Remains focused while engaged in individual, self-directed play and learning activities and can ignore most distractions and interruptions (attends in small or large group)",APL3.1. Focusing and paying attention,APL3.1m,page_4.png,APPROACHES TO PLAY AND LEARNING (APL),"APL3, EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION"
Early Infancy 0-6 months,indicator,Shows recognition of familar fice and voices by atending to chat person,APL3.2. Building working memory,APL3.23,page_5.png,APPROACHES TO PLAY AND LEARNING (APL),"APL3, EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION"
Later Infancy 6-14 months,indicator,Develops expectations cof what will happen Ihased on prior experiences (eg. 'ategiver will come 'whet baby cies),APL3.2. Building working memory,apis,page_5.png,APPROACHES TO PLAY AND LEARNING (APL),"APL3, EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION"
Later Infancy 6-14 months,indicator,Shows recognition and memory of familiar Faces ana objects over longer periods of tine since lst seen,APL3.2. Building working memory,APL3.20,page_5.png,APPROACHES TO PLAY AND LEARNING (APL),"APL3, EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION"
Later Infancy 6-14 months,indicator,CCorreedy looks and reaches toward a woy's hiding place when the place has been changed From one location another,APL3.2. Building working memory,APL3.2d,page_5.png,APPROACHES TO PLAY AND LEARNING (APL),"APL3, EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION"
Ely Toddler rebers,indicator,"Paints co and names parents, slings, body parts, and faniarobjees pice no longer in ew",APL3.2. Building working memory,aPL3.2,page_5.png,APPROACHES TO PLAY AND LEARNING (APL),"APL3, EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION"
Ely Toddler rebers,indicator,Remembers where nae ar kee in finliar environments (eg.cam retrieve spare clothes fom cubby),APL3.2. Building working memory,apts,page_5.png,APPROACHES TO PLAY AND LEARNING (APL),"APL3, EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION"
Older Toddler 18 to 36 months,indicator,"Sings some of the 'words 10 favorite ong,",APL3.2. Building working memory,apts.,page_5.png,APPROACHES TO PLAY AND LEARNING (APL),"APL3, EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION"
Older Toddler 18 to 36 months,indicator,"Follows simple 1-step 'verbal directions like ""put Yous spare codhes in your 'cubby",APL3.2. Building working memory,APL32g,page_5.png,APPROACHES TO PLAY AND LEARNING (APL),"APL3, EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION"
Older Toddler 18 to 36 months,indicator,"Remembers and follows 2-uep directions to complete simple take (eg. ""wish your hands then help prepare or eat a sack"")",APL3.2. Building working memory,APL32,page_5.png,APPROACHES TO PLAY AND LEARNING (APL),"APL3, EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION"
Younger Preschool 36 to 48 months,indicator,Recounts simple past events by recouninga tory or verbally desribing a needed forseléare or play,APL3.2. Building working memory,APL32%,page_5.png,APPROACHES TO PLAY AND LEARNING (APL),"APL3, EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION"
Younger Preschool 36 to 48 months,indicator,"Remembers several steps in sequence to complete mul-sep directions (eg. complete a.pusale,reuenievo che Shel, and jin the group atthe nul",APL3.2. Building working memory,APL32n,page_5.png,APPROACHES TO PLAY AND LEARNING (APL),"APL3, EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION"
Younger Preschool 36 to 48 months,indicator,Remembers actions 'hae go with sori or songs,APL3.2. Building working memory,APLS2n,page_5.png,APPROACHES TO PLAY AND LEARNING (APL),"APL3, EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION"
Older Preschool 48 to 60 months,indicator,"""Teaches another child the step aken fora given action (eg, shows {peer how to use soap co 'wash hands before snack)",APL3.2. Building working memory,APL320,page_5.png,APPROACHES TO PLAY AND LEARNING (APL),"APL3, EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION"
Early Infancy 0-8 months,indicator,Cries to indicate needs and to seek help (HPD4.2a),HPD4.2. Adopting safe behaviors,HPD4.2a,page_41.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Later Infancy 6-14 months,indicator,Responds to verbal or physical signal of danger with a cry or reach towards primary caregiver (HPD4.2b),HPD4.2. Adopting safe behaviors,HPD4.2b,page_41.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Later Infancy 6-14 months,indicator,Seeks physical contact with primary caregivers when faced with new or unfamiliar people or environments (HPD4.2c),HPD4.2. Adopting safe behaviors,HPD4.2c,page_41.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Toddler 12-24 months,indicator,"Follows directions that support safety (e.g., waiting for walk signal when crossing street) (HPD4.2d)",HPD4.2. Adopting safe behaviors,HPD4.2d,page_41.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Toddler 12-24 months,indicator,"Cooperates with simple safety instructions and warnings (e.g., holding caregiver's hand) (HPD4.2e)",HPD4.2. Adopting safe behaviors,HPD4.2e,page_41.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Toddler 12-24 months,indicator,Watches for adult reactions to unfamiliar people or situations (HPD4.2f),HPD4.2. Adopting safe behaviors,HPD4.2f,page_41.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Early Preschool 24-36 months,indicator,"Accepts adult guidance, support and protection when encountering unsafe situations (HPD4.2g)",HPD4.2. Adopting safe behaviors,HPD4.2g,page_41.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Early Preschool 24-36 months,indicator,"Learns some differences between safe and unsafe play behaviors (e.g., not standing on chairs or tables) (HPD4.2h)",HPD4.2. Adopting safe behaviors,HPD4.2h,page_41.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Early Preschool 24-36 months,indicator,Pays attention to simple safety instructions (HPD4.2i),HPD4.2. Adopting safe behaviors,HPD4.2i,page_41.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Preschool 36-48 months,indicator,Shows awareness of a growing number of personal safety practices and routines; looks to adults for support in enacting these; participates in safety drills (HPD4.2j),HPD4.2. Adopting safe behaviors,HPD4.2j,page_41.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Preschool 36-48 months,indicator,Tells parents and adults when dangerous situations are observed (HPD4.2k),HPD4.2. Adopting safe behaviors,HPD4.2k,page_41.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Preschool 36-48 months,indicator,Tells trusted adult when someone gets hurt (HPD4.2l),HPD4.2. Adopting safe behaviors,HPD4.2l,page_41.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Older Preschool 48-60 months,indicator,"Demonstrates safe behaviors by participating appropriately during physical activity, accepting feedback, and taking responsibility for behavior when prompted (HPD4.2m)",HPD4.2. Adopting safe behaviors,HPD4.2m,page_41.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Older Preschool 48-60 months,indicator,Identifies medicines and other household substances that can be harmful (HPD4.2n),HPD4.2. Adopting safe behaviors,HPD4.2n,page_41.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Older Preschool 48-60 months,indicator,"Follows basic safety rules, signs, and labels consistently and explains consequences of not following rules (HPD4.2o)",HPD4.2. Adopting safe behaviors,HPD4.2o,page_41.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Older Preschool 48-60 months,indicator,"Participates in safety practices during emergencies (e.g., wearing helmets) (HPD4.2p)",HPD4.2. Adopting safe behaviors,HPD4.2p,page_41.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Older Preschool 48-60 months,indicator,"Identifies people in the community who can help them (e.g., firefighters, nurses) (HPD4.2q)",HPD4.2. Adopting safe behaviors,HPD4.2q,page_41.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Older Preschool 48-60 months,indicator,Identifies emergency and non-emergency situations (HPD4.2r),HPD4.2. Adopting safe behaviors,HPD4.2r,page_41.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),4. PHYSICAL HEALTH AND SELF-CARE
Early Infancy (0-8 months),indicator,"Watches and reacts to movement, touch, and vibrations in surroundings",CD4.1. Exploring and expressing ideas through movement and dance,CD4.1a,page_55.png,COGNITIVE DEVELOPMENT (CD),"D4, FINE ARTS"
Early Infancy (0-8 months),indicator,Takes a step or more while holding on to furniture or other supports,CD4.1. Exploring and expressing ideas through movement and dance,CD4.1b,page_55.png,COGNITIVE DEVELOPMENT (CD),"D4, FINE ARTS"
Early Infancy (0-8 months),indicator,Responds to music by bouncing,CD4.1. Exploring and expressing ideas through movement and dance,CD4.1d,page_55.png,COGNITIVE DEVELOPMENT (CD),"D4, FINE ARTS"
Later Infancy (6-14 months),indicator,Keeps a steady beat by shaking or tapping a simple instrument like a rattle or toy drum,CD4.1. Exploring and expressing ideas through movement and dance,CD4.1e,page_55.png,COGNITIVE DEVELOPMENT (CD),"D4, FINE ARTS"
Later Infancy (6-14 months),indicator,"With adult help, practices moving through space and exploring different movements",CD4.1. Exploring and expressing ideas through movement and dance,CD4.1f,page_55.png,COGNITIVE DEVELOPMENT (CD),"D4, FINE ARTS"
Early Toddler (12-24 months),indicator,Follows adult's guidance to copy movements of another child or several children in the group,CD4.1. Exploring and expressing ideas through movement and dance,CD4.1g,page_55.png,COGNITIVE DEVELOPMENT (CD),"D4, FINE ARTS"
Early Toddler (12-24 months),indicator,Repeats short rhythm patterns,CD4.1. Exploring and expressing ideas through movement and dance,CD4.1h,page_55.png,COGNITIVE DEVELOPMENT (CD),"D4, FINE ARTS"
Early Toddler (12-24 months),indicator,Responds to changes in music with bodily movement,CD4.1. Exploring and expressing ideas through movement and dance,CD4.1i,page_55.png,COGNITIVE DEVELOPMENT (CD),"D4, FINE ARTS"
Early Infancy (0-8 months),indicator,Begins to sleep well and shows alertness when awake,HPD4.4. Developing healthy habits for rest and sleep,HPD4.4a,page_43.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PD4. PHYSICAL HEALTH AND SELF-CARE
Early Infancy (0-8 months),indicator,Sleeps for longer periods at a time and starts to have longer night-time sleep periods,HPD4.4. Developing healthy habits for rest and sleep,HPD4.4b,page_43.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PD4. PHYSICAL HEALTH AND SELF-CARE
Later Infancy (6-14 months),indicator,"Settles down and falls asleep after a brief sleep routine (e.g., story and song before napping)",HPD4.4. Developing healthy habits for rest and sleep,HPD4.4c,page_43.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PD4. PHYSICAL HEALTH AND SELF-CARE
Later Infancy (6-14 months),indicator,"Responds to verbal cues like ""it's time to take a nap"" by snuggling favorite sleep toy; takes several naps during the day",HPD4.4. Developing healthy habits for rest and sleep,HPD4.4d,page_43.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PD4. PHYSICAL HEALTH AND SELF-CARE
Early Toddler (12-24 months),indicator,"Sleeps well, wakes up rested and ready for daily activities",HPD4.4. Developing healthy habits for rest and sleep,HPD4.4g,page_43.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PD4. PHYSICAL HEALTH AND SELF-CARE
Early Toddler (12-24 months),indicator,Participates in sleep routines with guidance,HPD4.4. Developing healthy habits for rest and sleep,HPD4.4h,page_43.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PD4. PHYSICAL HEALTH AND SELF-CARE
Early Toddler (12-24 months),indicator,"Indicates they are tired by saying, ""I'm sleepy.""",HPD4.4. Developing healthy habits for rest and sleep,HPD4.4i,page_43.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PD4. PHYSICAL HEALTH AND SELF-CARE
Older Toddler (24-36 months),indicator,Sleeps consistently and shows alertness when awake,HPD4.4. Developing healthy habits for rest and sleep,HPD4.4j,page_43.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PD4. PHYSICAL HEALTH AND SELF-CARE
Older Toddler (24-36 months),indicator,Cooperates with sleep routines,HPD4.4. Developing healthy habits for rest and sleep,HPD4.4k,page_43.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PD4. PHYSICAL HEALTH AND SELF-CARE
Older Toddler (24-36 months),indicator,"With increasing independence, starts and participates in sleep routines to calm the body and prepare for sleeping",HPD4.4. Developing healthy habits for rest and sleep,HPD4.4l,page_43.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PD4. PHYSICAL HEALTH AND SELF-CARE
Older Toddler (24-36 months),indicator,Recognizes when they are tired and will ask for a nap,HPD4.4. Developing healthy habits for rest and sleep,HPD4.4m,page_43.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PD4. PHYSICAL HEALTH AND SELF-CARE
Early Preschool (34-48 months),indicator,Gradually ends naps,HPD4.4. Developing healthy habits for rest and sleep,HPD4.4n,page_43.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PD4. PHYSICAL HEALTH AND SELF-CARE
Later Preschool (44-60 months),indicator,Independently starts and participates in sleep routines,HPD4.4. Developing healthy habits for rest and sleep,HPD4.4o,page_43.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PD4. PHYSICAL HEALTH AND SELF-CARE
Later Preschool (44-60 months),indicator,Can describe why sleep keeps us healthy,HPD4.4. Developing healthy habits for rest and sleep,HPD4.4n,page_43.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PD4. PHYSICAL HEALTH AND SELF-CARE
Toddler (12-24 months),indicator,Interacts with an adult in role play (e.g. acting out the characters and story in a favorite book),"CD4.3, Building understanding, empathy, and relationship skills through drama and theatre arts",CD43d,page_57.png,COGNITIVE DEVELOPMENT (CD),FINE ARTS
Toddler (12-24 months),indicator,Shows imagination and uses objects to represent actual items (e.g. using block as a cellphone),"CD4.3, Building understanding, empathy, and relationship skills through drama and theatre arts",CD43b,page_57.png,COGNITIVE DEVELOPMENT (CD),FINE ARTS
