filename,statement,type,smartlevel
page_16.png,Acts out routines  stories  or social roles using toys and other materials as props.,performance standards,1.3.3.1
page_18.png,FINE MOTOR,Content Area,1
page_18.png,Child demonstrates effective and efficient use of large muscles to explore the environment.,Domain,1.1
page_18.png,Birth to 9 Months,label,1.1.1
page_18.png,Uses each new posture (raising head rolling onto back sitting) to learn new ways to explore the environment.,performance standards,1.1.1.1
page_18.png,9 Months to 18 Months,label,1.1.2
page_18.png,"Uses new engaging balance, and especially to move position and examine materials, surroundings and actions.",performance standards,1.1.2.1
page_18.png,18 Months to 36 Months,label,1.1.3
page_18.png,"Uses variety of movements, body positions, and gestures to participate in active and quiet, indoor and outdoor play.",performance standards,1.1.3.1
page_18.png,Child uses sensory information and body awareness to understand how one's own body relates to the environment.,Domain,1.2
page_18.png,Birth to 9 Months,label,1.2.1
page_18.png,Responds to sounds and sights in the environment by orienting head or body to understand the information in the event,performance standards,1.2.1.1
page_18.png,9 Months to 18 Months,label,1.2.2
page_18.png,Shows awareness as skilled crawler or walker of new challenges or dangers in the environment such as steep inclines or drop offs.,performance standards,1.2.2.1
page_18.png,18 Months to 36 Months,label,1.2.3
page_18.png,Begins to move about different body sizes and space such as squeezing into a tunnel what size opening is needed for one's body to move through.,performance standards,1.2.3.1
page_18.png,Child coordinates hand and eye movements to perform actions.,Domain,1.3
page_18.png,Birth to 9 Months,label,1.3.1
page_18.png,Coordinates hands and eyes when reaching for and holding steady for moving objects.,performance standards,1.3.1.1
page_18.png,9 Months to 18 Months,label,1.3.2
page_18.png,Uses hand-eye coordination for more difficult actions.,performance standards,1.3.2.1
page_18.png,18 Months to 36 Months,label,1.3.3
page_18.png,Uses hand-eye coordination when participating in routines play and activities.,performance standards,1.3.3.1
page_18.png,Child uses hands for exploration play and daily routines.,Domain,1.4
page_18.png,Birth to 9 Months,label,1.4.1
page_18.png,Uses single actions to explore shape size texture and weight of objects.,performance standards,1.4.1.1
page_18.png,9 Months to 18 Months,label,1.4.2
page_18.png,"Explores features of objects and materials by using various hand actions, such as pulling strings or turning pages in a board book.",performance standards,1.4.2.1
page_18.png,18 Months to 36 Months,label,1.4.3
page_18.png,"Plans ways to use hands for various activities, such as stacking, building, connecting and self-care skills or routines.",performance standards,1.4.3.1
page_19.png,Child adjusts reach and grasp to use tools.,Content Area,1
page_19.png,Birth to 9 Months,Domain,1.1
page_19.png,Uses increasingly developed grasps and matches the grasp to the task.,Anchor Standard,1.1.1
page_19.png,Birth to 9 Months,label,1.1.1.1
page_19.png,Uses grasp reflex to take object to mouth.,performance standards,1.1.1.1.1
page_19.png,8 Months to 18 Months,label,1.1.1.2
page_19.png,Extends reach by using simple tools.,performance standards,1.1.1.2.1
page_19.png,18 Months to 36 Months,label,1.1.1.3
page_19.png,Adjusts grasp to use different tools for different purposes.,performance standards,1.1.1.3.1
page_19.png,"HEALTH, SAFETY AND NUTRITION",Content Area,2
page_19.png,Child demonstrates healthy behaviors with increasing independence as part of everyday routines.,Domain,2.1
page_19.png,Birth to 9 Months,label,2.1.1
page_19.png,Emerging,performance standards,2.1.1.1
page_19.png,8 Months to 18 Months,label,2.1.2
page_19.png,Expects and cooperates in daily self-care routines.,performance standards,2.1.2.1
page_19.png,18 Months to 36 Months,label,2.1.3
page_19.png,Participates in healthy self-care routines with more independence.,performance standards,2.1.3.1
page_2.png,16 Months to 36 Months,label,3.1.3
page_20.png,Child uses safe behaviors with support from familiar adults.,Content Area,1
page_20.png,Birth to 9 Months,label,1.1
page_20.png,Emerging,performance standards,1.1.1
page_20.png,8 Months to 18 Months,label,1.2
page_20.png,Emerging,performance standards,1.2.1
page_20.png,16 Months to 36 Months,label,1.3
page_20.png,"Accepts familiar adult guidance, support and protection when in unsafe situations.",performance standards,1.3.1
page_20.png,Child demonstrates increasing interest in engaging in healthy eating habits and making nutritious (healthy) food choices.,Content Area,2
page_20.png,Birth to 9 Months,label,2.1
page_20.png,Emerging,performance standards,2.1.1
page_20.png,8 Months to 18 Months,label,2.2
page_20.png,Shows interest in new foods that are offered.,performance standards,2.2.1
page_20.png,16 Months to 36 Months,label,2.3
page_20.png,"Shows willingness to try new, healthy foods when offered on many occasions.",performance standards,2.3.1
page_20.png,"Begins to make healthy choices about which foods to eat when offered several choices, with support from a familiar adult.",performance standards,2.3.2
