Item Type,Sequence,Human Code,Full Statement
Developmental Milestone,3.8.1.3.4.1,,"Begins combining two to three words in English (e.g., 'want cookie'). Uses simple greetings and responses (e.g., 'hi,' 'bye,' 'yes,' 'no')."
Developmental Milestone,3.8.1.3.4.2,,"Expands vocabulary to include common objects, actions, and emotions. Begins using descriptive words (e.g., 'big truck')."
Label,3.8.1.3.5,,Preschool (PS 36-48) Learning Outcome
Developmental Milestone,3.8.1.3.5.1,,"Engages in simple conversations using short phrases and sentences in English. Expands vocabulary with support (e.g., repeating new words, using sentence frames)."
Developmental Milestone,3.8.1.3.5.2,,"Uses English words to describe attributes, locations, and relationships (e.g., 'big red ball'). Begins understanding opposites (e.g., hot/cold)."
Label,3.8.1.3.6,,PreK (48-60 Learning Outcomes)
Developmental Milestone,3.8.1.3.6.1,,"Speaks in complete sentences, shares ideas, and expresses opinions. Uses basic grammatical structures, pronouns, and past tense in English with occasional errors."
Developmental Milestone,3.8.1.3.6.2,,"Identifies beginning sounds in words. Begins blending and segmenting sounds in simple words (e.g., /c/ - /a/ - /t/ → 'cat')."
Cluster,3.8.2,,Grammar & Syntax (Sentence Structure & Word Forms)
Standard,3.8.2.1,,"Acquires English grammar structures appropriate to their age and language proficiency,"
Label,3.8.2.1.1,,Infants (INF 8-18) Learning Outcome
Developmental Milestone,3.8.2.1.1.1,,"Uses single words (e.g., �milk,� �go�) and begins to understand simple sentence structures in caregiver speech."
Label,3.8.2.1.2,,Toddler (TOD 18-24) Learning Outcome
Developmental Milestone,3.8.2.1.2.1,,"Begins combining two-word phrases using basic noun-verb structures (e.g., �want cookie�).egins to describe characteristics of self."
Label,3.8.2.1.3,,Toddler (TOD 24-36) Learning Outcome
Developmental Milestone,3.8.2.1.3.1,,"Forms simple sentences (e.g., �I see dog�). Uses early grammar patterns, but with errors (e.g., �goed� instead of �went�)."
Label,3.8.2.1.4,,Preschool (PS 36-48) Learning Outcome
Developmental Milestone,3.8.2.1.4.1,,"Uses pronouns (he/she/they), prepositions, and plurals correctly. Expands sentence structure (e.g., �I want to go to the park�). Begins using past tense verbs, though inconsistently."
Label,3.8.2.1.5,,PreK (48-60 Learning Outcomes)
Developmental Milestone,3.8.2.1.5.1,,"Uses complete sentences with subject-verb agreement. Expands use of verb tenses, conjunctions (and, because), and descriptive language (e.g., �The big red truck goes fast�). Can retell simple stories with correct grammar."
