Standard Code,Standard Label,Item Type,Sequence,Human Code,Full Statement
SE.9,Recognizes individuality and personal uniqueness.,Developmental Progression,2.4.1.1.1,SE.9.A.1,Looks at own reflection in a mirror
SE.9,Recognizes individuality and personal uniqueness.,Developmental Progression,2.4.1.2.1,SE.9.B.1,Points to self in pictures or videos
SE.9,Recognizes individuality and personal uniqueness.,Developmental Progression,2.4.1.3.1,SE.9.C.1,Recognizes self by name and characteristics
SE.9,Recognizes individuality and personal uniqueness.,Developmental Progression,2.4.1.4.1,SE.9.D.1,Talks about self and family in relation to others
SE.9,Recognizes individuality and personal uniqueness.,Developmental Progression,2.4.1.5.1,SE.9.E.1,Describes own physical characteristics and behaviors.
SE.9,Recognizes individuality and personal uniqueness.,Developmental Progression,2.4.1.5.2,SE.9.E.2,Indicates likes and dislikes when asked.
SE.9,Recognizes individuality and personal uniqueness.,Developmental Progression,2.4.1.6.1,SE.9.F.1,Understands others think differently than self
SE.9,Recognizes individuality and personal uniqueness.,Developmental Progression,2.4.1.6.2,SE.9.F.2,Recognizes and respects differences in perspectives and opinions of others.
SE.9,Recognizes individuality and personal uniqueness.,Developmental Progression,2.4.1.6.3,SE.9.F.3,"Exhibits knowledge of uniqueness of self, inlcuding talents, interests, preferences, or culture."
SE.9,Recognizes individuality and personal uniqueness.,Developmental Progression,2.4.1.6.4,SE.9.F.4,Describes self using several different characteristics.
SE.10,Displays confidence in skills and abilities.,Developmental Progression,2.4.2.1.1,SE.10.A.1,Smiles when praised for actions
SE.10,Displays confidence in skills and abilities.,Developmental Progression,2.4.2.2.1,SE.10.B.1,Claps for accomplishments with adult modeling
SE.10,Displays confidence in skills and abilities.,Developmental Progression,2.4.2.3.1,SE.10.C.1,"Tries new activities, like climbing stairs"
SE.10,Displays confidence in skills and abilities.,Developmental Progression,2.4.2.4.1,SE.10.D.1,Shows pride in completed tasks
SE.10,Displays confidence in skills and abilities.,Developmental Progression,2.4.2.5.1,SE.10.E.1,Shares positive feelings about self independently or when prompted by an adult.
SE.10,Displays confidence in skills and abilities.,Developmental Progression,2.4.2.5.2,SE.10.E.2,Expresses pride in personal progress and accomplishments.
SE.10,Displays confidence in skills and abilities.,Developmental Progression,2.4.2.5.3,SE.10.E.3,Identifies personal strengths and achievements.
SE.10,Displays confidence in skills and abilities.,Developmental Progression,2.4.2.6.1,SE.10.F.1,Shows satisfaction or seeks acknowledgment when completing a task or solving a problem.
SE.10,Displays confidence in skills and abilities.,Developmental Progression,2.4.2.6.2,SE.10.F.2,Exhibits confidence in own abilities and skills.
SE.10,Displays confidence in skills and abilities.,Developmental Progression,2.4.2.6.3,SE.10.F.3,"Shows positive thinking and self-appreciation with ""I-can"" statements."
SE.10,Displays confidence in skills and abilities.,Developmental Progression,2.4.2.6.4,SE.10.F.4,Expresses own ideas or beliefs in group contexts or in interactions with others.
SE.11,Develops a sense of belonging within a group.,Developmental Progression,2.4.3.1.1,SE.11.B.1,Responds to family members’ voices with excitement
SE.11,Develops a sense of belonging within a group.,Developmental Progression,2.4.3.2.1,SE.11.A.1,Points to family members in photos
SE.11,Develops a sense of belonging within a group.,Developmental Progression,2.4.3.3.1,SE.11.C.1,Refers to family members by name
SE.11,Develops a sense of belonging within a group.,Developmental Progression,2.4.3.4.1,SE.11.D.1,Participates in family or community rituals
SE.11,Develops a sense of belonging within a group.,Developmental Progression,2.4.3.5.1,SE.11.E.1,Relates personal stories about being a part of different groups.
SE.11,Develops a sense of belonging within a group.,Developmental Progression,2.4.3.5.2,SE.11.E.2,"Identifies self as being a part of different groups, such as family, community, culture, faith, or school."
SE.11,Develops a sense of belonging within a group.,Developmental Progression,2.4.3.6.1,SE.11.F.1,Assumes role as classroom member.
SE.11,Develops a sense of belonging within a group.,Developmental Progression,2.4.3.6.2,SE.11.F.2,"Identifies self as being a part of different groups, such as family, community, culture, faith, or school."
SE.11,Develops a sense of belonging within a group.,Developmental Progression,2.4.3.6.3,SE.11.F.3,Relates personal stories about being a part of different groups.
SE.11,Develops a sense of belonging within a group.,Developmental Progression,2.4.3.6.4,SE.11.F.4,Identifies similarities and differences about self across familiar environments and settings.
LC.1,Attends to and begins understanding spoken language.,Developmental Progression,3.1.1.1.1,,Turns head toward familiar voices
LC.1,Attends to and begins understanding spoken language.,Developmental Progression,3.1.1.1.2,,"Exchanges facial expressions and language sounds with familiar adults or by changing focus, making eye contact, or looking at people or objects during these interactions."
LC.1,Attends to and begins understanding spoken language.,Developmental Progression,3.1.1.2.1,,Follows simple verbal instructions
LC.1,Attends to and begins understanding spoken language.,Developmental Progression,3.1.1.2.2,,"Shows understanding of the meaning of familiar caregivers’ verbal and non-verbal communication and responds with facial expressions, gestures, words or actions, such as looking at people or objects being referred to."
LC.1,Attends to and begins understanding spoken language.,Developmental Progression,3.1.1.3.1,,"Demonstrates joint attention with adults by showing interest, understanding, or enjoyment when participating in language activities, such as fingerplays or stories."
LC.1,Attends to and begins understanding spoken language.,Developmental Progression,3.1.1.3.2,,"Shows recognition of words, phrases, and simple sentences."
LC.1,Attends to and begins understanding spoken language.,Developmental Progression,3.1.1.4.1,,Responds to multi-step instructions
LC.1,Attends to and begins understanding spoken language.,Developmental Progression,3.1.1.4.2,,Demonstrates interest and understanding when participating in activities or games.
LC.1,Attends to and begins understanding spoken language.,Developmental Progression,3.1.1.6.1,, Uses verbal and non-verbal signals appropriately to acknowledge the comments or questions of others.
LC.1,Attends to and begins understanding spoken language.,Developmental Progression,3.1.1.6.3,," Shows ongoing connection to a conversation, group discussion, or presentation."
LC.2,Develops vocabulary and uses increasingly complex sentences.,Developmental Progression,3.1.2.1.1,,Responds with coos when spoken to
LC.2,Develops vocabulary and uses increasingly complex sentences.,Developmental Progression,3.1.2.2.1,,Babbles using varied tones and patterns
LC.2,Develops vocabulary and uses increasingly complex sentences.,Developmental Progression,3.1.2.3.1,,Uses simple sentences during play
LC.2,Develops vocabulary and uses increasingly complex sentences.,Developmental Progression,3.1.2.4.1,,Speaks in short but complete sentences
LC.2,Develops vocabulary and uses increasingly complex sentences.,Developmental Progression,3.1.2.6.7,, Shows an understanding of talk related to the past or future.
LC.3,Engages in and understands conversational practices.,Developmental Progression,3.2.1.1.1,,Cries to indicate needs like hunger or comfort
LC.3,Engages in and understands conversational practices.,Developmental Progression,3.2.1.2.1,,Uses basic sounds to indicate needs
LC.3,Engages in and understands conversational practices.,Developmental Progression,3.2.1.3.1,,Names objects to communicate needs
LC.3,Engages in and understands conversational practices.,Developmental Progression,3.2.1.4.1,,Combines words to explain needs
LC.3,Engages in and understands conversational practices.,Developmental Progression,3.2.1.6.4,," Uses language, spoken or sign, to clarify a word or statement when misunderstood."
LC.4,"Communicates needs, wants, and feelings effectively.",Developmental Progression,3.2.2.1.1,,Coos and babbles during playtime
LC.4,"Communicates needs, wants, and feelings effectively.",Developmental Progression,3.2.2.1.2,,"Explores sounds common in many languages, such as “ma-ma” or “ba-ba.”"
LC.4,"Communicates needs, wants, and feelings effectively.",Developmental Progression,3.2.2.2.1,,Practices turn-taking during conversations
LC.4,"Communicates needs, wants, and feelings effectively.",Developmental Progression,3.2.2.2.2,,"Uses a variety of ways (e.g., babbling, gestures, change in intonation) to communicate interests, needs and wants, such as saying or signing for “More” when eating."
LC.4,"Communicates needs, wants, and feelings effectively.",Developmental Progression,3.2.2.3.3,,Takes turns babbling with caregivers
LC.4,"Communicates needs, wants, and feelings effectively.",Developmental Progression,3.2.2.4.1,,Engages in group discussions with peers
LC.5,Understands and responds to different types of questions.,Developmental Progression,3.2.3.1.1,,Gestures toward objects when asked
LC.5,Understands and responds to different types of questions.,Developmental Progression,3.2.3.2.1,,Points to answer basic questions
LC.5,Understands and responds to different types of questions.,Developmental Progression,3.2.3.3.1,,Answers simple questions like 'Where's the ball?'
LC.5,Understands and responds to different types of questions.,Developmental Progression,3.2.3.4.1,,Expands on answers to questions
LC.5,Understands and responds to different types of questions.,Developmental Progression,3.2.3.6.4,,Uses grammatical rules when speaking.
LC.6,Child understands and uses a wide variety of words for a variety of purposes,Developmental Progression,3.3.1.3.1,,Uses and increasing number of words in communication and conversation with others and ads new vocabulary words regularly.
LC.6,Child understands and uses a wide variety of words for a variety of purposes,Developmental Progression,3.3.1.4.1,,Shows understanding of the meaning of common words used in daily activities and attends to new words used in conversations with others.
LC.6,Child understands and uses a wide variety of words for a variety of purposes,Developmental Progression,3.3.1.4.2,,Asks questions about the meaning of new words.
LC.6,Child understands and uses a wide variety of words for a variety of purposes,Developmental Progression,3.3.1.6.4,, Shows recognition of and/or familiarity with key domain-specific words heard during reading or discussions.
LC.6,Child understands and uses a wide variety of words for a variety of purposes,Developmental Progression,3.3.1.6.5,," With support, forms guesses about the meaning of new words from context clues."
LC.6,Child understands and uses a wide variety of words for a variety of purposes,Developmental Progression,3.3.1.6.6,,Forms guesses about the meaning of new words from context clues.
LC.7,Child shows understanding of word categories and relationships among words,Developmental Progression,3.3.2.1.1,,"Uses known words in the correct context and shows an emerging understanding of how words are related to broader categories, such as sorting things by color."
LC.7,Child shows understanding of word categories and relationships among words,Developmental Progression,3.3.2.2.1,,"Demonstrates an increasingly sophisticated understanding of words and word categories, such as listing multiple examples of a familiar category or providing a synonym/antonym."
LC.7,Child shows understanding of word categories and relationships among words,Developmental Progression,3.3.2.3.1,," Categorizes words or objects, such as sorting a hard hat, machines, and tools into the construction group, or giving many examples of farm animals."
LC.7,Child shows understanding of word categories and relationships among words,Developmental Progression,3.3.2.3.2,,"Demonstrates an increasingly sophisticated understanding of words and word categories with support, such as listing multiple examples of a familiar category or identifying a synonym or antonym."
LC.7,Child shows understanding of word categories and relationships among words,Developmental Progression,3.3.2.3.3,," Identifies shared characteristics among people, places, things, or actions, such as identifying that both cats and dogs are furry and have four legs."
LIT.1,"Demonstrates awareness of sounds, syllables, and rhymes.",Developmental Progression,3.4.1.2.1,,Recognizes and matches simple rhyming patterns
LIT.1,"Demonstrates awareness of sounds, syllables, and rhymes.",Developmental Progression,3.4.1.2.2,,Attempts to repeat or imitate words of culturally and linguistically familiar rhymes and repetitive refrains in stories or songs.
LIT.1,"Demonstrates awareness of sounds, syllables, and rhymes.",Developmental Progression,3.4.1.3.1,,Identifies rhymes in short verses
LIT.1,"Demonstrates awareness of sounds, syllables, and rhymes.",Developmental Progression,3.4.1.4.1,,"Follows along or repeats parts of nursery rhymes or simple, culturally relevant songs when listening to them (e.g., says the number words and mimics the actions in One, Two Buckle My Shoe."
LIT.2,Demonstrates an understanding of functions of print and conventions of print.,Developmental Progression,3.5.1.1.1,,Touches and looks at images in books
LIT.2,Demonstrates an understanding of functions of print and conventions of print.,Developmental Progression,3.5.1.1.2,,"Explores a book by touching it, patting it, or putting it in mouth."
LIT.2,Demonstrates an understanding of functions of print and conventions of print.,Developmental Progression,3.5.1.2.1,,Selects books to explore with caregivers
LIT.2,Demonstrates an understanding of functions of print and conventions of print.,Developmental Progression,3.5.1.2.2,,"Turns pages in board books, recognizes familiar pictures."
LIT.2,Demonstrates an understanding of functions of print and conventions of print.,Developmental Progression,3.5.1.3.1,,Brings books to adults to read together
LIT.2,Demonstrates an understanding of functions of print and conventions of print.,Developmental Progression,3.5.1.3.2,,Pretends to read books by turning pages and talking about or using signs to describe what is happening in the book.
LIT.2,Demonstrates an understanding of functions of print and conventions of print.,Developmental Progression,3.5.1.3.3,,"Shows increasing interest in written forms of language, such as print in books or signs on buildings."
LIT.2,Demonstrates an understanding of functions of print and conventions of print.,Developmental Progression,3.5.1.4.1,,Chooses books based on interests
LIT.2,Demonstrates an understanding of functions of print and conventions of print.,Developmental Progression,3.5.1.4.2,,"Holds book, turns pages, and pretends to read."
LIT.2,Demonstrates an understanding of functions of print and conventions of print.,Developmental Progression,3.5.1.4.3,,Asks to have several favorite books read over and over.
LIT.3,Child identifies letters of the alphabet,Developmental Progression,3.5.2.1.1,,Repeats simple sounds during interactions
LIT.3,Child identifies letters of the alphabet,Developmental Progression,3.5.2.2.1,,Imitates words heard during book reading
LIT.3,Child identifies letters of the alphabet,Developmental Progression,3.5.2.3.1,,"Recognizes and uses some letters or numbers, such as letters in one’s name and shows interest in letters."
LIT.3,Child identifies letters of the alphabet,Developmental Progression,3.5.2.4.1,,Recognizes letters in books or on signs
LIT.4,Child demonstrates an understanding of narrative structure through storytelling/re-telling,Developmental Progression,3.6.1.1.1,,"Talks about books, acts out events from stories, and uses some vocabulary encountered during book reading."
LIT.4,Child demonstrates an understanding of narrative structure through storytelling/re-telling,Developmental Progression,3.6.1.2.1,,"Begins to connect personal experiences to the book (e.g., ""I have a dog like that!"")."
LIT.4,Child demonstrates an understanding of narrative structure through storytelling/re-telling,Developmental Progression,3.6.1.3.2,,Identifies main events and characters in a narrative'.
LIT.5,Asks and answers questions about read-aloud books.,Developmental Progression,3.6.2.1.1,,Makes cooing or babbling sounds in response to the reader's tone
LIT.5,Asks and answers questions about read-aloud books.,Developmental Progression,3.6.2.1.2,,Looks at picture books and listens to an adult talk about the pictures in a book.
LIT.5,Asks and answers questions about read-aloud books.,Developmental Progression,3.6.2.2.1,,"Points to pictures in the book when prompted (e.g., ""Where's the cat?"")."
LIT.5,Asks and answers questions about read-aloud books.,Developmental Progression,3.6.2.3.1,,"Points to objects or characters in response to ""Where"" or ""Who"" questions."
LIT.5,Asks and answers questions about read-aloud books.,Developmental Progression,3.6.2.4.1,,Asks or answers questions about what is happening in a book or story.
LIT.5,Asks and answers questions about read-aloud books.,Developmental Progression,3.6.2.4.2,,Uses pictures as a guide to talk about a story that has been read.
LIT.5,Asks and answers questions about read-aloud books.,Developmental Progression,3.6.2.4.3,,Identifies feelings of characters in a book or story.
LIT.6,Writes for different purposes with increasing complexity.,Developmental Progression,3.7.1.1.1,,Grasps crayons or markers to make marks
LIT.6,Writes for different purposes with increasing complexity.,Developmental Progression,3.7.1.1.2,,Begin to make unintentional marks when given a crayon or tool.
LIT.6,Writes for different purposes with increasing complexity.,Developmental Progression,3.7.1.2.1,,"Scribble with crayons, markers, or fingers."
LIT.6,Writes for different purposes with increasing complexity.,Developmental Progression,3.7.1.3.1,,"Draws simple lines, circles, or scribbles to imitate writing."
LIT.6,Writes for different purposes with increasing complexity.,Developmental Progression,3.7.1.4.1,,"Copies or draws lines, shapes, and some simple letters (e.g., their initials)."
LIT.6,Writes for different purposes with increasing complexity.,Developmental Progression,3.7.1.4.2,,"Associates marks with specific ideas, like labeling drawings with scribbles."
LIT.6,Writes for different purposes with increasing complexity.,Developmental Progression,3.7.1.5.1,,"Create shapes, letters and pictures with a variety of writing tools."
LIT.6,Writes for different purposes with increasing complexity.,Developmental Progression,3.7.1.5.2,LIT.6.b,Child can differentiate and apply various types of marks to convey different meanings or purposes.'
LIT.6,Writes for different purposes with increasing complexity.,Developmental Progression,3.7.1.5.3,P-LIT.6a," Engages in writing activities that consist largely of drawing and scribbling. Begins to convey meaning. With modeling and support, writes some letter-like forms and letters."
LIT.6,Writes for different purposes with increasing complexity.,Developmental Progression,3.7.1.5.4,,"Progressively uses drawing, scribbling, letter-like forms, and letters to intentionally convey meaning."
LIT.6,Writes for different purposes with increasing complexity.,Developmental Progression,3.7.1.5.5,LIT.6.c,Child develops the ability to produce increasingly complex and detailed markings representing greater command of written language.'
,Celebrates class-made and individual writing projects,Developmental Progression,3.7.1.6.7,, Creates a variety of written products that may or may not phonetically relate to intended messages.
,Celebrates class-made and individual writing projects,Developmental Progression,3.7.1.6.11,, Shows an interest in copying simple words posted in the classroom.
,Celebrates class-made and individual writing projects,Developmental Progression,3.7.1.6.12,," Attempts to independently write some words using invented spelling, such as K for kite."
,Celebrates class-made and individual writing projects,Developmental Progression,3.7.1.6.13,, Writes first name correctly or close to correctly.
,Celebrates class-made and individual writing projects,Developmental Progression,3.7.1.6.14,," Writes (draws, illustrates) for a variety of purposes and demonstrates evidence of many aspects of print conventions, such as creating a book that moves left to right."
,Celebrates class-made and individual writing projects,Developmental Progression,3.7.1.6.15,,"With support, may use invented spelling consisting of salient or beginning sounds, such as L for elevator or B for bug."
,Shows awareness and appreciation of diverse languages and cultures.,Developmental Progression,3.8.1.1.1.1,,Focuses on tones and pitches of voices
,Shows awareness and appreciation of diverse languages and cultures.,Developmental Progression,3.8.1.1.2.1,,Observes others speaking in a different language
,Shows awareness and appreciation of diverse languages and cultures.,Developmental Progression,3.8.1.1.3.1,,Says words in different languages when guided
,Shows awareness and appreciation of diverse languages and cultures.,Developmental Progression,3.8.1.1.4.1,,Learns phrases from other languages
MATH.1,Explores understanding of numbers and counting.,Developmental Progression,4.1.1.1.1,MATH.1.A.1,"Notices differences in the number of objects (e.g., one versus many)."
MATH.1,Explores understanding of numbers and counting.,Developmental Progression,4.1.1.2.1,MATH.1.B.1,"Points to objects or shows interest in grouping items (e.g., stacking rings)."
MATH.1,Explores understanding of numbers and counting.,Developmental Progression,4.1.1.3.1,MATH.1.C.1,"Begins using number words during play (e.g., “one, two”)."
MATH.1,Explores understanding of numbers and counting.,Developmental Progression,4.1.1.4.1,MATH.1.D.1,Counts objects up to three with guidance.
MATH.1,Explores understanding of numbers and counting.,Developmental Progression,4.1.1.5.1,Math.1.E.1,Says or signs more number words in sequence.
MATH.1,Explores understanding of numbers and counting.,Developmental Progression,4.1.1.5.2,Math.1.E.2,"Says or signs some number words in sequence (up to 10), starting with one. Understands that counting words are separate words, such as ""one,"" ""two,"" ""three"" versus ""onetwothree""."
MATH.1,Explores understanding of numbers and counting.,Developmental Progression,4.1.1.6.1,MATH.1.F.1,Begins to write numerals
MATH.1,Explores understanding of numbers and counting.,Developmental Progression,4.1.1.6.2,MATH.1.F.2,Identifies quantity to 5 without counting
MATH.1,Explores understanding of numbers and counting.,Developmental Progression,4.1.1.6.3,MATH.1.F.3,Uses ordinal terms
MATH.1,Explores understanding of numbers and counting.,Developmental Progression,4.1.1.6.4,MATH.1.F.4,Recognizes and names numerals 0-10.
MATH.1,Explores understanding of numbers and counting.,Developmental Progression,4.1.1.6.5,MATH.1.F.5,Recognize that zero represents the count of no objects.
MATH.1,Explores understanding of numbers and counting.,Developmental Progression,4.1.1.6.6,MATH.1.F.6,Know counting sequence is constant
MATH.1,Explores understanding of numbers and counting.,Developmental Progression,4.1.1.6.7,MATH.1.F.7,Counts verbally or signs to at least 20 by ones.
MATH.1,Explores understanding of numbers and counting.,Developmental Progression,4.1.1.6.8,MATH.1.F.8,Rote counts to 10
MATH.1,Explores understanding of numbers and counting.,Developmental Progression,4.1.1.6.9,MATH.1.F.9,Rote counts to 30
MATH.2,Child recognizes the number of objects in a small set (subitizing),Developmental Progression,4.1.2.1.1,MATH.2.A.1,"Explores objects by grasping and mouthing, noticing differences in size."
MATH.2,Child recognizes the number of objects in a small set (subitizing),Developmental Progression,4.1.2.2.1,MATH.2.B.1,"Stacks or nests objects, such as cups or blocks."
MATH.2,Child recognizes the number of objects in a small set (subitizing),Developmental Progression,4.1.2.3.1,MATH.2.C.1,Identifies “big” and “small” with prompts; begins to fill and empty containers.
MATH.2,Child recognizes the number of objects in a small set (subitizing),Developmental Progression,4.1.2.4.1,MATH.2.D.1,"Uses terms like “on,” “under,” and “in” to describe object placement."
MATH.2,Child recognizes the number of objects in a small set (subitizing),Developmental Progression,4.1.2.5.1,MATH.2.E.1,"Develops an understanding of what whole numbers mean. Begins to recognize the number of small objects in groups without counting (referred to as ""subitizing"")."
MATH.2,Child recognizes the number of objects in a small set (subitizing),Developmental Progression,4.1.2.5.2,MATH.2.E.2,"Quickly recognizes the number of objects in a small set (referred to as ""subitizing"")."
MATH.2,Child recognizes the number of objects in a small set (subitizing),Developmental Progression,4.1.2.5.3,MATH.2.E.3,Child can visually identify and name numbers 1-5 without counting.
MATH.2,Child recognizes the number of objects in a small set (subitizing),Developmental Progression,4.1.2.6.1,MATH.2.F.1,"Instantly recognizes, without counting, small quantities of up to 5 objects and says or signs the number."
MATH.2,Child recognizes the number of objects in a small set (subitizing),Developmental Progression,4.1.2.6.2,MATH.2.F.2,Separates items up to 10 into equal groups
MATH.3,Demonstrates awareness between numbers and quantities.,Developmental Progression,4.1.3.1.1,MATH.3.A.1,"Reacts to repetitive sounds or movements, such as clapping."
MATH.3,Demonstrates awareness between numbers and quantities.,Developmental Progression,4.1.3.2.1,MATH.3.B.1,"Imitates simple patterns in actions, such as banging two objects together."
MATH.3,Demonstrates awareness between numbers and quantities.,Developmental Progression,4.1.3.3.1,MATH.3.C.1,Matches similar objects or colors to form simple sequences.
MATH.3,Demonstrates awareness between numbers and quantities.,Developmental Progression,4.1.3.4.1,MATH.3.D.1,"Recognizes AB patterns (e.g., red-blue-red-blue)."
MATH.3,Demonstrates awareness between numbers and quantities.,Developmental Progression,4.1.3.5.1,MATH.3.E.1,Begins to coordinate verbal counting with objects by pointing to or moving objects for small groups of objects laid in a line (referred to as one-to-one correspondence).
MATH.3,Demonstrates awareness between numbers and quantities.,Developmental Progression,4.1.3.5.2,MATH.3.E.2,Child can match numbers with corresponding quantities
MATH.3,Demonstrates awareness between numbers and quantities.,Developmental Progression,4.1.3.5.3,MATH.3.E.3,"Begins to understand that the last number represents how many objects are in a group (referred to as ""cardinality"")."
MATH.3,Demonstrates awareness between numbers and quantities.,Developmental Progression,4.1.3.6.1,MATH.3.F.1,Count up to 5 items in a scattered configuration; not in a row or column.
MATH.3,Demonstrates awareness between numbers and quantities.,Developmental Progression,4.1.3.6.2,MATH.3.F.2,"When counting objects, says or signs the number names in order, pairing one number word that corresponds with one object, up to at least 10."
MATH.3,Demonstrates awareness between numbers and quantities.,Developmental Progression,4.1.3.6.3,MATH.3.F.3,Child begins to understand that numbers 0-10 can be composed and decomposed in various ways to represent a quantity.
MATH.3,Demonstrates awareness between numbers and quantities.,Developmental Progression,4.1.3.6.4,MATH.3.F.4,Understands that the last number said represents the number of objects in a set.
MATH.4,Child compares numbers,Developmental Progression,4.1.4.1.1,MATH.4.A.1,"Explores objects by mouthing, grasping, or banging, noticing different weights or textures."
MATH.4,Child compares numbers,Developmental Progression,4.1.4.2.1,MATH.4.B.1,Compares sizes by choosing larger or smaller objects.
MATH.4,Child compares numbers,Developmental Progression,4.1.4.3.1,MATH.4.C.1,Sorts objects by size or weight with guidance.
MATH.4,Child compares numbers,Developmental Progression,4.1.4.4.1,MATH.4.D.1,"Identifies objects as “big” or “small,” “heavy” or “light.”"
MATH.4,Child compares numbers,Developmental Progression,4.1.4.5.1,MATH.4.E.1,"Begins to accurately count and compare objects that are about the same size and are in small groups with adult assistance, such as counts a pile of 2 blocks and a pile of 4, and determines whether the piles have the same or different numbers of blocks. Identifies the first and second objects in a sequence."
MATH.4,Child compares numbers,Developmental Progression,4.1.4.5.2,MATH.4.E.2,"Counts to determine and compare number amounts even when the larger group's objects are smaller in size, such as buttons, compared with the smaller group's objects that are larger in size, such as markers. Uses numbers related to order or position."
MATH.4,Child compares numbers,Developmental Progression,4.1.4.6.1,MATH.4.F.1,"Identifies whether the number of objects in one group is more than, less than, or the same as objects in another group for up to at least five objects."
MATH.4,Child compares numbers,Developmental Progression,4.1.4.6.2,MATH.4.F.2,Identifies and uses numbers related to order or position from first to tenth.
MATH.4,Child compares numbers,Developmental Progression,4.1.4.6.3,MATH.4.F.3,Compare two sets of 1-5 objects using comparative language such as same more or fewer.
MATH.5,Connects numbers to quantities and experiments with writing numbers.,Developmental Progression,4.1.5.1.1,MATH.5.A.1,"Notices different quantities (e.g., one toy versus many)."
MATH.5,Connects numbers to quantities and experiments with writing numbers.,Developmental Progression,4.1.5.2.1,MATH.5.B.1,"Groups objects during play, such as stacking blocks or sorting rings"
MATH.5,Connects numbers to quantities and experiments with writing numbers.,Developmental Progression,4.1.5.3.1,MATH.5.C.1,"Points to objects while attempting to count (e.g., “one, two”)."
MATH.5,Connects numbers to quantities and experiments with writing numbers.,Developmental Progression,4.1.5.4.1,MATH.5.D.1,"Begins recognizing numerals (e.g., points to the “3” when prompted)."
MATH.5,Connects numbers to quantities and experiments with writing numbers.,Developmental Progression,4.1.5.5.1,MATH.5.E.1,Understands that a written numeral represents a quantity and may draw objects or use informal symbols to represent numbers.
MATH.5,Connects numbers to quantities and experiments with writing numbers.,Developmental Progression,4.1.5.5.2,MATH.5.E.2,"Understands that written numbers represent quantities of objects, and uses information symbols, such as a tally, to represent numerals. With adult support, writes some numerals up to 10."
MATH.5,Connects numbers to quantities and experiments with writing numbers.,Developmental Progression,4.1.5.6.1,MATH.5.F.1,Associates a number of objects with a written numeral 0–5.
MATH.5,Connects numbers to quantities and experiments with writing numbers.,Developmental Progression,4.1.5.6.2,MATH.5.F.2,Uses objects/pictures to add up to 5 objects
MATH.5,Connects numbers to quantities and experiments with writing numbers.,Developmental Progression,4.1.5.6.3,MATH.5.F.3,Uses objects/pictures to subtract objects from set 0-5
MATH.5,Connects numbers to quantities and experiments with writing numbers.,Developmental Progression,4.1.5.6.4,MATH.5.F.4,"Recognizes and, with support, writes some numerals up to 10."
MATH.6,Understands addition as adding to and subtraction as taking away.,Developmental Progression,4.1.6.1.1,MATH.6.A.1,"Watches as objects are added or removed (e.g., during play)."
MATH.6,Understands addition as adding to and subtraction as taking away.,Developmental Progression,4.1.6.2.1,MATH.6.B.1,"Reacts to changes in quantities, such as surprise when objects disappear."
MATH.6,Understands addition as adding to and subtraction as taking away.,Developmental Progression,4.1.6.3.1,MATH.6.C.1,Combines or separates small groups of objects with guidance.
MATH.6,Understands addition as adding to and subtraction as taking away.,Developmental Progression,4.1.6.4.1,MATH.6.D.1,"Adds or removes items during play (e.g., “I’ll give you two blocks”)."
MATH.6,Understands addition as adding to and subtraction as taking away.,Developmental Progression,4.1.6.5.1,MATH.6.E.1,Begins to add and subtract very small collections of objects in practical scenarios with adult support.
MATH.6,Understands addition as adding to and subtraction as taking away.,Developmental Progression,4.1.6.5.2,MATH.6.E.2,"Solves addition problems by joining objects together and subtraction problems by separating, using manipulatives and fingers to represent objects."
MATH.6,Understands addition as adding to and subtraction as taking away.,Developmental Progression,4.1.6.5.3,MATH.6.E.3,Can apply the concept of 'taking away from' when solving simple subtraction problems.
MATH.6,Understands addition as adding to and subtraction as taking away.,Developmental Progression,4.1.6.6.1,MATH.6.F.1,"Represents addition and subtraction in different ways, such as with fingers, objects, and drawings."
MATH.6,Understands addition as adding to and subtraction as taking away.,Developmental Progression,4.1.6.6.2,MATH.6.F.2,Solves addition and subtraction word problems. Adds and subtracts up to 5 to or from a given number.
MATH.6,Understands addition as adding to and subtraction as taking away.,Developmental Progression,4.1.6.6.3,MATH.6.F.3,"With adult assistance, begins to use counting on from the larger number for addition. For example, when adding a group of 3 and a group of 2, counts ""One, two, three..."" and then counts on ""Four, five!"" (keeping track with fingers). When counting back for subtraction such as taking away 3 from 5, counts, ""Five, four, three...two!"" (keeping track with fingers)."
MATH.6,Understands addition as adding to and subtraction as taking away.,Developmental Progression,4.1.6.6.4,MATH.6.F.4,Understands addition as putting together and adding to
MATH.6,Demonstrates one-to-one correspondence.,Developmental Progression,4.1.7.1.1,,Reaches for individual objects sequentially.
MATH.6,Demonstrates one-to-one correspondence.,Developmental Progression,4.1.7.2.1,,"Matches simple objects, such as one spoon with one bowl."
MATH.6,Demonstrates one-to-one correspondence.,Developmental Progression,4.1.7.3.1,,"Begins assigning one object to each space or person (e.g., “One toy for you and one for me”)."
MATH.6,Demonstrates one-to-one correspondence.,Developmental Progression,4.1.7.4.1,,"Uses one-to-one correspondence in simple play scenarios, like giving one plate to each doll."
MATH.6,Demonstrates one-to-one correspondence.,Developmental Progression,4.1.7.5.1,,"Matches objects one-to-one in structured activities (e.g., placing one block on each square of a grid or one spoon per bowl)."
MATH.6,Demonstrates one-to-one correspondence.,Developmental Progression,4.1.7.6.1,,Demonstrates an understanding of one-to-one correspondence while counting larger sets and ensuring no items are skipped or counted twice
