Sequence,Human Code,Full Statement,CVR,Transition Gap,Progression Coherence,Overall Progression Score
4.1.1.4.1,MATH.1.D.1,Counts objects up to three with guidance.,0.2,0.0,1.0,0.6799999999999999
4.1.1.5.1,Math.1.E.1,Says or signs more number words in sequence.,0.2,0.0,1.0,0.6799999999999999
4.1.1.5.2,Math.1.E.2,"Says or signs some number words in sequence (up to 10), starting with one. Understands that counting words are separate words, such as ""one,"" ""two,"" ""three"" versus ""onetwothree"".",-0.2,0.0,1.0,0.52
4.1.1.6.1,MATH.1.F.1,Begins to write numerals,-0.6,0.0,1.0,0.36
4.1.1.6.2,MATH.1.F.2,Identifies quantity to 5 without counting,-0.6,0.0,1.0,0.36
4.1.1.6.3,MATH.1.F.3,Uses ordinal terms,1.0,0.0,1.0,1.0
4.1.1.6.4,MATH.1.F.4,Recognizes and names numerals 0-10.,0.2,0.0,1.0,0.6799999999999999
4.1.1.6.5,MATH.1.F.5,Recognize that zero represents the count of no objects.,-0.2,0.0,1.0,0.52
4.1.1.6.6,MATH.1.F.6,Know counting sequence is constant,-0.6,0.0,1.0,0.36
4.1.1.6.7,MATH.1.F.7,Counts verbally or signs to at least 20 by ones.,0.2,0.0,1.0,0.6799999999999999
4.1.1.6.8,MATH.1.F.8,Rote counts to 10,-0.2,0.0,1.0,0.52
4.1.1.6.9,MATH.1.F.9,Rote counts to 30,0.6,0.0,1.0,0.8400000000000001
4.1.2.1.1,MATH.2.A.1,"Explores objects by grasping and mouthing, noticing differences in size.",-0.2,0.0,1.0,0.52
4.1.2.2.1,MATH.2.B.1,"Stacks or nests objects, such as cups or blocks.",-0.6,0.0,1.0,0.36
4.1.2.3.1,MATH.2.C.1,Identifies “big” and “small” with prompts; begins to fill and empty containers.,0.2,0.0,1.0,0.6799999999999999
4.1.2.4.1,MATH.2.D.1,"Uses terms like “on,” “under,” and “in” to describe object placement.",-0.2,0.0,1.0,0.52
4.1.2.5.1,MATH.2.E.1,"Develops an understanding of what whole numbers mean. Begins to recognize the number of small objects in groups without counting (referred to as ""subitizing"").",-0.2,0.0,1.0,0.52
4.1.2.5.2,MATH.2.E.2,"Quickly recognizes the number of objects in a small set (referred to as ""subitizing"").",-0.6,0.0,1.0,0.36
4.1.2.5.3,MATH.2.E.3,Child can visually identify and name numbers 1-5 without counting.,1.0,0.0,1.0,1.0
4.1.2.6.1,MATH.2.F.1,"Instantly recognizes, without counting, small quantities of up to 5 objects and says or signs the number.",0.2,0.0,1.0,0.6799999999999999
4.1.2.6.2,MATH.2.F.2,Separates items up to 10 into equal groups,0.2,0.0,1.0,0.6799999999999999
4.1.3.1.1,MATH.3.A.1,"Reacts to repetitive sounds or movements, such as clapping.",-0.6,0.0,1.0,0.36
4.1.3.2.1,MATH.3.B.1,"Imitates simple patterns in actions, such as banging two objects together.",-0.2,0.0,1.0,0.52
4.1.3.3.1,MATH.3.C.1,Matches similar objects or colors to form simple sequences.,-0.2,0.0,1.0,0.52
4.1.3.4.1,MATH.3.D.1,"Recognizes AB patterns (e.g., red-blue-red-blue).",-0.2,0.0,1.0,0.52
4.1.3.5.1,MATH.3.E.1,Begins to coordinate verbal counting with objects by pointing to or moving objects for small groups of objects laid in a line (referred to as one-to-one correspondence).,-0.6,0.0,1.0,0.36
4.1.3.5.2,MATH.3.E.2,Child can match numbers with corresponding quantities,0.6,0.0,1.0,0.8400000000000001
4.1.3.5.3,MATH.3.E.3,"Begins to understand that the last number represents how many objects are in a group (referred to as ""cardinality"").",-0.2,0.0,1.0,0.52
4.1.3.6.1,MATH.3.F.1,Count up to 5 items in a scattered configuration; not in a row or column.,-0.2,0.0,1.0,0.52
4.1.3.6.2,MATH.3.F.2,"When counting objects, says or signs the number names in order, pairing one number word that corresponds with one object, up to at least 10.",0.2,0.0,1.0,0.6799999999999999
4.1.3.6.3,MATH.3.F.3,Child begins to understand that numbers 0-10 can be composed and decomposed in various ways to represent a quantity.,0.2,0.0,1.0,0.6799999999999999
4.1.3.6.4,MATH.3.F.4,Understands that the last number said represents the number of objects in a set.,-0.2,0.0,1.0,0.52
4.1.4.1.1,MATH.4.A.1,"Explores objects by mouthing, grasping, or banging, noticing different weights or textures.",0.6,0.0,1.0,0.8400000000000001
4.1.4.2.1,MATH.4.B.1,Compares sizes by choosing larger or smaller objects.,-0.2,0.0,1.0,0.52
4.1.4.3.1,MATH.4.C.1,Sorts objects by size or weight with guidance.,-0.6,0.0,1.0,0.36
4.1.4.4.1,MATH.4.D.1,"Identifies objects as “big” or “small,” “heavy” or “light.”",0.6,0.0,1.0,0.8400000000000001
4.1.4.5.1,MATH.4.E.1,"Begins to accurately count and compare objects that are about the same size and are in small groups with adult assistance, such as counts a pile of 2 blocks and a pile of 4, and determines whether the piles have the same or different numbers of blocks. Identifies the first and second objects in a sequence.",0.6,0.0,1.0,0.8400000000000001
4.1.4.5.2,MATH.4.E.2,"Counts to determine and compare number amounts even when the larger group's objects are smaller in size, such as buttons, compared with the smaller group's objects that are larger in size, such as markers. Uses numbers related to order or position.",-0.6,0.0,1.0,0.36
4.1.4.6.1,MATH.4.F.1,"Identifies whether the number of objects in one group is more than, less than, or the same as objects in another group for up to at least five objects.",-0.6,0.0,1.0,0.36
4.1.4.6.2,MATH.4.F.2,Identifies and uses numbers related to order or position from first to tenth.,0.6,0.0,1.0,0.8400000000000001
4.1.4.6.3,MATH.4.F.3,Compare two sets of 1-5 objects using comparative language such as same more or fewer.,0.2,0.0,1.0,0.6799999999999999
4.1.5.1.1,MATH.5.A.1,"Notices different quantities (e.g., one toy versus many).",0.6,0.0,1.0,0.8400000000000001
4.1.5.2.1,MATH.5.B.1,"Groups objects during play, such as stacking blocks or sorting rings",0.2,0.0,1.0,0.6799999999999999
4.1.5.3.1,MATH.5.C.1,"Points to objects while attempting to count (e.g., “one, two”).",-0.2,0.0,1.0,0.52
4.1.5.4.1,MATH.5.D.1,"Begins recognizing numerals (e.g., points to the “3” when prompted).",0.2,0.0,1.0,0.6799999999999999
4.1.5.5.1,MATH.5.E.1,Understands that a written numeral represents a quantity and may draw objects or use informal symbols to represent numbers.,0.2,0.0,1.0,0.6799999999999999
4.1.5.5.2,MATH.5.E.2,"Understands that written numbers represent quantities of objects, and uses information symbols, such as a tally, to represent numerals. With adult support, writes some numerals up to 10.",-0.2,0.0,1.0,0.52
4.1.5.6.1,MATH.5.F.1,Associates a number of objects with a written numeral 0–5.,0.6,0.0,1.0,0.8400000000000001
4.1.5.6.2,MATH.5.F.2,Uses objects/pictures to add up to 5 objects,-0.2,0.0,1.0,0.52
4.1.5.6.3,MATH.5.F.3,Uses objects/pictures to subtract objects from set 0-5,-0.2,0.0,1.0,0.52
4.1.5.6.4,MATH.5.F.4,"Recognizes and, with support, writes some numerals up to 10.",0.2,0.0,1.0,0.6799999999999999
4.1.6.1.1,MATH.6.A.1,"Watches as objects are added or removed (e.g., during play).",0.6,0.0,1.0,0.8400000000000001
4.1.6.2.1,MATH.6.B.1,"Reacts to changes in quantities, such as surprise when objects disappear.",-0.6,0.0,1.0,0.36
4.1.6.3.1,MATH.6.C.1,Combines or separates small groups of objects with guidance.,-0.6,0.0,1.0,0.36
4.1.6.4.1,MATH.6.D.1,"Adds or removes items during play (e.g., “I’ll give you two blocks”).",-0.2,0.0,1.0,0.52
4.1.6.5.1,MATH.6.E.1,Begins to add and subtract very small collections of objects in practical scenarios with adult support.,0.2,0.0,1.0,0.6799999999999999
4.1.6.5.2,MATH.6.E.2,"Solves addition problems by joining objects together and subtraction problems by separating, using manipulatives and fingers to represent objects.",0.2,0.0,1.0,0.6799999999999999
4.1.6.5.3,MATH.6.E.3,Can apply the concept of 'taking away from' when solving simple subtraction problems.,-0.2,0.0,1.0,0.52
4.1.6.6.1,MATH.6.F.1,"Represents addition and subtraction in different ways, such as with fingers, objects, and drawings.",0.6,0.0,1.0,0.8400000000000001
4.1.6.6.2,MATH.6.F.2,Solves addition and subtraction word problems. Adds and subtracts up to 5 to or from a given number.,-0.2,0.0,1.0,0.52
4.1.6.6.3,MATH.6.F.3,"With adult assistance, begins to use counting on from the larger number for addition. For example, when adding a group of 3 and a group of 2, counts ""One, two, three..."" and then counts on ""Four, five!"" (keeping track with fingers). When counting back for subtraction such as taking away 3 from 5, counts, ""Five, four, three...two!"" (keeping track with fingers).",0.2,0.0,1.0,0.6799999999999999
4.1.6.6.4,MATH.6.F.4,Understands addition as putting together and adding to,-1.0,0.0,1.0,0.19999999999999996
4.1.8.6.1,FS-6.a,"Completes more complex sequencing tasks, such as arranging picture cards to depict a story or lifecycle (e.g., caterpillar, cocoon, butterfly).",0.6,0.0,1.0,0.8400000000000001
4.2.1.1.1,MATH.7.A.1,"Recognizes repetitive patterns in sounds, such as lullabies.",0.2,0.0,1.0,0.6799999999999999
4.2.1.2.1,MATH.7.B.1,"Responds to visual patterns, like stripes or checkers.",0.6,0.0,1.0,0.8400000000000001
4.2.1.3.1,MATH.7.C.1,"Matches objects to continue a simple pattern (e.g., toy-car-toy).",-0.6,0.0,0.9999999999999999,0.35999999999999993
4.2.1.4.1,MATH.7.C.1,"Recognizes and extends AB patterns (e.g., red-blue-red-blue).",-1.0,1.0,0.9999999999999999,-0.10000000000000009
4.2.1.5.1,MATH.7.E.1,Predicts what comes next in a simple pattern.,-0.2,0.0,1.0,0.52
4.2.1.5.2,MATH.7.E.2,"Recognizes a simple pattern, and with adult assistance, fills in the missing element of a pattern.",-0.2,0.0,1.0,0.52
4.2.1.5.3,MATH.7.E.4,"Creates, identifies, extends, and duplicates simple repeating patterns in different forms, such as with objects, numbers, sounds, and movements.",-0.2,0.0,1.0,0.52
4.2.1.6.1,MATH.7.F.1,Creates Patterns,0.6,0.0,1.0,0.8400000000000001
4.2.1.6.2,MATH.7.F.2,Fills in missing elements of simple patterns.,-0.6,0.0,1.0,0.36
4.2.1.6.3,MATH.7.F.3,"Duplicates simple patterns in a different location than demonstrated, such as making the same alternating color pattern with blocks at a table that was demonstrated on the rug. Extends patterns, such as making an eight block tower of the same pattern that was demonstrated with four blocks.",-0.2,0.0,1.0,0.52
4.2.1.6.4,MATH.7.F.4,"Identifies the core unit of sequentially repeating patterns, such as color in a sequence of alternating red and blue blocks.",-0.6,0.0,1.0,0.36
4.3.1.1.1,MATH.9.A.1,"Looks at and tracks simple shapes, such as circles or squares.",-0.2,0.0,1.0,0.52
4.3.1.2.1,MATH.9.B.1,Reaches for or plays with toys of distinct shapes.,0.2,0.0,1.0,0.6799999999999999
4.3.1.3.1,MATH.9.C.1,"Sorts objects by shape (e.g., circle blocks versus square blocks).",0.2,0.0,1.0,0.6799999999999999
4.3.1.4.1,MATH.9.D.1,Identifies and names common shapes like “circle” and “triangle.”,-0.2,0.0,1.0,0.52
4.3.1.5.1,MATH.9.E.1,"Recognizes and names typical circle, square, and sometimes a triangle. With adult support, matches some shapes that are different sizes and orientations.",0.2,0.0,1.0,0.6799999999999999
4.3.1.5.2,MATH.9.E.2,Describes shapes with basic language,-0.2,0.0,1.0,0.52
4.3.1.5.3,MATH.9.E.3,Recognizes and compares a greater number of shapes of different sizes and orientations. Begins to identify sides and angles as distinct parts of shapes.,-0.6,0.0,1.0,0.36
4.3.1.6.1,MATH.9.F.1,"Names and describes shapes in terms of length of sides, number of sides, and number of angles.",0.2,0.0,1.0,0.6799999999999999
4.3.1.6.2,MATH.9.F.2,"Analyzes, compares and sorts two and three-dimensional shapes and objects in different sizes. Describes their similarities, differences, and other attributes, such as size and shape.",-0.2,0.0,1.0,0.52
4.3.1.6.3,MATH.9.F.3,Creates and builds shapes from components.,1.0,0.0,1.0,1.0
4.3.2.1.1,MATH.10.A.1,"Reaches for objects placed in different positions (e.g., above, beside, or in front).",-0.2,0.0,1.0,0.52
4.3.2.2.1,MATH.10.B.1,Searches for objects hidden under or behind others during play.,0.6,0.0,1.0,0.8400000000000001
4.3.2.3.1,MATH.10.C.1,"Places objects in specific positions during play, such as stacking blocks in order or aligning cars.",-0.2,0.0,1.0,0.52
4.3.2.4.1,MATH.10.D.1,Demonstrates understanding of positional words by correctly placing objects when instructed.,0.6,0.0,1.0,0.8400000000000001
4.3.2.5.1,MATH.10.E.1,"Understands spatial vocabulary. With adult support, follows directions involving their own position in space, such as ""Stand up and stretch your arms to the sky.""",0.2,0.0,1.0,0.6799999999999999
4.3.2.6.1,MATH.10.F.1,"Understands and uses language related to directionality, order, and the position of objects, including up/down, and in front/behind.",0.2,0.0,1.0,0.6799999999999999
4.3.2.6.2,MATH.10.F.2,Recognizes shapes in real world,-0.2,0.0,1.0,0.52
4.3.2.6.3,MATH.10.F.3,Identifies Geometric Shapes and Spatial Relations,0.2,0.0,1.0,0.6799999999999999
4.3.3.5.1,FS-1.a,"Child can distinguish between different categories (i.e., color, size, shape).",-0.6,0.0,1.0,0.36
4.3.3.5.2,FS-1.b,Child can group objects or pictures based on shared characteristics.,0.6,0.0,1.0,0.8400000000000001
4.4.1.1.1,MATH.8.A.1,Explores objects of different sizes and weights by touching or mouthing.,-0.6,0.0,1.0,0.36
4.4.1.2.1,MATH.8.B.1,Begins stacking objects of similar size.,-0.6,0.0,1.0,0.36
4.4.1.3.1,MATH.8.C.1,Matches or lines up objects by size with support.,-0.6,0.0,1.0,0.36
4.4.1.4.1,MATH.8.D.1,"Uses hands or other items to compare object sizes (e.g., “This block is longer”).",-0.2,0.0,1.0,0.52
4.4.1.5.1,MATH.8.E.1,"Uses measurable attributes to make comparisons, such as identifies objects as the same/different and more/less.",-0.2,0.0,1.0,0.52
4.4.1.6.1,MATH.8.F.1,Recognizes and Names Time Words,0.2,0.0,1.0,0.6799999999999999
4.4.1.6.2,MATH.8.F.2,Applies Time Words in Context,-0.2,0.0,1.0,0.52
4.4.1.6.3,MATH.8.F.3,Differentiates Between Time Words,-0.6,0.0,1.0,0.36
4.4.1.6.4,MATH.8.F.4,"Measures using the same unit, such as putting together snap cubes to see how tall a book is.",0.2,0.0,1.0,0.6799999999999999
4.4.1.6.5,MATH.8.F.5,Child recognizes and compares capacity based on how much space exists within an object.,-0.2,0.0,1.0,0.52
4.4.1.6.6,MATH.8.F.6,"Compares or orders up to 5 objects based on their measurable attributes, such as height or weight.",-0.2,0.0,1.0,0.52
4.4.1.6.7,MATH.8.F.7,"Uses comparative language, such as shortest, heavier, or biggest.",-0.2,0.0,1.0,0.52
5.1.1.1.1,SCI.1.A,Reaches out to touch and explore objects with different textures.,-0.2,0.0,1.0,0.52
5.1.1.2.1,SCI.1.B.1,"Watches and tracks events, like a ball rolling or water flowing.",0.2,0.0,1.0,0.6799999999999999
5.1.1.3.1,SCI.1.C.1,"Describes basic features of objects, such as color or shape.",-0.2,0.0,1.0,0.52
5.1.1.4.1,SCI.1.D.1,Uses simple descriptive language to share observations.,-0.6,0.0,1.0,0.36
5.1.1.5.1,SCI.1.E.1,"Uses the five senses to observe objects, materials, organisms, and events. Provides simple verbal or signed descriptions. With adult support, represents observable phenomena, such as draws a picture.",0.6,0.0,1.0,0.8400000000000001
5.1.1.5.2,SCI.1.E.2,Demonstrates Basic Observation Techniques with Organisms and Events,-0.6,0.0,1.0,0.36
5.1.1.5.3,SCI.1.E.3,"Makes increasingly complex observations of objects, materials, organisms, and events. Provides greater detail in descriptions. Represents observable phenomena in more complex ways, such as pictures that include more detail.",0.2,0.0,1.0,0.6799999999999999
5.1.1.6.1,SCI.1.F.1,"Identifies, observes, describes, and discusses objects in the sky.",0.2,0.0,1.0,0.6799999999999999
5.1.1.6.2,SCI.1.F.2,"Identifies the five senses (smell, touch, sight, sound, taste) and uses them to make observations.",0.6,0.0,1.0,0.8400000000000001
5.1.1.6.3,SCI.1.F.3,"Uses observational tools to extend the five senses, such as a magnifying glass, microscope, binoculars, or stethoscope.",-0.2,0.0,1.0,0.52
5.1.1.6.4,SCI.1.F.4,"Describes observable phenomena using adjectives and labels, such as lemons taste sour and play dough feels sticky.",-0.6,0.0,1.0,0.36
5.1.1.6.5,SCI.1.F.5,"Represents observable phenomena with pictures, diagrams, and 3-D models.",0.6,0.0,1.0,0.8400000000000001
5.1.2.1.1,SCI.2.A.1,Makes sounds or gestures when interacting with new phenomena.,-0.2,0.0,1.0,0.52
5.1.2.2.1,SCI.2.B.1,Uses gestures or babbling to “comment” on objects of interest.,0.2,0.0,1.0,0.6799999999999999
5.1.2.3.1,SCI.2.C.1,Participates in back-and-forth exchanges about observable phenomena.,-0.6,0.0,1.0,0.36
5.1.2.4.1,SCI.2.D.1,"Attempts to answer simple questions, such as “What is it doing?”",-0.6,0.0,1.0,0.36
5.1.2.5.1,SCI.2.E.1,Uses a greater number of scientific vocabulary words. Repeats new words offered by adults and may ask questions about unfamiliar words.,-0.2,0.0,1.0,0.52
5.1.2.5.2,SCI.2.E.2,Begins to use scientific vocabulary words with modeling and support from an adult. Sometimes repeats new words offered by adults.,-0.6,0.0,1.0,0.36
5.1.2.6.1,SCI.2.F.1,Demonstrates understanding of the importance of conservation,0.6,0.0,1.0,0.8400000000000001
5.1.2.6.2,SCI.2.F.2,"Uses scientific practice words or signs, such as observe, describe, compare, contrast, question, predict, experiment, reflect, cooperate, or measure.",0.6,0.0,1.0,0.8400000000000001
5.1.2.6.3,SCI.2.F.3,"Uses scientific content words when investigating and describing observable phenomena, such as parts of a plant, animal, or object.",0.6,0.0,1.0,0.8400000000000001
5.1.3.1.1,SCI.3.A.1,"Explores objects through touch and mouthing, noticing variations.",-0.2,0.0,1.0,0.52
5.1.3.2.1,SCI.3.B.1,Recognizes and points out differences between objects or materials.,-0.2,0.0,1.0,0.52
5.1.3.3.1,SCI.3.C.1,"Uses basic words to compare phenomena (e.g., “big,” “small”).",-0.6,0.0,1.0,0.36
5.1.3.4.1,SCI.3.D.1,"Compares objects using descriptive language (e.g., “This is bigger”).",0.2,0.0,1.0,0.6799999999999999
5.1.3.5.1,SCI.3.E.1,"Sorts objects into groups based on simple attributes, such as color. With support, uses measurement tools to quantify similarities and differences of observable phenomena, such as when a child scoops sand into two containers and with adult assistance, determines which container holds more scoops.",-0.2,0.0,1.0,0.52
5.1.3.5.2,SCI.3.E.3,"Sorts objects into groups based on more complex attributes, such as weight, sound, or texture. Uses measurement tools to assess the properties of and compare observable phenomena.",-0.2,0.0,1.0,0.52
5.1.3.6.1,SCI.3.F.1,"Categorizes by sorting observable phenomena into groups based on attributes such as appearance, weight, function, ability, texture, odor, and sound.
 Uses measurement tools, such as a ruler, balance scale, eye dropper, unit blocks, thermometer, or measuring cup, to quantify similarities and differences of observable phenomena.",-0.2,0.0,1.0,0.52
5.1.3.6.2,SCI.3.F.2,Explores and categorizes living things,0.2,0.0,1.0,0.6799999999999999
5.2.1.1.1,SCI.4.A.1,Explores objects actively to learn more about them.,0.2,0.0,1.0,0.6799999999999999
5.2.1.2.1,SCI.4.B.1,Reacts to changes or novel stimuli by turning head or vocalizing.,0.6,0.0,1.0,0.8400000000000001
5.2.1.3.1,SCI.4.C.1,Looks for familiar objects or phenomena during exploration.,0.6,0.0,1.0,0.8400000000000001
5.2.1.4.1,SCI.4.D.1,Gathers information by observing or interacting with phenomena.,0.2,0.0,1.0,0.6799999999999999
5.2.1.5.1,SCI.4.E.1,"Asks simple questions. Uses adults as primary resources to gather information about questions. With adult support and modeling, makes simple predictions, such as ""I think that the golf ball will be heavier than the ping pong ball.""",-0.2,0.0,1.0,0.52
5.2.1.6.1,SCI.4.F.2,"Asks questions that can be answered through an investigation, such as ""What do plants need to grow?"" or ""What countries do the children in our class come from?"".",-0.6,0.0,1.0,0.36
5.2.1.6.2,SCI.4.F.3,Gathers information about a question by looking at books or discussing prior knowledge and observations.,0.6,0.0,1.0,0.8400000000000001
5.2.1.6.3,SCI.4.F.4,Collects and represents data in a variety of ways based on ability.,0.2,0.0,1.0,0.6799999999999999
5.2.1.6.4,SCI.4.F.5,Gathers information about a question by looking at books or discussing prior knowledge and observations.,-0.2,0.0,1.0,0.52
5.2.1.6.5,SCI.4.F.6,"Makes predictions and brainstorms solutions based on background knowledge and experiences, such as ""I think that plants need water to grow."" or ""I think adding yellow paint to purple will make brown.""",0.2,0.0,1.0,0.6799999999999999
5.2.2.1.1,SCI.5.A.1,Reaches for or explores objects with curiosity.,-0.2,0.0,1.0,0.52
5.2.2.2.1,SCI.5.B.1,"Experiments with actions, such as dropping objects to see what happens.",0.2,0.0,1.0,0.6799999999999999
5.2.2.3.1,SCI.5.C.1,"Participates in guided exploration, like mixing colors or textures",-0.2,0.0,1.0,0.52
5.2.2.4.1,SCI.5.D.1,"Completes simple experiments, like pouring water to observe movement",0.2,0.0,1.0,0.6799999999999999
5.2.2.5.1,SCI.5.E.1,Child gathers and uses data',-0.6,0.0,1.0,0.36
5.2.2.5.2,SCI.5.E.3,"With increasing independence, engages in some parts of conducting complex investigations or experiments. Increasingly able to articulate the steps that need to be taken to conduct an investigation. Uses more complex ways to gather and record data, such as with adult support, makes a graph that shows children's favorite snacks.",-0.2,0.0,1.0,0.52
5.2.2.5.3,SCI.5.E.4,"With adult support, engages in simple investigations and experiments, such as building a ""bridge"" out of classroom materials and seeing how many dolls it will hold before it collapses. Records data with teacher assistance, mostly using pictures and marks on a page.",1.0,0.0,1.0,1.0
5.2.2.6.1,SCI.5.F.4,Articulates steps to be taken and lists materials needed for an investigation or experiment.,0.2,0.0,1.0,0.6799999999999999
5.2.2.6.2,SCI.5.F.7,"Implements steps and uses materials to explore testable hypothesis, such as ""Do plants need water to grow?"" by planting seeds and giving water to some but not to others.",-0.2,0.0,0.9999999999999999,0.5199999999999999
5.2.3.1.1,SCI.6.A.1,Shows interest in changes in objects or surroundings.,-0.6,0.0,1.0,0.36
5.2.3.2.1,SCI.6.B.1,Explores cause and effect through repeated actions.,-0.2,0.0,1.0,0.52
5.2.3.3.1,SCI.6.C.1,"Shows simple understanding of results (e.g., “It fell down”).",0.2,0.0,1.0,0.6799999999999999
5.2.3.4.1,SCI.6.D.1,Describes what happened after completing an experiment or activity.,0.2,0.0,1.0,0.6799999999999999
5.2.3.5.1,SCI.6.E.1,"With adult assistance, analyzes and interprets data. Draws conclusions and provides simple descriptions of results. For example, an adult suggests counting how many dolls can be supported by a bridge before it breaks and along with the children counts, ""One, two, three dolls. What happened when we put on the next doll?"" A child says, ""The bridge broke!""",0.2,0.0,1.0,0.6799999999999999
5.2.3.5.2,SCI.6.E.2,"With increasing independence, analyzes and interprets data and draws conclusions.",-0.2,0.0,1.0,0.52
5.2.3.5.3,SCI.6.E.3,Compares results to initial prediction and generates new questions or designs.,-0.6,0.0,1.0,0.36
5.2.3.5.4,SCI.6.E.4,"Communicates results, solutions, and conclusions in increasingly complex ways through multiple methods.",0.2,0.0,1.0,0.6799999999999999
5.2.3.6.1,SCI.6.F.1,Identifies Different Types of Graphs,-0.6,0.0,1.0,0.36
5.2.3.6.2,SCI.6.F.2,Analyzes and interprets data with mathematical language and summarizes results of investigation.,-0.2,0.0,1.0,0.52
5.2.3.6.3,SCI.6.F.3,"Communicates results, solutions, and conclusions through a variety of methods, such as telling an adult that plants need water to grow or putting dots on a map that show the number of children from each country.",-0.6,0.0,1.0,0.36
5.2.3.6.4,SCI.6.F.4,Analyzes and interprets data and summarizes results of investigation.,0.2,0.0,1.0,0.6799999999999999
5.3.1.6.1,SCI.4.F.1,Uses simple tools for investigating properties of materials,0.2,0.0,1.0,0.6799999999999999
5.3.2.6.1,SCI.5.F.2,"Identifies different sources, types and uses of energy",-0.6,0.0,1.0,0.36
5.4.1.6.1,SCI.5.E.2,Acquire scientific knowledge related to life science (properties of living things).,-0.6,0.0,1.0,0.36
5.4.2.6.1,SCI.5.F.5,"Child observes, describes, and discusses the life cycles of organisms.",0.6,0.0,1.0,0.8400000000000001
5.4.3.6.1,SCI.3.F.3,"Observes, investigates, describes, and discusses the characteristics of organisms.",-0.6,0.0,1.0,0.36
5.4.4.6.1,SCI.5.F.7,"Uses senses and simple tools to observe, gather, and record data, such as gathering data on where children's families are from and creating a graph that shows the number of children from different countries.",0.2,1.0,0.9999999999999999,0.37999999999999995
5.4.4.6.2,SCI.5.F.1,Engage in play to explore the physical and natural world.,0.2,0.0,1.0,0.6799999999999999
5.5.1.6.1,SCI.5.F.3,Identifies and differentiates properties of materials and how they affect their environment and usage.,-0.6,0.0,1.0,0.36
5.5.2.6.1,SCI.5.E.5,Acquire scientific knowledge related to earth science (properties of the earth and objects in the sky).,0.6,0.0,1.0,0.8400000000000001
6.1.1.1.1,PMP.1.B.1,Lifts head during tummy time and begins rolling over.,-0.6,0.0,1.0,0.36
6.1.1.2.1,PMP.1.A.1,"Crawls, pulls up to stand, and begins walking with support.",0.2,0.0,1.0,0.6799999999999999
6.1.1.3.1,PMP.1.C.1,Walks steadily and runs with increasing confidence,-0.6,0.0,1.0,0.36
6.1.1.4.1,PMP.1.D.1,Climbs stairs with alternating feet and jumps with both feet.,-0.2,0.0,1.0,0.52
6.1.1.5.1,PMP.1.E.1,"Child can successfully execute a range of activities exercising large muscles such as jumping, running, climbing, and balancing.",0.2,0.0,1.0,0.6799999999999999
6.1.1.5.2,PMP.1.E.2,"Child shows significant improvements in muscle strength and can effectively handle objects like balls, hoops, or bicycles.",-0.2,0.0,1.0,0.52
6.1.1.5.3,PMP.1.E.3,"Balances, such as on one leg or on a beam, for longer periods of time both when standing still and when moving from one position to another. Demonstrates more coordinated movement when engaging in skills, such as jumping for height and distance, hopping, and running. Engages in more complex movements, such as riding a tricycle, with ease. Engages in physical activities of increasing levels of intensity for sustained periods of time.",-0.2,0.0,1.0,0.52
6.1.1.5.4,PMP.1.E.4,"Balances, such as on one leg or a beam, for short periods with some assistance. Performs some skills, such as jumping for height and hopping, but these skills may not be consistently demonstrated. Engages in physical activity that requires strength and stamina for at least brief periods.",0.2,0.0,1.0,0.6799999999999999
6.1.1.5.5,PMP.1.E.5,"Child exhibits coordinated movements in relation to spatial awareness, including maneuvering around obstacles.",-0.2,0.0,1.0,0.52
6.1.1.6.1,PMP.1.F.1,Demonstrates coordination/balance,-0.2,0.0,1.0,0.52
6.1.1.6.2,PMP.1.F.2,Coordinates sequence of movements,-0.2,0.0,1.0,0.52
6.1.1.6.3,PMP.1.F.3,Demonstrates control/strength of large muscles,-0.2,0.0,1.0,0.52
6.1.1.6.4,PMP.1.F.4,Demonstrates balance and coordination,0.6,0.0,1.0,0.8400000000000001
6.1.1.6.5,PMP.1.F.5,Child demonstrates coordination and balance in isolation.,0.2,0.0,1.0,0.6799999999999999
6.1.1.6.6,PMP.1.F.6,"Demonstrates balance in large-muscle movement, such as walking on a log without falling or balancing on one leg.",-0.2,0.0,1.0,0.52
6.1.1.6.7,PMP.1.F.7,Gross Motor Development,-0.2,0.0,1.0,0.52
6.1.1.6.8,PMP.1.F.8,"Performs activities that combine and coordinate large muscle movements, including swinging on a swing, climbing a ladder, or dancing to music.",-0.2,0.0,1.0,0.52
6.1.1.6.9,PMP.1.F.9,"Demonstrates strength and stamina that allow for participation in a range of physical activities, such as running around playing tag.",0.2,0.0,1.0,0.6799999999999999
6.1.2.1.1,PMP.2.A.1,Turns head toward sounds or visual stimuli.,0.2,0.0,1.0,0.6799999999999999
6.1.2.2.1,PMP.2.B.1,Tracks moving objects and adjusts body movements accordingly,-0.2,0.0,1.0,0.52
6.1.2.3.1,PMP.2.C.1,"Uses visual cues to adjust movements (e.g., stepping over obstacles).",-0.6,0.0,1.0,0.36
6.1.2.4.1,PMP.2.D.1,"Combines visual and tactile information to solve problems, such as fitting shapes into a sorter.",0.6,0.0,1.0,0.8400000000000001
6.1.2.5.1,PMP.2.E.1,"Child is able to appropriately adjust movements and responses based on perceived information, demonstrating control of over their actions.'",0.2,0.0,1.0,0.6799999999999999
